指标,股票总发行股本(亿股),流通股本(亿股),股票市价总值(亿元),股票流通市值(亿元),股票成交量(亿股),股票成交金额(亿元),上证综合指数(收盘),深证综合指数(收盘),上海平均市盈率(%),深圳平均市盈率(%),上海平均换手率(%),深圳平均换手率(%),国债发行额(亿元),债券成交额(亿元),国债现货成交金额(亿元),国债回购成交金额(亿元),证券投资基金只数(只),证券投资基金规模(亿元),证券投资基金成交金额(亿元),期货总成交量(万手),期货总成交额(亿元)
2023年,75489.4,68142.4,773130.71,674341.52,170809,2122110,2974.9,1837.9,14.1,21.6,182.9,448,,5022460,464485,4557976,11310,260737.24,277198,737871.19,5675693.72
2022年,73311.67,64245.31,788005.91,663428.88,185725.37,2245094.74,3089.3,1975.6,14.5,23.4,204,470.3,,4416737.76,381136.3,4035601.46,10375,256437.54,231161,676830.17,5349397.47
2021年,70694.39,60755.13,916088.18,751556.13,187425.9,2579734.1,3639.8,2530.1,20.9,33,280.7,506.1,,3791201.79,289275.35,3501926.44,9152,218244.61,183234.05,726880.86,5806874.44
2020年,65479.19,56353.5,797238.17,643605.29,167451.86,2068252.52,3473.1,2329.4,16.1,33.5,258.8,555.8,,3075974.26,201785.82,2874188.44,7258,169974.29,136238.63,602735,4373005.25
2019年,61720,52487.62,592935,483461,126624,1274158.8,3050.1,1723,15.6,35.6,193.9,454.9,83715,2473724,83530.2,2390194,6111,136937.42,91679.38,392157,2905856
2018年,57581.03,49047.57,434924.03,353794.2,82037.25,901739.4,2493.9,1267.9,12.5,20,150.9,356.9,77063,2405453.7,63821.94,2341631.76,5580,128961.33,102705,301070,2108057
2017年,53746.67,45044.87,567086.08,449298.15,87780.84,1124625.11,3307.2,1899.3,16.3,36.2,180.5,412.9,82243,2687635.66,55441.79,2632193.87,4848,110182,98052,307106,1878951
2016年,48750.29,41136.05,507685.88,393401.67,95525,1277680,3103.6,1969.1,15.9,41.2,158.4,541.8,89886,2387096,51270,2335826,3873,88428,111444,413782,1956343
2015年,43024.14,37043.37,531462.7,417880.75,171039.48,2550541.31,3539.2,2308.9,17.6,52.8,489.6,826.3,58226,1309219,33920,1275299,2723,76674,152685,357791,5542312
2014年,36795.1,32289.25,372546.96,315624.31,73383.09,742385.26,3234.7,1415.2,16.9,41.9,242,472,20247,935357,,907166,1899,42033,47231,250586,2919882
