时间,地区,国内生产总值同比增长率(%)
2022年第一季度,美国,1.9
2022年第一季度,日本,1.5
2022年第一季度,欧元区,4.1
2022年第三季度,美国,0.7
2022年第三季度,日本,0.5
2022年第三季度,欧元区,1.9
2022年第二季度,美国,1.7
2022年第二季度,日本,1.5
2022年第二季度,欧元区,2.5
2022年第四季度,美国,1.7
2022年第四季度,日本,2.6
2022年第四季度,欧元区,1.3
2023年第一季度,美国,2.4
2023年第一季度,日本,2.3
2023年第一季度,欧元区,0.6
2023年第三季度,美国,3.1
2023年第三季度,日本,1.2
2023年第三季度,欧元区,0.1
2023年第二季度,美国,2.9
2023年第二季度,日本,1.6
2023年第二季度,欧元区,0.1
2023年第四季度,美国, 
2023年第四季度,日本, 
2023年第四季度,欧元区, 
2024年第一季度,美国, 
2024年第一季度,日本, 
2024年第一季度,欧元区, 
2024年第二季度,美国,3.6
2024年第二季度,日本,0.3
2024年第二季度,欧元区,5.4
