时间,地区,国内生产总值环比增长率(%)
2022年第一季度,美国,-0.6
2022年第一季度,日本,1.1
2022年第一季度,欧元区,0.8
2022年第三季度,美国,2.6
2022年第三季度,日本,0.4
2022年第三季度,欧元区,0
2022年第二季度,美国,2.7
2022年第二季度,日本,-0.2
2022年第二季度,欧元区,0.5
2022年第四季度,美国,2.2
2022年第四季度,日本,1
2022年第四季度,欧元区,0
2023年第一季度,美国,2.1
2023年第一季度,日本,1
2023年第一季度,欧元区,0.1
2023年第三季度,美国,3.4
2023年第三季度,日本,0.1
2023年第三季度,欧元区,0
2023年第二季度,美国,4.9
2023年第二季度,日本,-0.8
2023年第二季度,欧元区,-0.1
2023年第四季度,美国, 
2023年第四季度,日本, 
2023年第四季度,欧元区, 
2024年第一季度,美国, 
2024年第一季度,日本, 
2024年第一季度,欧元区, 
2024年第二季度,美国,-2
2024年第二季度,日本,-0.7
2024年第二季度,欧元区,0.7
