价格分析表,价格分析表,价格分析表,价格分析表,价格分析表,价格分析表,价格分析表,价格分析表,价格分析表,价格分析表,价格分析表,价格分析表,价格分析表,价格分析表,价格分析表,价格分析表,价格分析表
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,名称,名称,1,2,3,4,5,6,7,8,9,10,11,12,年度平均,
,材料1,采购单价,1.25,1.1,1.35,1.38,1.35,1.26,1.34,1.34,1.34,1.34,1.34,1.3,1.3075,
,材料1,涨/跌额,1.25,-0.15,0.25,0.0299999999999998,-0.0299999999999998,-0.0900000000000001,0.0800000000000001,0,0,0,0,-0.04,0.0574999999999999,
,材料1,涨/跌幅,1.25,-0.12,0.227272727272727,0.0222222222222221,-0.0217391304347825,-0.0666666666666667,0.0634920634920635,0,0,0,0,-0.0298507462686567,0.0459999999999999,
,材料2,采购单价,2.5,2.5,2.5,2.5,2.5,2.66,2.66,2.56,2.56,2.56,2.66,2.66,2.56833333333333,
,材料2,涨/跌额,2.5,0,0,0,0,0.16,0,-0.1,0,0,0.1,0,0.0683333333333329,
,材料2,涨/跌幅,2.5,0,0,0,0,0.0640000000000001,0,-0.037593984962406,0,0,0.0390625,0,0.0273333333333332,
,材料3,采购单价,1.38,1.36,1.42,1.42,1.52,2.56,2.56,2.66,2.66,2.66,2.56,2.56,2.11,
,材料3,涨/跌额,1.38,-0.0199999999999998,0.0599999999999998,0,0.1,1.04,0,0.1,0,0,-0.1,0,0.73,
,材料3,涨/跌幅,1.38,-0.0144927536231883,0.0441176470588234,0,0.0704225352112677,0.684210526315789,0,0.0390625,0,0,-0.037593984962406,0,0.528985507246377,
,,,,,,,,,,,,,,,,
