时间,地区,国内生产总值(上年=100),国内生产总值(上年=100)-第一产业,国内生产总值(上年=100)-第二产业,国内生产总值(上年=100)-第三产业,国内生产总值(上年=100)-农林牧渔业,国内生产总值(上年=100)-工业,国内生产总值(上年=100)-制造业,国内生产总值(上年=100)-建筑业,国内生产总值(上年=100)-批发和零售业,国内生产总值(上年=100)-交通运输、仓储和邮政业,国内生产总值(上年=100)-住宿和餐饮业,国内生产总值(上年=100)-金融业,国内生产总值(上年=100)-房地产业,国内生产总值(上年=100)-信息传输、软件和信息技术服务业,国内生产总值(上年=100)-租赁和商务服务业,国内生产总值(上年=100)-其他
2022年第一季度,全国,100.4,104.4,99.8,100.3,104.6,99.6,98.5,101.1,99.8,97.9,94.2,103.4,94.2,110.6,97.5,100.6
2022年第三季度,全国,102.9,104,102.3,103.1,104.2,101.8,101.1,104.5,101.9,97.5,93.6,103.4,94.1,113,106.4,106.5
2022年第二季度,全国,103.9,103.4,104.1,103.9,103.7,103.8,102.8,105.3,103.2,104.1,102.2,103,97,111,106.2,105.2
2022年第四季度,全国,104.5,103.7,103.3,105.4,103.8,102.9,102.8,106.7,105.5,104.8,113.6,106.9,101.3,111.2,106,104
2023年第一季度,全国,106.3,103.7,105.2,107.4,104,104.5,104.9,108.2,107.6,108.8,117.5,107.7,98.8,114.6,114.7,106.2
2023年第三季度,全国,105.2,104.2,105.5,105.3,104.3,105.2,105.3,106.7,106.6,109.4,114.8,106,97.3,111.2,108.6,102.7
2023年第二季度,全国,104.9,104.2,104.6,105.2,104.3,104.2,104.5,106.6,105.1,108.5,112.7,106.4,97.3,110.3,108.5,103.9
2023年第四季度,全国,105.3,103.3,106,105,103.5,106,106.4,105.8,106,107.3,107.3,105.2,94.6,113.7,110.8,103.8
2024年第一季度,全国,104.7,103.6,105.6,104.2,103.8,105.9,106.2,104.3,105.3,106.5,105.9,104.3,95.4,110.2,108.7,103.1
2024年第二季度,全国,104.8,106.1,104.7,104.7,106.2,105.6,104.8,98.8,105.5,103.6,99.2,102.5,99.3,113.9,106,105.7
