时间,地区,国内生产总值(亿元),国内生产总值(亿元)-第一产业,国内生产总值(亿元)-第二产业,国内生产总值(亿元)-第三产业,国内生产总值(亿元)-农林牧渔业,国内生产总值(亿元)-工业,国内生产总值(亿元)-制造业,国内生产总值(亿元)-建筑业,国内生产总值(亿元)-批发和零售业,国内生产总值(亿元)-交通运输、仓储和邮政业,国内生产总值(亿元)-住宿和餐饮业,国内生产总值(亿元)-金融业,国内生产总值(亿元)-房地产业,国内生产总值(亿元)-信息传输、软件和信息技术服务业,国内生产总值(亿元)-租赁和商务服务业,国内生产总值(亿元)-其他
2022年第一季度,全国,292446.7,18182.7,120237.9,154026,19121.9,99222.5,82661.6,21464.3,27789.2,12875.7,3822,23126.2,18518.4,12919.3,8319.5,45267.6
2022年第三季度,全国,333990.7,33450.1,129923.5,170617.2,35059,105047,86403.4,25537.2,32403.6,13155.4,5199.2,22933.4,18452.2,12489.6,12068.3,51645.9
2022年第二季度,全国,307942.1,25653.5,119332.8,162955.8,26823.9,98464.7,80325.3,21366.1,29875.1,13906.2,4856.5,23693,17947.5,11423.8,10160.6,49424.7
2022年第四季度,全国,284423,11589.4,106139.3,166694.3,12293.2,93487.8,77421.9,13140.2,28086.7,12609.4,4485.6,25617.7,19639.2,13985.7,9914.3,51163.2
2023年第一季度,全国,308292.6,18807.9,121533.4,167951.3,19839.9,99017.3,82794.5,23013.3,29755.7,14569.9,4632.8,25397.1,19025.1,14760.5,9769.7,48511.3
2023年第三季度,全国,347890.1,33425,133702.9,180762.2,35143.2,107388.2,88540.3,26985.1,34123,14695.9,6242.4,24301.2,17782.3,13940.2,13386.8,53901.9
2023年第二季度,全国,319976.3,25932.8,121212.9,172830.6,27186.3,99209.8,81271.7,22552.6,31107,15944.6,5662.9,25360.6,17276.1,12507.6,11276.7,51892.3
2023年第四季度,全国,296299.5,11538.4,109846.3,174914.7,12294.5,96425.6,80142.8,13978.2,29542.8,13531.5,4891.9,26811.5,17736.3,15881.2,11231.6,53974.3
2024年第一季度,全国,320536.5,19121.6,126683.6,174731.4,20240.7,103432.6,86543.7,23792.9,31336.4,15152.8,4943.9,26193.9,17778,16120.7,10801.1,50743.5
2024年第二季度,全国,270344.5,10920.7,104295.7,155128.1,11572,92309.5,76686.8,12398.3,26226.2,11139.6,3877.2,23532.7,18848,12637.3,9216,48587.6
