品类,商品名称,市场价,双12价,折扣力度,商品链接,推荐理由
眼镜,瑞士军刀典范58mm,159,66.78,0.42,立即购买,性价比高，店家的精推款
眼镜,正牌进口石楠木烟斗,298,131.12,0.44,立即购买,性价比高，店家的精推款
眼镜,新款美国国旗五角星芝宝,390,195,0.5,立即购买,性价比高，店家的精推款
眼镜,日本风车火机超薄5色可选,650,286,0.44,立即购买,性价比高，店家的精推款
眼镜,zippo打火机磨砂貔貅,179,89.5,0.5,立即购买,性价比高，店家的精推款
眼镜,zippo打火机鸿运骏马,365,266.45,0.73,立即购买,性价比高，店家的精推款
眼镜,ZIPPO天使之翼打火机,566,237.72,0.42,立即购买,性价比高，店家的精推款
眼镜,超轻个性雕花钻石切边眼镜,278,255.76,0.92,立即购买,性价比高，店家的精推款
眼镜,镶钻钻石切边近视眼镜 女,198,188.1,0.95,立即购买,性价比高，店家的精推款
眼镜,视魂复古眼镜框近视女款,368,147.2,0.4,立即购买,性价比高，店家的精推款
眼镜,独家定制韩国超轻瘦脸大框,198,97.02,0.49,立即购买,性价比高，店家的精推款
眼镜,复古圆形金属半框眼镜,46,20.7,0.45,立即购买,性价比高，店家的精推款
眼镜,正品施洛华超轻近视眼镜框,188,94,0.5,立即购买,性价比高，店家的精推款
眼镜,正品施洛华纯钛近视眼镜框,319,239.25,0.75,立即购买,性价比高，店家的精推款
眼镜,复古超轻原宿大框平光眼镜,268,75.04,0.28,立即购买,性价比高，店家的精推款
眼镜,右店绚丽手工近视眼镜,298,196.68,0.66,立即购买,性价比高，店家的精推款
眼镜,精工全框纯钛近视眼镜架男,560,380.8,0.68,立即购买,性价比高，店家的精推款
眼镜,意大利进口时尚折叠老花镜,398,115.42,0.29,立即购买,性价比高，店家的精推款
眼镜,韩国钻石切边近视眼镜男士,356,160.2,0.45,立即购买,性价比高，店家的精推款
眼镜,雷朋蛤蟆镜男女款墨镜,788,630.4,0.8,立即购买,性价比高，店家的精推款
眼镜,明星款偏光太阳镜,198,69.3,0.35,立即购买,性价比高，店家的精推款
眼镜,D&G全智贤同款太阳镜,1209.99,1101.0909,0.91,立即购买,性价比高，店家的精推款
眼镜,代购凯伦沃克偏光太阳镜,650,487.5,0.75,立即购买,性价比高，店家的精推款
眼镜,男士暴龙太阳镜时尚偏光镜,698,328.06,0.47,立即购买,性价比高，店家的精推款
眼镜,MIUMIU复古潮款墨镜,2980,1788,0.6,立即购买,性价比高，店家的精推款
眼镜,高端大框瘦脸反光偏光镜,276,124.2,0.45,立即购买,性价比高，店家的精推款
眼镜,新款正品潮女墨镜3595,2850,1425,0.5,立即购买,性价比高，店家的精推款
眼镜,帕森 经典蛤蟆镜偏光镜,299,77.74,0.26,立即购买,性价比高，店家的精推款
眼镜,超轻日夜双用防眩光夹片,188,37.6,0.2,立即购买,性价比高，店家的精推款
眼镜,oyea女士偏光太阳镜,490,122.5,0.25,立即购买,性价比高，店家的精推款
眼镜,开车司车镜,396,158.4,0.4,立即购买,性价比高，店家的精推款
眼镜,康视顿运动眼镜,225,108,0.48,立即购买,性价比高，店家的精推款
眼镜,韩国唯胜TR90镜架,198,95.04,0.48,立即购买,性价比高，店家的精推款
眼镜,复古超轻粗框眼镜架可配镜,198,49.5,0.25,立即购买,性价比高，店家的精推款
眼镜,超轻TR90近视眼镜架,108,59.4,0.55,立即购买,性价比高，店家的精推款
眼镜,德国哈啰防蓝光抗疲劳眼镜,668,334,0.5,立即购买,性价比高，店家的精推款
眼镜,右店秋冬圆框板材眼镜框,238,197.54,0.83,立即购买,性价比高，店家的精推款
眼镜,手造复古时尚眼镜框,488,97.6,0.2,立即购买,性价比高，店家的精推款
眼镜,潮流文艺豹纹镜框复古超轻,158,79,0.5,立即购买,性价比高，店家的精推款
眼镜,佐川藤井复古眼镜架,313,156.5,0.5,立即购买,性价比高，店家的精推款
眼镜,正品宝姿 眼镜架,450,423,0.94,立即购买,性价比高，店家的精推款
手表,正品瑞士品牌手表真皮男表,999,220,0.22,立即购买,蓝宝石镜面中小表盘，真皮表带
手表,Swatch炫彩透视情侣,550,347,0.63,立即购买,爆款多色情侣表水底世界
手表,瑞士名表swatch,710,348,0.49,立即购买,多彩炫丽，展现年轻的魅力
手表,天梭 力洛克经典机械男表,4450,2848,0.64,立即购买,天梭150周年纪念表款商务风格
手表,男士机械表瑞士真皮手表,1592,350,0.22,立即购买,真皮手表，优雅男士首选
手表,瑞士名表swatch,580,278,0.48,立即购买,瑞士名品，时尚绚丽的中性手表
手表,迪士尼多功能户外运动表,248,94,0.38,立即购买,100防水 LED夜光
手表,正品迪士尼镶钻卡通女生表,198,79,0.4,立即购买,迪士尼公主贝儿仙蒂白雪米妮
手表,onlyou皮带情侣手表,160,80,0.5,立即购买,onlyou只有你!进口机芯
手表,柯南创意儿童手表,118,27,0.23,立即购买,名侦探柯南儿童手表，男孩最爱
手表,双面夜光镂空情侣手表一对,2550,357,0.14,立即购买,男表女表情侣手表机械表镂空夜光
手表,瑞士手表自动机械表男休闲,990,188,0.19,立即购买,多功能机械表日历星期月份24时
手表,卡西欧男表温度指南针,1458,1356,0.93,立即购买,最新款最炫多功能温度计指南针
手表,依波豪华镶钻全自动机械表,999,759,0.76,立即购买,商务背透双日历天然真钻年最低价
手表,手表男士皮带超薄机械表,1752,350,0.2,立即购买,简约大气 百米防水 蓝宝石镜面
手表,卡西欧新款商务男表,598,233,0.39,立即购买,卡西欧新款男表多色可选
手表,卡西欧 三眼商务真皮男表,979,460,0.47,立即购买,三眼计时码表 休闲商务绅士风范
手表,正品聚利时 韩国时尚男表,248,77,0.31,立即购买,韩流男表 超人首选
手表,艾奇全自动机械男表镂空,698,230,0.33,立即购买,全自动机械表真皮表带防水
耳饰,北海南珠天然珍珠耳钉,396,178.2,0.45,立即购买,TOP卖家，爆款商品，品质保证
耳饰,简妮珀尔优雅天然珍珠耳环,240,146.4,0.61,立即购买,TOP卖家，爆款商品，品质保证
颈饰,天然珍珠项链 正圆无瑕,1980,990,0.5,立即购买,TOP卖家，爆款商品，品质保证
耳饰,恒实琥珀 墨西哥蓝珀耳钉,428,342.4,0.8,立即购买,TOP卖家，爆款商品，品质保证
颈饰,带证书随形蜜蜡配老山檀,2600,2470,0.95,立即购买,TOP卖家，爆款商品，品质保证
手饰,花瓣大溪地黑珍珠戒指,936,468,0.5,立即购买,TOP卖家，爆款商品，品质保证
手饰,思量波兰天然血珀佛珠手链,3990,798,0.2,立即购买,TOP卖家，爆款商品，品质保证
耳饰,爆款金色天然海水珍珠耳钉,990,227.7,0.23,立即购买,TOP卖家，爆款商品，品质保证
颈饰,苏工名家雕刻吉祥富贵,30900,27192,0.88,立即购买,TOP卖家，爆款商品，品质保证
颈饰,无暇透亮天然珍珠毛衣链,888,195.36,0.22,立即购买,TOP卖家，爆款商品，品质保证
颈饰,18K金大溪地黑珍珠吊坠,780,741,0.95,立即购买,TOP卖家，爆款商品，品质保证
颈饰,天然珍珠项链三件套,669,194.01,0.29,立即购买,TOP卖家，爆款商品，品质保证
颈饰,天然鸡油黄老蜜蜡佛珠,2100,987,0.47,立即购买,TOP卖家，爆款商品，品质保证
颈饰,近正圆 几乎无瑕,380,243.2,0.64,立即购买,TOP卖家，爆款商品，品质保证
手饰,雅琪18k金排扭手链,710,553.8,0.78,立即购买,TOP卖家，爆款商品，品质保证
耳饰,25分白金群镶钻石耳钉,1788,1573.44,0.88,立即购买,TOP卖家，爆款商品，品质保证
贵金属,天下第一福福字金条,596,536.4,0.9,立即购买,TOP卖家，爆款商品，品质保证
手饰,3D硬千足金迷你蝴蝶结,319.8,271.83,0.85,立即购买,TOP卖家，爆款商品，品质保证
颈饰,3D硬金 招财貔貅,523,470.7,0.9,立即购买,TOP卖家，爆款商品，品质保证
手饰,18K金皇冠戒指,589,494.76,0.84,立即购买,TOP卖家，爆款商品，品质保证
手饰,18k白金钻石戒指,2429,1700.3,0.7,立即购买,TOP卖家，爆款商品，品质保证
其他,孚乐泰GIA50分裸钻,13398,6699,0.5,立即购买,TOP卖家，爆款商品，品质保证
手饰,剧中款佐卡伊独家设计款,8331.25,3832.375,0.46,立即购买,TOP卖家，爆款商品，品质保证
颈饰,周生生 足金小胖猪串珠,980,931,0.95,立即购买,TOP卖家，爆款商品，品质保证
手饰,茜茜公主钻石女戒,5798,2841.02,0.49,立即购买,TOP卖家，爆款商品，品质保证
手饰,周大福心心相映黄金戒指,741.87,734.4513,0.99,立即购买,TOP卖家，爆款商品，品质保证
手饰,粉晶千足金KT猫黄金手链,866.7,520.02,0.6,立即购买,TOP卖家，爆款商品，品质保证
手饰,3D硬千足黄金马生肖手链,383,321.72,0.84,立即购买,TOP卖家，爆款商品，品质保证
贵重宝石,蛋形芬达石榴石,800,480,0.6,立即购买,TOP卖家，爆款商品，品质保证
贵重宝石,1.06克拉祖母绿戒指,11300,7006,0.62,立即购买,TOP卖家，爆款商品，品质保证
贵重宝石,0.64克拉红宝石戒指,4930,2218.5,0.45,立即购买,TOP卖家，爆款商品，品质保证
贵重宝石,3.89克拉坦桑石戒指,27960,6990,0.25,立即购买,TOP卖家，爆款商品，品质保证
贵重宝石,戴妃款天然坦桑石钻戒,16050,3852,0.24,立即购买,TOP卖家，爆款商品，品质保证
贵重宝石,天然无烧蓝宝石裸石,2500,2375,0.95,立即购买,TOP卖家，爆款商品，品质保证
贵重宝石,摩根石18K玫瑰金戒指,1000,990,0.99,立即购买,TOP卖家，爆款商品，品质保证
贵重宝石,18K金红蓝宝石排戒指,3429,1680.21,0.49,立即购买,TOP卖家，爆款商品，品质保证
颈饰,飘花缅甸翡翠观音,3000,1470,0.49,立即购买,TOP卖家，爆款商品，品质保证
颈饰,天然冰种飘花翡翠观音吊坠,36000,32400,0.9,立即购买,TOP卖家，爆款商品，品质保证
颈饰,缅甸天然翡翠叶子吊坠,6800,3808,0.56,立即购买,TOP卖家，爆款商品，品质保证
颈饰,羊脂玉平安牌,8000,3360,0.42,立即购买,TOP卖家，爆款商品，品质保证
手饰,A货翡翠高冰种蛋面戒指,2800,2212,0.79,立即购买,TOP卖家，爆款商品，品质保证
颈饰,冰种翡翠飘蓝花鹰高瞻远瞩,21800,13080,0.6,立即购买,TOP卖家，爆款商品，品质保证
颈饰,熙韵翡翠高冰种飘花大葫芦,35000,31500,0.9,立即购买,TOP卖家，爆款商品，品质保证
手饰,冰糯种阳绿花翡翠手镯,160000,80000,0.5,立即购买,TOP卖家，爆款商品，品质保证
手饰,冰糯种满果绿翡翠手镯,62000,31000,0.5,立即购买,TOP卖家，爆款商品，品质保证
时尚饰品,转运圆珠手链,258,87.72,0.34,立即购买,TOP卖家，爆款推荐
时尚饰品,六字真言辟邪转运纯银戒指,176,88,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,时尚配戒半圈排钻,213,106.5,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,千足银时尚光面精致手镯,505,202,0.4,立即购买,TOP卖家，爆款推荐
时尚饰品,实心小细花手工千足银手镯,368,184,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,镶嵌AAA锆石银项链,159.9,79.95,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,手工定制纯银光面手镯,385,265.65,0.69,立即购买,TOP卖家，爆款推荐
时尚饰品,栀子花精工手镯,296,195.36,0.66,立即购买,TOP卖家，爆款推荐
时尚饰品,顺庆990纯银碗套装,682,381.92,0.56,立即购买,TOP卖家，爆款推荐
时尚饰品,999千足银梅花手镯,288,144,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,999千足银亲子光面手镯,300,90,0.3,立即购买,TOP卖家，爆款推荐
时尚饰品,蝶恋花银手链,258,87.72,0.34,立即购买,TOP卖家，爆款推荐
时尚饰品,千足银戒指男士霸气刻字,398,167.16,0.42,立即购买,TOP卖家，爆款推荐
时尚饰品,风铃木耳环,145,72.5,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,手工定制开口光面纯银手镯,360,154.8,0.43,立即购买,TOP卖家，爆款推荐
时尚饰品,手工原创 纯银女生萌戒指,172.5,62.1,0.36,立即购买,TOP卖家，爆款推荐
时尚饰品,999千足银平安花,480,206.4,0.43,立即购买,TOP卖家，爆款推荐
时尚饰品,原创纯银枝桠项链文艺森女,158,110.6,0.7,立即购买,TOP卖家，爆款推荐
时尚饰品,纯银手链佛珠圆珠银饰手链,235,105.75,0.45,立即购买,TOP卖家，爆款推荐
时尚饰品,极品5A级酒红石榴石手链,536,241.2,0.45,立即购买,TOP卖家，爆款推荐
时尚饰品,印度金星老料小叶紫檀手串,996,478.08,0.48,立即购买,TOP卖家，爆款推荐
时尚饰品,天然酒红石榴石手链正品,1196,275.08,0.23,立即购买,TOP卖家，爆款推荐
时尚饰品,灵力猫原创 复合戒指,368,36.8,0.1,立即购买,TOP卖家，爆款推荐
时尚饰品,凤凰涅磐蓝晶925银手链,399,139.65,0.35,立即购买,TOP卖家，爆款推荐
时尚饰品,正宗印度金星小叶紫檀手链,2170,802.9,0.37,立即购买,TOP卖家，爆款推荐
时尚饰品,印尼天然沉香木手链佛珠,268,241.2,0.9,立即购买,TOP卖家，爆款推荐
时尚饰品,正品5a酒红石榴石手链,516,252.84,0.49,立即购买,TOP卖家，爆款推荐
时尚饰品,金星小叶紫檀佛珠男款手串,2580,670.8,0.26,立即购买,TOP卖家，爆款推荐
时尚饰品,顶级小叶紫檀木拆房老料,1380,690,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,觉人天然粉晶翡翠纯银手链,218,128.62,0.59,立即购买,TOP卖家，爆款推荐
时尚饰品,星月菩提108佛珠手链,398,278.6,0.7,立即购买,TOP卖家，爆款推荐
时尚饰品,原创沉香手串三生有幸,3280,524.8,0.16,立即购买,TOP卖家，爆款推荐
时尚饰品,凤凰涅磐水晶925银手链,228,114,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,石榴石手链,1628,293.04,0.18,立即购买,TOP卖家，爆款推荐
时尚饰品,黑油老料沉香108颗佛珠,3600,792,0.22,立即购买,TOP卖家，爆款推荐
时尚饰品,实木首饰盒 结婚生日礼物,664,172.64,0.26,立即购买,TOP卖家，爆款推荐
时尚饰品,蒙奇奇吊坠水晶珍珠短项链,590,413,0.7,立即购买,TOP卖家，爆款推荐
时尚饰品,多层流苏毛衣链百搭时尚,159,49.29,0.31,立即购买,TOP卖家，爆款推荐
时尚饰品,韩国公主珠宝首饰盒木质,1680,588,0.35,立即购买,TOP卖家，爆款推荐
时尚饰品,俪丽首饰盒 欧式饰品盒,259,95.83,0.37,立即购买,TOP卖家，爆款推荐
时尚饰品,special胸针,199,99.5,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,项链女锁骨链变色星星吊坠,135,67.5,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,Mbox925纯银耳钉,171,76.95,0.45,立即购买,TOP卖家，爆款推荐
时尚饰品,she's糖果色蝴蝶发箍,139,69.5,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,木质首饰盒韩国珠宝盒,196,98,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,韩国超闪奢华水晶胸针胸花,176,112.64,0.64,立即购买,TOP卖家，爆款推荐
时尚饰品,优雅紫色毛衣链,299,149.5,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,Mbox秘钥寻爱毛衣链,158,56.88,0.36,立即购买,TOP卖家，爆款推荐
时尚饰品,高品质水晶猫头鹰毛衣链,118,56.64,0.48,立即购买,TOP卖家，爆款推荐
时尚饰品,蒙奇奇吊坠水晶珍珠手链,590,389.4,0.66,立即购买,TOP卖家，爆款推荐
时尚饰品,明月心天然芙蓉石水晶项链,268,107.2,0.4,立即购买,TOP卖家，爆款推荐
时尚饰品,包邮韩式新娘饰品三件套,90,45,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,水舞新娘古装发簪流苏步摇,50,45,0.9,立即购买,TOP卖家，爆款推荐
时尚饰品,韩式闪钻珍珠水钻套链,78,77.22,0.99,立即购买,TOP卖家，爆款推荐
时尚饰品,水舞新娘古装头饰流苏凤冠,298,149,0.5,立即购买,TOP卖家，爆款推荐
时尚饰品,新娘项链婚纱配饰新娘套链,74,62.9,0.85,立即购买,TOP卖家，爆款推荐
时尚饰品,包邮韩式新娘饰品结婚婚纱,58,52.2,0.9,立即购买,TOP卖家，爆款推荐
时尚饰品,复古花朵水钻新娘宫廷手链,52,36.4,0.7,立即购买,TOP卖家，爆款推荐
时尚饰品,水舞奢华水钻结婚大皇冠,108,75.6,0.7,立即购买,TOP卖家，爆款推荐
时尚饰品,中式新娘头饰 流苏凤冠,328,147.6,0.45,立即购买,TOP卖家，爆款推荐
