时间,地区,居民消费价格环比涨跌率(%),居民消费价格同比涨跌率(%),失业率(%),进出口总额(亿本币),出口总额(亿本币),进口总额(亿本币),净出口额(亿本币)
2023年10月,日本,-0.2,2.8,2.5,175588.6,89488,86100.6,-3754
2023年11月,日本,-0.1,2.6,2.5,186696.4,95637.7,91058.7,-4401
2023年12月,日本,0.1,2.2,2.4,173536.6,86705.2,86831.5,2353
2023年8月,日本,0.3,3,2.6,181432.1,92771.4,88660.7,-4578
2023年9月,日本,0.9,3.3,2.5,179058.1,91428.4,87629.6,-5546
2024年1月,日本,0,2.8, ,175506.5,90011.2,85495.2, 
2024年2月,日本, , , , , , , 
2024年3月,日本, , , , , , , 
2024年4月,日本, , , , , , , 
2024年5月,日本, , , , , , , 
2024年6月,日本, , , , , , , 
2024年7月,日本, , , , , , , 
2024年8月,日本,0.3,3.2,2.6,172051.9,88640.5,83411.4,-5907
