时间,地区,居民消费价格环比涨跌率(%),居民消费价格同比涨跌率(%),失业率(%),进出口总额(亿本币),出口总额(亿本币),进口总额(亿本币),净出口额(亿本币)
2023年10月,欧元区,-0.6,2.4,6.5,4576.8,2210.5,2366.3,151
2023年11月,欧元区,0.2,2.9,6.5,4536.3,2196.8,2339.6,130
2023年12月,欧元区,-0.4,2.8,6.4,4499.1,2109.3,2389.8, 
2023年8月,欧元区,0.3,4.3,6.5,4573.8,2237.1,2336.6,93
2023年9月,欧元区,0.1,2.9,6.5,4606.9,2251,2355.8,111
2024年1月,欧元区,0.6,2.6, , , , , 
2024年2月,欧元区, , , , , , , 
2024年3月,欧元区, , , , , , , 
2024年4月,欧元区, , , , , , , 
2024年5月,欧元区, , , , , , , 
2024年6月,欧元区, , , , , , , 
2024年7月,欧元区, , , , , , , 
2024年8月,欧元区,0.5,5.2,6.5,4601.4,2242.2,2359.3,116
