时间,地区,居民消费价格环比涨跌率(%),居民消费价格同比涨跌率(%),失业率(%),进出口总额(亿本币),出口总额(亿本币),进口总额(亿本币),净出口额(亿本币)
2023年10月,美国,0.2,3.1,3.7,5707.6,3167.1,2540.5,-619
2023年11月,美国,0.2,3.4,3.7,5778.9,3210.3,2568.6,-622
2023年12月,美国,0.3,3.1,3.7,5818,3246,2572, 
2023年8月,美国,0.4,3.7,3.8,5840,3229.7,2610.3,-606
2023年9月,美国,0.1,3.2,3.8,5809.8,3231,2578.9,-639
2024年1月,美国,0.4,3.2,3.9, , , , 
2024年2月,美国, , , , , , , 
2024年3月,美国, , , , , , , 
2024年4月,美国, , , , , , , 
2024年5月,美国, , , , , , , 
2024年6月,美国, , , , , , , 
2024年7月,美国, , , , , , , 
2024年8月,美国,0.5,3.7,3.8,5697.8,3143.6,2554.2,-581
