序号,通用名,规格,基本单位,生产厂商,产地,批号,行小计:库存数量,行小计:库存金额,180－360天:库存数量,180－360天:库存金额,0－30天:库存数量,0－30天:库存金额,30－60天:库存数量,30－60天:库存金额,90－180天:库存数量,90－180天:库存金额,360天以上:库存数量,360天以上:库存金额,60－90天:库存数量,60－90天:库存金额
1,艾叶,选,千克,山西元和堂中药有限公司,河北,180101,39,624,39,624,,,,,,,,,,
5,白芍,统,千克,山西元和堂中药有限公司,安徽,180102|03,1,38.4,1,38.4,,,,,,,,,,
7,白芍,统,千克,山西元和堂中药有限公司,安徽,180102,680,26112,680,26112,,,,,,,,,,
22,炒桃仁,统,千克,山西元和堂中药有限公司,山西,201704003,71,8292.8,71,8292.8,,,,,,,,,,
23,炒王不留行,选,千克,山西元和堂中药有限公司,河北,170803,52,748.8,52,748.8,,,,,,,,,,
37,地榆,选,千克,山西元和堂中药有限公司,山西,170801,102,2692.8,102,2692.8,,,,,,,,,,
47,粉葛,选,千克,山西元和堂中药有限公司,广西,171001,2,52.8,2,52.8,,,,,,,,,,
48,麸炒薏苡仁,统,千克,山西元和堂中药有限公司,贵州,201706005,31,620,31,620,,,,,,,,,,
50,麸炒枳壳,选,千克,山西元和堂中药有限公司,江西,170901,56,4704,56,4704,,,,,,,,,,
59,枸杞子,选,千克,山西元和堂中药有限公司,宁夏,201704002,119,7616,119,7616,,,,,,,,,,
74,桔梗,统,千克,山西元和堂中药有限公司,安徽,170701,212,17388.2,62,4563.2,150,12825,,,,,,,,
75,桔梗,统,千克,山西元和堂中药有限公司,安徽,201706002,1,73.6,1,73.6,,,,,,,,,,
83,罗汉果,大,个,山西元和堂中药有限公司,广西,170701,10048,20096,10048,20096,,,,,,,,,,
90,女贞子,统,千克,山西元和堂中药有限公司,浙江,171001,100,800,100,800,,,,,,,,,,
91,胖大海,统,千克,山西元和堂中药有限公司,广东,201705002,39,8098.691913,39,8098.691913,,,,,,,,,,
92,芡实,选,千克,山西元和堂中药有限公司,广东,171001,110,11000,110,11000,,,,,,,,,,
97,三七粉,3g*20袋,盒,山西元和堂中药有限公司,云南,201703005,366,13176,366,13176,,,,,,,,,,
100,沙苑子,选,千克,山西元和堂中药有限公司,陕西,171201,80,3712,80,3712,,,,,,,,,,
101,山药,选,千克,山西元和堂中药有限公司,河南,170801,152,6688,152,6688,,,,,,,,,,
102,山药,统,千克,山西元和堂中药有限公司,河南,180101,433,14548.8,433,14548.8,,,,,,,,,,
104,山楂,统,千克,山西元和堂中药有限公司,山西,171001,932,14912,932,14912,,,,,,,,,,
113,盐补骨脂,选,千克,山西元和堂中药有限公司,云南,170802,72,1382.4,72,1382.4,,,,,,,,,,
114,盐补骨脂,选,千克,山西元和堂中药有限公司,云南,170803,34,652.8,34,652.8,,,,,,,,,,
115,盐补骨脂,选,千克,山西元和堂中药有限公司,云南,170801,82,1574.4,82,1574.4,,,,,,,,,,
123,泽泻,选,千克,山西元和堂中药有限公司,福建,171001,50,1800,50,1800,,,,,,,,,,
128,制白附子,选,千克,山西元和堂中药有限公司,河南,180103,38,2584,38,2584,,,,,,,,,,
129,制白附子,选,千克,山西元和堂中药有限公司,河南,180102,21,1428,21,1428,,,,,,,,,,
131,紫苏子,选,千克,山西元和堂中药有限公司,河北,170801,1,19.2,1,19.2,,,,,,,,,,
137,灵芝,选,千克,山西元和堂中药有限公司,贵州,170801,34,2611.2,34,2611.2,,,,,,,,,,
141,黄柏,统,千克,山西元和堂中药有限公司,四川,170702,340.5,15351.75,315,13860,,,25.5,1491.75,,,,,,
153,炒莱菔子,选,千克,山西元和堂中药有限公司,河北,171001,248,5555.2,248,5555.2,,,,,,,,,,
155,炒莱菔子,选,千克,山西元和堂中药有限公司,河北,170901,1,22.4,1,22.4,,,,,,,,,,
169,桃仁,选,千克,山西元和堂中药有限公司,山西,170901,174,19488,174,19488,,,,,,,,,,
174,醋乳香,选,千克,山西元和堂中药有限公司,海南,171002,47,5264,47,5264,,,,,,,,,,
180,郁李仁,选,千克,山西元和堂中药有限公司,内蒙,170801,1,96,1,96,,,,,,,,,,
182,三七粉,选,千克,山西元和堂中药有限公司,云南,180101,94,56400,94,56400,,,,,,,,,,
183,三七粉,选,千克,山西元和堂中药有限公司,云南,171001,0.5,300,0.5,300,,,,,,,,,,
186,炒谷芽,选,千克,山西元和堂中药有限公司,山西,171203,61,878.4,61,878.4,,,,,,,,,,
189,地肤子,选,千克,山西元和堂中药有限公司,山西,171201,2,56,2,56,,,,,,,,,,
191,地龙,选,千克,山西元和堂中药有限公司,广东,170801,12,4320,12,4320,,,,,,,,,,
193,山萸肉,选,千克,山西元和堂中药有限公司,浙江,171201,88,8096,88,8096,,,,,,,,,,
194,山萸肉,选,千克,山西元和堂中药有限公司,浙江,180101,405,38232,405,38232,,,,,,,,,,
195,赤芍,选,千克,山西元和堂中药有限公司,内蒙,171101,106,9328,106,9328,,,,,,,,,,
197,旋覆花,选,千克,山西元和堂中药有限公司,浙江,171101,97,6984,97,6984,,,,,,,,,,
199,炒蒺藜,选,千克,山西元和堂中药有限公司,安徽,180102,97,2716,97,2716,,,,,,,,,,
200,薄荷,选,千克,山西元和堂中药有限公司,江苏,170901,187,2393.6,187,2393.6,,,,,,,,,,
210,马齿苋,选,千克,山西元和堂中药有限公司,山西,170901,99,1504.8,99,1504.8,,,,,,,,,,
211,牡丹皮,选,千克,山西元和堂中药有限公司,安徽,171001,12,720,12,720,,,,,,,,,,
213,槟榔,选,千克,山西元和堂中药有限公司,广东,171001,76,2736,76,2736,,,,,,,,,,
218,川芎,精选,千克,山西元和堂中药有限公司,四川,171102,153,8034,38,1824,115,6210,,,,,,,,
223,巴戟天,统,千克,山西元和堂中药有限公司,广东,170701,175,23800,175,23800,,,,,,,,,,
225,补骨脂,选,千克,山西元和堂中药有限公司,云南,180101,55,1100,55,1100,,,,,,,,,,
230,炒麦芽,精选,千克,山西元和堂中药有限公司,安徽,171202,1,10,1,10,,,,,,,,,,
243,白芍,精选,千克,山西元和堂中药有限公司,安徽,180101,353,18356,353,18356,,,,,,,,,,
252,鳖甲,选,千克,山西元和堂中药有限公司,湖北,180101,4,896,4,896,,,,,,,,,,
254,侧柏叶,选,千克,山西元和堂中药有限公司,山西,170901,64,512,64,512,,,,,,,,,,
