出入库管理明细表,出入库管理明细表,出入库管理明细表,出入库管理明细表,出入库管理明细表,出入库管理明细表,出入库管理明细表,出入库管理明细表,出入库管理明细表,出入库管理明细表,出入库管理明细表,出入库管理明细表
,,,,,,,,,,,
日期,产品编码,产品名称,规格型号,单位,入库明细,入库明细,入库明细,出库明细,出库明细,出库明细,备注
日期,产品编码,产品名称,规格型号,单位,入库数量,入库单价,入库金额,出库数量,出库单价,出库金额,备注
2020-05-01 00:00:00,CP-003,产品3,规格3,箱,13,150,1950,15,130,1950,
2020-05-02 00:00:00,CP-001,产品1,规格1,箱,16,120,1920,12,150,1800,
2020-05-03 00:00:00,CP-006,产品6,规格6,箱,22,180,3960,23,230,5290,
2020-05-04 00:00:00,CP-004,产品4,规格4,箱,24,210,5040,16,180,2880,
2020-05-05 00:00:00,CP-004,产品4,规格4,箱,31,160,4960,13,120,1560,
2020-05-06 00:00:00,CP-009,产品9,规格9,箱,18,190,3420,10,110,1100,
2020-05-07 00:00:00,CP-006,产品6,规格6,箱,36,120,4320,16,140,2240,
2020-05-08 00:00:00,CP-009,产品9,规格9,箱,25,180,4500,18,170,3060,
2020-05-09 00:00:00,CP-006,产品6,规格6,箱,19,210,3990,12,190,2280,
2020-05-10 00:00:00,CP-003,产品3,规格3,箱,17,160,2720,17,210,3570,
