规  划  指  标,规  划  指  标,规  划  指  标,规  划  指  标,规  划  指  标,规  划  指  标,规  划  指  标,规  划  指  标,规  划  指  标,规  划  指  标,规  划  指  标,规  划  指  标,规  划  指  标,规  划  指  标
总占地面积,总占地面积,113195.68,113195.68,m2,建筑用地面积,建筑用地面积,113195.68,113195.68,m2,总建筑面积,242975.4,242975.4,m2
建筑物占地面积,建筑物占地面积,33619.12,33619.12,m2,建  筑  密  度,建  筑  密  度,0.297000026856149,0.297000026856149,0.297000026856149,绿    地    率,0.351,0.351,0.351
计容积率面积,计容积率面积,211675.9,211675.9,m2,容    积    率,容    积    率,1.86999980918,1.86999980918,1.86999980918,可售单价,,,元/平米
道路广场用地合计,道路广场用地合计,沥青路面车行道,沥青路面车行道,砼路面车行道,砼路面车行道,砼路面车行道,硬质铺装车行道,硬质铺装车行道,硬质铺装广场,硬质铺装广场,硬质铺装人行道,硬质铺装人行道,硬质铺装人行道
7500,7500,,,,,,,,,,,,
绿化用地合计,绿化用地合计,重要公共绿地,重要公共绿地,组团宅间绿化,组团宅间绿化,组团宅间绿化,底层私家花园,底层私家花园,体育(游乐)设施占地,体育(游乐)设施占地,水景占地面积,水景占地面积,水景占地面积
39731.68368,39731.68368,,,,,,,,,,,,
,,,,,,,,,,,,,
产品构成,产品构成,建筑面积,可售面积,可售面积,可售单价,可售单价,可售总额,产品比例,产品比例,平均每户面积,单元数,户数,户数
住宅,小高层,53767.5,51079.125,51079.125,3300,3300,16856.11125,0.95,0.95,,,,
住宅,高层,66493.1,63168.445,63168.445,3800,3800,24004.0091,0.95,0.95,,,,
住宅,小计,120260.6,114247.57,114247.57,7100,7100,40860.12035,0.95,0.95,,,,
公共配套建筑,商铺,18315.7,17583.072,17583.072,7000,7000,12308.1504,,,,,,
公共配套建筑,棉纺市场区,45733.5,43904.16,43904.16,7000,7000,30732.912,,,,,,
公共配套建筑,公寓酒店,22294.3,21402.528,21402.528,4000,4000,8561.0112,,,,,,
公共配套建筑,会所,1168,,,,,,,,,,,
公共配套建筑,辅助用房,1660.9,,,,,,成本核算说明,需分摊所有八大类费用,需分摊所有八大类费用,需分摊所有八大类费用,需分摊所有八大类费用,需分摊所有八大类费用
,小计,89172.4,82889.76,82889.76,,,51602.0736,成本核算说明,成本全部摊入可售部分，不单独保留成本,成本全部摊入可售部分，不单独保留成本,成本全部摊入可售部分，不单独保留成本,成本全部摊入可售部分，不单独保留成本,成本全部摊入可售部分，不单独保留成本
,,建筑面积,车位数,车位数,可售单价,可售单价,可售总额,成本核算说明,成本全部摊入可售部分，不单独保留成本,成本全部摊入可售部分，不单独保留成本,成本全部摊入可售部分，不单独保留成本,成本全部摊入可售部分，不单独保留成本,成本全部摊入可售部分，不单独保留成本
,半地下室,15201.3,,,,,,成本核算说明,成本全部摊入可售部分，不单独保留成本,成本全部摊入可售部分，不单独保留成本,成本全部摊入可售部分，不单独保留成本,成本全部摊入可售部分，不单独保留成本,成本全部摊入可售部分，不单独保留成本
,地下自行车库,6881.7,,,,,,成本核算说明,,,,,
,人防地下室,9407.4,,,,,,成本核算说明,,,,,
,地下室,31490.4,,,,,,成本核算说明,,,,,
停车,地下车位,,446,446,80000,80000,3032.8,成本核算说明,只分摊主体建安成本，或保留定额成本,只分摊主体建安成本，或保留定额成本,只分摊主体建安成本，或保留定额成本,只分摊主体建安成本，或保留定额成本,只分摊主体建安成本，或保留定额成本
停车,地面车库,,400,400,,,0,成本核算说明,根据是否可售及收入配比原则自行确定,根据是否可售及收入配比原则自行确定,根据是否可售及收入配比原则自行确定,根据是否可售及收入配比原则自行确定,根据是否可售及收入配比原则自行确定
停车,屋顶车位,,444,444,,,0,成本核算说明,,,,,
,小计,,1290,1290,,,3032.8,成本核算说明,,,,,
合计,合计,240923.4,197137.33,197137.33,,,95494.99395,,,,,,
,,,,,,,,,,,,,
