时间,网络编号,站点编号,收费路径,ETC流量,总流量,1类车流量,2类车流量,3类车流量,4类车流量,5类车流量,6类车流量,7类车流量,8类车流量,9类车流量,10类车流量,11类车流量,其他车流量,ETC收费流量,1类车收费流量,2类车收费流量,3类车收费流量,4类车收费流量,5类车收费流量,6类车收费流量,7类车收费流量,8类车收费流量,9类车收费流量,10类车收费流量,11类车收费流量,其他类车收费流量,收费总流量
2012/4/1,3101,110001,1,62,435,268,6,9,4,37,35,17,20,11,0,4,24,1191.5,4182.25,89.25,233.25,100,590,903.75,470,714.75,528.25,0,150,0,7961.5
2012/4/1,3101,120001,2,7,60,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/4/1,3101,50008,1,2,37,18,0,0,0,4,3,1,0,3,0,2,6,47.5,347.5,0,0,0,90,50,60,0,325,0,40,0,912.5
2012/4/1,3101,300002,1,3,28,16,0,0,0,3,5,4,0,0,0,0,0,29,124.25,0,0,0,14.75,100,115,0,0,0,0,0,354
2012/4/1,3101,50002,1,5,47,36,0,0,0,2,0,2,0,5,0,0,2,48,418,0,0,0,25,0,40,0,200,0,0,0,683
2012/4/1,3101,40007,1,1,16,13,0,0,1,0,0,0,0,0,0,1,1,14.25,319.25,0,0,50,0,0,0,0,0,0,20,0,389.25
2012/4/1,3101,50010,1,16,63,62,0,0,1,0,0,0,0,0,0,0,0,178.25,733.25,0,0,10,0,0,0,0,0,0,0,0,743.25
2012/4/1,3101,20002,1,3,22,14,1,0,1,2,2,0,0,0,0,0,2,43.25,173.75,10,0,10,24.5,20,0,0,0,0,0,0,238.25
2012/4/1,3101,300005,1,1,23,16,0,0,0,1,2,0,0,1,0,3,0,14.25,139.25,0,0,0,15,60,0,0,70,0,40,0,324.25
2012/4/1,3101,40003,2,2,53,37,0,0,0,6,3,2,1,2,0,0,2,23.75,404.5,0,0,0,75,65,29.25,20,120,0,0,0,713.75
2012/4/1,3101,90006,248,0,10,4,0,0,0,2,1,0,0,0,0,0,3,0,100,0,0,0,65,40,0,0,0,0,0,0,205
2012/4/1,3101,340009,248,0,12,7,0,0,0,1,1,3,0,0,0,0,0,0,285,0,0,0,30,50,230,0,0,0,0,0,595
2012/4/1,3101,90005,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40
2012/4/1,3101,150009,248,0,107,24,1,0,1,3,7,6,3,50,0,11,1,0,1045,30,0,75,70,235,295,90,3295,0,455,0,5590
2012/4/1,3101,330002,3,1,12,9,0,0,0,0,1,0,1,0,0,1,0,4.75,124.75,0,0,0,0,15,0,40,0,0,10,0,189.75
2012/4/1,3101,90008,249,9,131,60,0,0,0,15,12,9,2,11,0,21,1,285,1682,0,0,0,355,373,385,100,735,0,525,0,4155
2012/4/1,3101,150007,1,1,12,6,0,0,0,1,2,2,0,0,0,0,1,14.25,114.25,0,0,0,5,60,50,0,0,0,0,0,229.25
2012/4/1,3101,210001,1,0,6,3,0,0,0,0,2,0,0,0,0,0,1,0,30,0,0,0,0,220,0,0,0,0,0,0,250
2012/4/1,3101,150005,1,4,15,11,1,0,0,0,0,1,1,1,0,0,0,95,163,19,0,0,0,0,15,38,25,0,0,0,260
2012/4/1,3101,120002,1,38,346,9,0,0,0,0,4,0,0,0,0,1,332,14.25,94.25,0,0,0,0,60,0,0,0,0,10,0,164.25
2012/4/1,3101,40006,1,1,22,5,1,0,0,1,0,1,0,9,2,2,1,35,95,25,0,0,15,0,5,0,320,55,55,0,570
2012/4/1,3101,330002,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100
2012/4/1,3101,20005,1,1,306,8,0,0,0,3,7,4,0,2,1,281,0,4.75,189.75,0,0,0,120,320,215,0,185,10,3995,0,5034.75
2012/4/1,3101,110001,3,14,96,37,1,0,7,13,21,2,7,4,0,2,2,86.75,347,15,0,34.75,125,235,20,155,140,0,35,0,1106.75
2012/4/1,3101,80004,248,7,533,161,6,0,9,77,68,79,27,38,0,41,27,258.25,4597,188.5,0,412.75,2245,2665,3495,1425,2385,0,1795,0,19208.25
2012/4/1,3101,80002,3,27,144,131,2,0,0,2,4,4,0,0,0,0,1,295.25,1515.25,20,0,0,25,100,120,0,0,0,0,0,1780.25
2012/4/1,3101,50006,1,6,56,31,0,0,0,5,5,4,1,6,0,1,3,58,473,0,0,0,79.25,130,165,50,260,0,50,0,1207.25
2012/4/1,3101,310001,13,8,32,21,1,0,2,3,1,2,0,2,0,0,0,71.75,202.25,9.5,0,25,75,15,30,0,40,0,0,0,396.75
2012/4/1,3101,310002,11,6,57,27,2,0,0,4,4,4,4,2,1,9,0,73.25,319,60,0,0,54.25,80,100,110,70,30,90,0,913.25
2012/4/1,3101,330001,2,0,9,6,0,0,0,1,0,0,0,0,0,0,2,0,175,0,0,0,15,0,0,0,0,0,0,0,190
2012/4/1,3101,320004,1,8,20,10,1,0,0,0,0,0,0,6,0,1,2,194.75,225.75,5,0,0,0,0,0,0,114,0,10,0,354.75
2012/4/1,3101,40006,2,0,5,2,0,0,1,0,0,0,0,1,0,0,1,0,25,0,0,20,0,0,0,0,50,0,0,0,95
2012/4/1,3101,330002,2,1,8,6,1,0,0,0,0,0,0,0,0,0,1,4.75,94.75,25,0,0,0,0,0,0,0,0,0,0,119.75
2012/4/1,3101,120003,248,42,416,158,3,0,7,26,45,50,5,82,1,27,12,901.25,2833.25,90,0,100,424.25,1130,1460,200,3608.5,15,610,0,10471
2012/4/1,3101,120003,240,0,18,7,0,0,0,1,3,2,0,5,0,0,0,0,54.75,0,0,0,5,15,10,0,100,0,0,0,184.75
2012/4/1,3101,340001,1,1,13,9,0,0,0,1,0,0,0,0,0,3,0,4.75,144.75,0,0,0,20,0,0,0,0,0,30,0,194.75
2012/4/1,3101,50003,1,9,60,21,5,0,0,8,8,11,1,1,0,2,3,122,288,70,0,0,139,155,490,20,45,0,80,0,1287
2012/4/1,3101,80001,1,53,474,284,15,0,5,41,25,15,7,25,2,12,43,1112.5,5269,367,0,200,1010,850,682.25,416,1579.25,100,574,0,11047.5
2012/4/1,3101,320002,1,4,27,2,0,0,0,1,2,0,0,5,0,17,0,76,52.5,0,0,0,5,130,0,0,48.5,0,95,0,331
2012/4/1,3101,40004,1,8,66,54,2,0,0,1,4,0,1,1,0,0,3,104.5,810.25,30,0,0,14.25,70,0,30,30,0,0,0,984.5
2012/4/1,3101,40002,1,18,167,141,4,0,2,3,1,3,2,6,0,3,2,156.75,1105.25,20,0,29.5,20,10,110,65,222,0,110,0,1691.75
2012/4/1,3101,310001,11,4,13,5,0,0,0,3,0,1,1,0,0,3,0,47.75,45,0,0,0,73.25,0,55,4.75,0,0,19.75,0,197.75
2012/4/1,3101,310002,12,4,52,13,0,0,0,0,0,2,1,9,3,24,0,223.25,314,0,0,0,0,0,110,20,399.25,30,410,0,1283.25
2012/4/1,3101,80004,1,2,29,13,1,0,0,6,2,0,0,4,0,3,0,14.25,174.25,25,0,0,145,45,0,0,265,0,80,0,734.25
2012/4/1,3101,340006,1,7,41,16,1,0,0,0,0,1,8,9,0,2,4,164,325.5,5,0,0,0,0,35,480,458.5,0,95,0,1399
2012/4/1,3101,330001,5,1,9,2,0,0,0,0,0,0,0,0,0,4,3,19,29,0,0,0,0,0,0,0,0,0,120,0,149
2012/4/1,3101,40003,1,9,59,50,2,0,2,1,3,0,0,0,0,0,1,81.75,492.5,19.5,0,14.75,5,30,0,0,0,0,0,0,561.75
