时间,网络编号,站点编号,收费路径,ETC流量,总流量,1类车流量,2类车流量,3类车流量,4类车流量,5类车流量,6类车流量,7类车流量,8类车流量,9类车流量,10类车流量,11类车流量,其他车流量
2012/4/1,3101,110001,1,37,494,298,1,1,4,73,48,19,25,22,1,2,0
2012/4/1,3101,50008,1,2,28,11,0,0,0,10,4,0,1,2,0,0,0
2012/4/1,3101,40003,2,6,54,31,1,0,0,9,3,2,0,7,0,1,0
2012/4/1,3101,120001,2,6,41,21,0,0,2,11,1,0,0,6,0,0,0
2012/4/1,3101,110001,2,0,4,3,0,0,0,0,1,0,0,0,0,0,0
2012/4/1,3101,50002,1,6,55,31,0,0,0,3,13,2,0,6,0,0,0
2012/4/1,3101,340009,248,0,8,4,0,0,0,1,1,1,0,0,1,0,0
2012/4/1,3101,40007,1,2,22,15,0,0,0,0,2,4,1,0,0,0,0
2012/4/1,3101,300005,1,3,19,16,0,0,0,0,1,0,0,2,0,0,0
2012/4/1,3101,300002,1,1,19,9,0,1,0,1,4,2,0,0,0,2,0
2012/4/1,3101,90006,248,3,31,5,0,0,1,2,7,1,0,1,0,14,0
2012/4/1,3101,50010,1,42,128,122,3,0,2,1,0,0,0,0,0,0,0
2012/4/1,3101,20002,1,2,18,14,1,0,0,1,1,1,0,0,0,0,0
2012/4/1,3101,90005,1,0,4,0,0,0,0,3,1,0,0,0,0,0,0
2012/4/1,3101,90008,249,4,42,25,0,1,0,10,2,0,4,0,0,0,0
2012/4/1,3101,150009,248,3,51,20,0,1,0,5,1,0,0,21,1,2,0
2012/4/1,3101,330002,3,3,15,3,1,1,0,3,0,2,1,1,1,2,0
2012/4/1,3101,150007,1,0,18,5,0,0,0,1,2,4,1,4,0,1,0
2012/4/1,3101,150005,1,1,6,4,0,0,0,0,2,0,0,0,0,0,0
2012/4/1,3101,210001,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0
2012/4/1,3101,120002,1,30,310,214,8,1,20,19,4,20,15,3,5,1,0
2012/4/1,3101,310001,13,9,85,46,2,0,1,2,7,9,0,12,0,6,0
2012/4/1,3101,320004,1,6,16,7,1,0,0,1,1,0,0,4,0,2,0
2012/4/1,3101,20005,1,0,103,5,0,0,0,1,5,1,0,2,0,89,0
2012/4/1,3101,110001,3,8,106,31,1,0,2,21,29,11,3,3,0,5,0
2012/4/1,3101,40006,1,5,20,8,0,0,0,1,0,2,1,8,0,0,0
2012/4/1,3101,330002,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0
2012/4/1,3101,80004,248,15,351,119,10,0,7,17,71,57,21,30,0,19,0
2012/4/1,3101,80002,3,18,130,100,0,0,1,1,12,10,2,2,0,2,0
2012/4/1,3101,90001,2,1,83,83,0,0,0,0,0,0,0,0,0,0,0
2012/4/1,3101,310002,11,1,38,19,0,0,0,4,1,1,0,3,3,7,0
2012/4/1,3101,50006,1,3,56,31,0,0,0,4,7,2,0,9,0,3,0
2012/4/1,3101,330002,1,2,14,13,0,0,0,1,0,0,0,0,0,0,0
2012/4/1,3101,330001,2,0,8,3,1,0,0,0,0,4,0,0,0,0,0
2012/4/1,3101,40006,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0
2012/4/1,3101,320002,1,0,13,4,1,0,0,0,1,1,0,1,0,5,0
2012/4/1,3101,310002,12,1,39,5,0,0,0,0,3,0,0,13,0,18,0
2012/4/1,3101,120003,248,32,330,131,2,4,4,29,27,36,16,56,2,23,0
2012/4/1,3101,40002,1,7,118,75,2,0,2,5,10,6,1,13,0,4,0
2012/4/1,3101,80001,1,42,583,338,12,1,4,22,99,26,14,46,0,21,0
2012/4/1,3101,310001,11,0,50,0,0,0,0,0,1,4,0,0,1,44,0
2012/4/1,3101,40004,1,7,68,54,1,0,0,9,3,1,0,0,0,0,0
2012/4/1,3101,40003,1,2,21,18,0,0,0,1,2,0,0,0,0,0,0
2012/4/1,3101,340006,1,2,60,15,0,0,0,1,3,1,2,6,0,32,0
2012/4/1,3101,80004,1,0,57,11,0,0,0,1,8,22,0,14,0,1,0
2012/4/1,3101,330001,5,1,19,6,0,0,0,0,1,1,1,0,0,10,0
2012/4/1,3101,340001,1,0,6,1,0,0,0,2,1,0,0,1,0,1,0
2012/4/1,3101,50003,1,18,76,25,0,0,1,4,16,23,0,2,0,5,0
2012/4/1,3101,120003,240,2,16,4,0,0,0,8,4,0,0,0,0,0,0
2012/4/1,3101,50004,1,6,23,12,0,0,1,2,2,4,0,1,0,1,0
2012/4/1,3101,50005,1,4,40,22,0,0,0,9,4,1,1,2,0,1,0
2012/4/1,3101,120001,3,9,134,121,3,0,2,1,1,2,0,2,0,0,2
2012/4/1,3101,50007,1,0,6,2,0,0,0,0,2,0,0,2,0,0,0
2012/4/1,3101,20004,1,2,10,5,0,0,0,2,0,1,0,2,0,0,0
2012/4/1,3101,300001,1,1,17,6,0,0,1,1,1,0,0,2,0,6,0
2012/4/1,3101,90001,1,52,505,298,15,0,2,42,49,22,0,35,0,42,0
2012/4/1,3101,300003,1,0,16,6,0,0,0,3,1,1,2,2,0,1,0
2012/4/1,3101,340008,1,1,12,2,0,0,0,0,2,0,0,4,0,4,0
2012/4/1,3101,150008,1,0,23,2,0,0,0,1,3,1,1,15,0,0,0
2012/4/1,3101,50001,1,3,33,6,2,0,1,2,9,4,0,7,0,2,0
2012/4/1,3101,80003,2,0,10,2,0,0,0,1,4,1,0,1,0,1,0
2012/4/1,3101,330001,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2012/4/1,3101,210002,1,3,23,17,0,0,0,1,5,0,0,0,0,0,0
2012/4/1,3101,310002,13,5,78,26,0,0,0,2,1,2,0,5,1,41,0
2012/4/1,3101,320001,1,21,265,83,1,0,1,9,6,3,1,9,0,152,0
2012/4/1,3101,120001,1,34,340,239,9,0,11,31,29,6,0,14,0,1,0
2012/4/1,3101,310001,14,1,65,15,2,0,0,3,4,8,0,32,0,1,0
2012/4/1,3101,40001,1,35,302,250,5,0,2,9,8,9,3,15,0,1,0
2012/4/1,3101,160002,248,3,37,21,0,0,0,7,6,0,0,2,1,0,0
2012/4/1,3101,90004,1,1,20,11,1,0,0,3,4,0,0,0,0,1,0
2012/4/1,3101,330001,1,1,22,11,0,0,0,0,0,0,0,4,0,7,0
2012/4/1,3101,90002,1,6,68,38,1,0,0,8,15,1,0,3,0,2,0
2012/4/1,3101,150001,1,2,32,30,1,0,0,1,0,0,0,0,0,0,0
2012/4/1,3101,150003,1,3,20,13,0,0,0,1,1,4,0,0,0,0,1
2012/4/1,3101,120003,1,2,25,13,0,0,2,2,4,1,0,2,0,1,0
2012/4/1,3101,340007,1,3,19,17,0,0,0,0,0,0,0,1,0,1,0
2012/4/1,3101,110002,240,2,37,11,1,0,1,2,6,5,3,0,0,8,0
2012/4/1,3101,340003,1,0,12,7,0,0,0,3,0,0,0,1,0,1,0
2012/4/1,3101,320003,1,3,19,7,1,0,0,0,0,0,1,1,0,9,0
2012/4/1,3101,110002,1,9,47,33,0,0,0,2,1,8,1,1,0,1,0
2012/4/1,3101,20005,2,1,26,6,2,0,0,0,2,8,0,2,0,6,0
2012/4/1,3101,320005,1,3,55,22,1,0,2,3,18,1,3,0,0,5,0
2012/4/1,3101,320007,1,0,8,2,1,0,0,1,3,0,0,0,0,1,0
2012/4/1,3101,50009,1,1,9,5,0,0,0,3,0,0,0,1,0,0,0
2012/4/1,3101,80002,1,15,130,54,0,0,0,5,26,6,8,27,0,4,0
2012/4/1,3101,20001,1,7,85,53,4,0,1,1,17,4,1,3,0,1,0
2012/4/1,3101,40010,248,3,63,19,0,0,0,11,10,2,1,13,1,6,0
2012/4/1,3101,150004,1,2,14,7,1,0,0,2,3,1,0,0,0,0,0
2012/4/1,3101,40005,1,2,16,8,0,0,0,0,2,0,0,6,0,0,0
2012/4/1,3101,300004,1,2,22,21,0,0,0,0,1,0,0,0,0,0,0
2012/4/1,3101,340004,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0
2012/4/1,3101,330001,4,0,12,2,0,0,0,0,1,1,0,2,0,6,0
2012/4/1,3101,20003,1,0,6,5,0,0,0,0,0,0,0,0,0,1,0
2012/4/1,3101,110002,248,15,405,214,7,2,1,61,50,28,27,5,5,5,0
2012/4/1,3101,310001,12,0,36,9,0,0,0,1,0,7,0,1,0,18,0
2012/4/1,3101,140001,1,5,44,29,2,0,0,1,4,0,2,3,0,3,0
2012/4/1,3101,340002,1,1,21,7,0,0,0,9,1,0,0,2,0,2,0
2012/4/1,3101,320006,1,0,54,3,0,0,0,8,32,4,1,0,0,6,0
2012/4/1,3101,140002,1,8,39,31,2,1,0,1,2,0,2,0,0,0,0
