日期,招募贴,发布渠道,沟通人数,招募人数,失败人数,失败原因总结,发布时间,发帖人
41282,招募淘客：这里能赚钱~~20%高佣金+9%高转化率+稳定行情 ,D客社区,12,2,10,,41214,
41283,淘客招募中。。易推广+高转化率+高拥金+高奖励=发财机会！ ,淘客论坛社区,20,4,16,,41215,
41284,平均佣金高达40%+推广一件奖3元！一个订单有3件算3件  ,淘客淘,15,2,13,,41246,
41285,店铺诚招募淘客（20%）高佣金~！+（额外奖励）+天猫补贴  ,淘客网,17,1,16,,41247,
41286,44%高额佣金+超高额外奖励+流量奖励+保底工资，月入2万不是梦！ ,嗨推,26,5,21,,41218,
41287,诚邀广大淘客入住！,淘宝联盟社区,18,6,12,,41219,
41288,招优质淘宝客或站长，当当给钱，我们在给钱！ ,淘客论坛社区,11,2,9,,41250,
41289,90%超高佣金等亲来拿，早推早赚，诚招淘宝客  ,嗨推,21,1,20,,41221,
41290,淘宝站外大量硬广投放，转化率高，40%佣金诚招淘宝客！ ,淘客淘,25,2,23,,41252,
41291,淘客招募 定向计划16.20%的佣金平均比 单笔最高21%  ,淘客网,19,3,16,,41223,
41292,圣诞华丽来袭43%高额佣金+奖励+固定工资  ...2 ,D客社区,31,4,27,,41224,
