生产车间制造费用统计明细表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,单位：元,
科目\部门,第1生产车间,第2生产车间,第3生产车间,第4生产车间,第5生产车间,第6生产车间,第7生产车间,合计 
制造费用-维修费,,,,,,,,
制造费用-外协维修费,,,,,,,,
制造费用-分期摊销修理费,,,,,,,,
制造费用-差旅费,,,,,,,,
制造费用-办公费,,,,,,,,
制造费用-邮寄费,,,,,,,,
制造费用-招待费,,,,,,,,
制造费用-水电费,,,,,,,,
制造费用-车费,,,,,,,,
制造费用-工资,,,,,,,,
制造费用-培训费,,,,,,,,
制造费用-福利费,,,,,,,,
制造费用-保险费,,,,,,,,
制造费用-会议费,,,,,,,,
制造费用-劳保费,,,,,,,,
制造费用-电话费,,,,,,,,
制造费用-租赁费,,,,,,,,
制造费用-其他费用,,,,,,,,
制造费用-差价,,,,,,,,
制造费用-水电汽用煤,,,,,,,,
制造费用-日常领用配件,,,,,,,,
制造费用-回掺物料,,,,,,,,
制造费用-考核奖罚,,,,,,,,
制造费用-消防费,,,,,,,,
制造费用-排污费,,,,,,,,
制造费用-污水处理费,,,,,,,,
制造费用-化验费,,,,,,,,
制造费用-印刷材料费,,,,,,,,
制造费用-试验费,,,,,,,,
制造费用-机物料消耗(停用）,,,,,,,,
制造费用-检测费,,,,,,,,
制造费用-运费,,,,,,,,
制造费用-中介服务费,,,,,,,,
制造费用-财产保险费,,,,,,,,
制造费用-社会保险金,,,,,,,,
制造费用-树脂摊销,,,,,,,,
制造费用-异构摊销,,,,,,,,
制造费用-上交行政性支出,,,,,,,,
制造费用-技术开发费,,,,,,,,
制造费用-储存费用,,,,,,,,
折旧费-生产设备,,,,,,,,
折旧费-办公设备,,,,,,,,
折旧费-维修设备,,,,,,,,
折旧费-其他设备,,,,,,,,
折旧费-生产用车辆,,,,,,,,
折旧费-后勤用车辆,,,,,,,,
折旧费-生产用房屋及建筑物,,,,,,,,
折旧费-非生产用房屋及构筑物,,,,,,,,
折旧费-低值易耗品摊销,,,,,,,,
折旧费-可回收包装物摊销,,,,,,,,
合计,,,,,,,,
