进销存出入库管理明细表,进销存出入库管理明细表,进销存出入库管理明细表,进销存出入库管理明细表,进销存出入库管理明细表,进销存出入库管理明细表,进销存出入库管理明细表,进销存出入库管理明细表,进销存出入库管理明细表,进销存出入库管理明细表,进销存出入库管理明细表,进销存出入库管理明细表,进销存出入库管理明细表
,,,,,,,,,,,,
,,,,,,,,,,,,
,材料编码,1010101,材料名称,材料1,材料规格,规格1,库存位置,仓库1#,期初数量,15,,
,入库数量,264,入库金额,41860,出库数量,146,出库金额,23670,库存数量,133,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
序号,入库明细,入库明细,入库明细,入库明细,入库明细,出库明细,出库明细,出库明细,出库明细,出库明细,实时库存,备注
序号,入库日期,入库编码,入库数量,入库单价,入库金额,出库日期,出库编码,出库数量,出库单价,出库金额,实时库存,备注
1,2021-01-01 00:00:00,541401,12,100,1200,2021-01-01 00:00:00,630101,12,150,1800,15,无
2,2021-02-01 00:00:00,541402,15,120,1800,2021-02-01 00:00:00,630102,10,120,1200,20,无
3,2021-03-01 00:00:00,541403,21,150,3150,2021-03-01 00:00:00,630103,8,140,1120,33,无
4,2021-04-01 00:00:00,541404,32,200,6400,2021-04-01 00:00:00,630104,9,220,1980,56,无
5,2021-05-01 00:00:00,541405,15,120,1800,2021-05-01 00:00:00,630105,11,130,1430,60,无
6,2021-06-01 00:00:00,541406,16,100,1600,2021-06-01 00:00:00,630106,12,150,1800,64,无
7,2021-07-01 00:00:00,541407,25,150,3750,2021-07-01 00:00:00,630107,15,220,3300,74,无
8,2021-08-01 00:00:00,541408,35,220,7700,2021-08-01 00:00:00,630108,16,140,2240,93,无
9,2021-09-01 00:00:00,541409,28,120,3360,2021-09-01 00:00:00,630109,8,180,1440,113,无
10,2021-10-01 00:00:00,541410,14,150,2100,2021-10-01 00:00:00,630110,11,120,1320,116,无
11,2021-11-01 00:00:00,541411,36,200,7200,2021-11-01 00:00:00,630111,18,140,2520,134,无
12,2021-12-01 00:00:00,541412,15,120,1800,2021-12-01 00:00:00,630112,16,220,3520,133,无
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
,,,,,0,,,,,0,,
