出入库可视化汇总分析表-月份,出入库可视化汇总分析表-上期结存,出入库可视化汇总分析表-本月入库数量,出入库可视化汇总分析表-本月入库金额,出入库可视化汇总分析表-本月出库数量,出入库可视化汇总分析表-本月出库金额,出入库可视化汇总分析表-月底库存,出入库可视化汇总分析表,出入库可视化汇总分析表,出入库可视化汇总分析表,出入库可视化汇总分析表,出入库可视化汇总分析表,出入库可视化汇总分析表,出入库可视化汇总分析表,出入库可视化汇总分析表
1月,15,12,1200,12,1800,15,,,,,,,,
2月,15,15,1800,10,1200,20,,,,,,,,
3月,20,21,3150,8,1120,33,,,,,,,,
4月,33,32,6400,9,1980,56,,,,,,,,
5月,56,15,1800,11,1430,60,,,,,,,,
6月,60,16,1600,12,1800,64,,,,,,,,
7月,64,25,3750,15,3300,74,,,,,,,,
8月,74,35,7700,16,2240,93,,,,,,,,
9月,93,28,3360,8,1440,113,,,,,,,,
10月,113,14,2100,11,1320,116,,,,,,,,
11月,116,36,7200,18,2520,134,,,,,,,,
12月,134,15,1800,16,3520,133,,,,,,,,
合计,793,264,41860,146,23670,911,,,,,,,,
