指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
便利店门店总数(个),27416.0,39308.0,34778.0,31064.0,28895.0,24060.0,18588.0,17675.0,16832.0
折扣店门店总数(个),430.0,432.0,284.0,285.0,72.0,448.0,540.0,410.0,377.0
超市门店总数(个),32513.0,24685.0,24082.0,26927.0,28164.0,29881.0,33372.0,33301.0,33202.0
大型超市门店总数(个),,5031.0,5340.0,5341.0,4760.0,6155.0,8452.0,8584.0,9481.0
仓储会员店门店总数(个),5354.0,106.0,102.0,101.0,100.0,98.0,97.0,128.0,108.0
百货店门店总数(个),4559.0,4540.0,5732.0,4148.0,5942.0,6148.0,4987.0,4867.0,4689.0
专业店门店总数(个),179441.0,168993.0,152404.0,139139.0,137136.0,125362.0,118601.0,112959.0,108809.0
加油站门店总数(个),32900.0,37360.0,37079.0,36236.0,35551.0,33321.0,35970.0,35710.0,34985.0
专卖店门店总数(个),29589.0,40517.0,38700.0,37511.0,34054.0,31238.0,32413.0,21093.0,22854.0
家居建材商店门店总数(个),,38.0,38.0,53.0,78.0,61.0,57.0,64.0,69.0
厂家直销中心门店总数(个),,449.0,582.0,630.0,686.0,711.0,612.0,306.0,309.0
其他业态连锁零售企业门店总数(个),7119.0,8284.0,7303.0,7457.0,9824.0,11941.0,14725.0,10425.0,9685.0
