高中化学实验目录（选修5）,高中化学实验目录（选修5）,高中化学实验目录（选修5）,高中化学实验目录（选修5）,高中化学实验目录（选修5）,高中化学实验目录（选修5）,高中化学实验目录（选修5）
主题,实验名称,实验类型,实验类型,所需主要仪器及材料,所需试剂,备注
主题,实验名称,演示,分组,所需主要仪器及材料,所需试剂,
1.有机化合物的组成与结构,甘油中碳、氢元素的检验,√,,碳氢元素分析仪,氧化铜、高氯酸镁、烧碱、石棉,
1.有机化合物的组成与结构,氯丁烷中氯元素的检验,√,,试管、烧杯、玻璃管、酒精灯、胶头滴管,钠、硝酸银溶液、,★
2.烃及其衍生物的性质与应用,乙炔的实验室制取,√,,分液漏斗、烧瓶、试管,饱和食盐水、碎瓷片、电石、硫酸铜溶液、 酸性高锰酸钾溶液、溴的四氯化碳溶液,★
2.烃及其衍生物的性质与应用,苯、苯的同系物的性质探究,,√,试管,苯、甲苯、 酸性高锰酸钾溶液,
2.烃及其衍生物的性质与应用,卤代烃的性质探究,,√,试管、酒精灯、固定及夹持类仪器,溴乙烷、氢氧化钠溶液、稀硝酸、硝酸银溶液、氢氧化钾乙醇溶液,★
2.烃及其衍生物的性质与应用,乙醇性质的探究,,√,烧瓶、温度计、石棉网、酒精灯、试管、固定及夹持类仪器,乙醇、浓硫酸、碎瓷片、溴的 四氯化碳溶液、酸性高锰酸钾溶液、重铬酸钾溶液、五氧化二磷、浓硫酸、溴化钠,★
2.烃及其衍生物的性质与应用,苯酚性质的探究,,√,试管、酒精灯,苯酚、浓溴水、氢氧化钠溶液、盐酸、氯化铁溶液、苯,★
2.烃及其衍生物的性质与应用,乙醛性质的探究,,√,试管、烧杯、酒精灯,硝酸银溶液、稀氨水、乙醛溶液、氢氧化钠溶液、硫酸铜溶液,★
2.烃及其衍生物的性质与应用,乙酸乙酯的水解,,√,试管、烧杯、玻璃管、酒精灯、固定及夹持类仪器,乙酸乙酯、稀硫酸、氢氧化钠溶液,★
2.烃及其衍生物的性质与应用,自制肥皂,,√,蒸发皿、烧杯、滴管、玻棒、酒精灯、纱布、三脚架,植物油、乙醇、30%氢氧化钠溶液、蒸馏水、氯化钠饱和溶液,
3.糖类、氨基酸和蛋白质,糖类性质的探究,,√,试管、酒精灯、烧杯、石棉网、固定及夹持类仪器,葡萄糖溶液、蔗糖溶液、淀粉溶液、麦芽糖溶液、唾液、硝酸银溶液、稀氨水、氢氧化钠溶液、硫酸铜溶液,★
3.糖类、氨基酸和蛋白质,蛋白质性质的探究,,√,试管、胶头滴管,鸡蛋清溶液、硫酸铵溶液、硫酸钠溶液、醋酸铅溶液、浓硝酸,★
4. 合成高分子化合物,区别聚乙烯、聚氯乙烯、聚苯乙烯,,√,试管、胶头滴管、铜丝,聚乙烯、聚氯乙烯、聚苯乙烯产品,★
4. 合成高分子化合物,聚苯乙烯的热降解,,√,U型管、试管、导管、酒精灯,沸石、溴水、酸性高锰酸钾,
4. 合成高分子化合物,酚醛树脂的制取,√,,试管、烧杯、玻璃棒、石棉网、酒精灯,苯酚、甲醛溶液、浓盐酸、乙醇,
