Thefirstbatchoffirst-timeundergraduatesciencecandidates'first-timeadmissionsituationinGuangdongProvincein2017-InstitutionCode,Thefirstbatchoffirst-timeundergraduatesciencecandidates'first-timeadmissionsituationinGuangdongProvincein2017-InstitutionName,Thefirstbatchoffirst-timeundergraduatesciencecandidates'first-timeadmissionsituationinGuangdongProvincein2017-Numberofplannedadmissions,Thefirstbatchoffirst-timeundergraduatesciencecandidates'first-timeadmissionsituationinGuangdongProvincein2017-Numberofcandidatesfiled,Thefirstbatchoffirst-timeundergraduatesciencecandidates'first-timeadmissionsituationinGuangdongProvincein2017-FirstVoluntaryTossMinimumScore
10001,Peking University,5,5,664
10002,Renmin University of China,1,1,634
10003,Tsinghua University,4,4,657
10006,Beijing University of Aeronautics and Astronautics,43,9(Eastern Airlines),440
10006,Beijing University of Aeronautics and Astronautics,43,39(CAU),511
10030,Beijing Foreign Studies University,5,6,570
10032,Beijing Language University,7,9,545
10033,Communication University of China,4,5,567
10036,University of International Business and Economics,1,1,604
10040,School of International Studies,5,6,592
10041,China People's Public Security University,175,153(M),485
10041,China People's Public Security University,175,22(Female),540
10042,School of International Relations,14,8(M),547
10042,School of International Relations,14,9(female),543
10053,China University of Political Science and Law,5,6,569
10175,China Criminal Police University,26,10(M),485
10175,China Criminal Police University,26,3(female),534
10200,Northeast Normal University,2,2,555
10246,Fudan University,58,65,647
10248,Shanghai Jiao Tong University,110,126,640
10271,Shanghai International Studies University,5,7,592
10284,Nanjing University,6,8,631
10335,Zhejiang University,31,36,607
10358,University of Science and Technology of China,55,63,630
10511,Huazhong Normal University,3,3,547
10520,Zhongnan University of Economics and Law,4,5,511
10558,Sun Yat-sen University,5,6,565
10559,Jinan University,8,9,525
10564,South China Agricultural University,450,509,501
10574,South China Normal University,709,749,549
10635,Southwest University,5,7,542
10652,Southwest University of Political Science and Law,7,7(M),535
10652,Southwest University of Political Science and Law,7,1 (Female),561
10718,Shaanxi Normal University,4,4,535
11105,Armed Police Force Academy of China,22,20(Male),485
11105,Armed Police Force Academy of China,22,2 (female),544
16301,"University of Nottingham, Ningbo",7,8,556
16401,Hong Kong Baptist University - Beijing Normal University United International College,133,147,498
16407,Chinese University of Hong Kong (Shenzhen),22,25,604
16410,Guangdong Technion - Israel Institute of Technology,150,166,507
19001,Peking University Health Science Center,10,12,580
19246,Fudan University School of Medicine,5,6,628
80001,Shantou University Medical College,40,39,485
81002,Chinese University of Hong Kong,16,20,624
81006,City University of Hong Kong,6,7,613
91002,National University of Defense Technology,29,30(Male),489
91002,National University of Defense Technology,29,2 (female),603
91004,Army Engineering University,15,14(M),487
91004,Army Engineering University,15,1 (Female),538
91005,Army Infantry College,7,3,485
91010,Army Border and Coastal Defense Academy,1,0,-
91012,Third Military Medical University,10,11,505
91013,Army Military Transportation College,2,0,-
91016,Naval University of Engineering,22,24,507
91017,Dalian Naval Academy,13,4(M),485
91017,Dalian Naval Academy,13,0 (Female),-
91024,Air Force Engineering University,10,11,486
91030,Fourth Military Medical University,9,5,485
91034,Rocket Force Engineering University,10,12,495
91037,PLA Information Engineering University,30,30(Male),504
91037,PLA Information Engineering University,30,3(female),528
91039,Armed Police Engineering University,4,3(M),486
91039,Armed Police Engineering University,4,1 (Female),531
99001,Air Force Aviation University,36,35,485
