GuangdongProvince2017SecondBatchofAdvancedUndergraduateLiberalArtsFirstTossSituation-InstitutionCode,GuangdongProvince2017SecondBatchofAdvancedUndergraduateLiberalArtsFirstTossSituation-InstitutionName,GuangdongProvince2017SecondBatchofAdvancedUndergraduateLiberalArtsFirstTossSituation-Numberofplannedadmissions,GuangdongProvince2017SecondBatchofAdvancedUndergraduateLiberalArtsFirstTossSituation-Numberofcandidatesfiled,GuangdongProvince2017SecondBatchofAdvancedUndergraduateLiberalArtsFirstTossSituation-FirstVoluntaryTossMinimumScore
10018,Beijing Institute of Electronic Science and Technology,2,1(M),554
10018,Beijing Institute of Electronic Science and Technology,2,1 (Female),556
10059,Civil Aviation University of China,4,3,426
10068,Tianjin Foreign Studies University,2,2,533
10175,China Criminal Police University,3,1(M),418
10175,China Criminal Police University,3,1 (Female),546
10274,Shanghai Customs College,29,33,545
10624,Civil Aviation Flight University of China,15,17,479
10650,Sichuan International Studies University,6,7,542
10829,Coast Guard Academy of Public Security,3,3(M),484
10829,Coast Guard Academy of Public Security,3,1 (Female),540
10856,Shanghai University of Engineering Science,6,3,426
11110,Guangdong Police College,87,82(m),479
11110,Guangdong Police College,87,14(f),530
11466,Nanjing Forestry Police College,9,9(m),450
11466,Nanjing Forestry Police College,9,1 (Female),488
11903,Central Judicial Police College,35,32(m),441
11903,Central Judicial Police College,35,6(female),494
12735,Railway Police College,11,11(m),432
12735,Railway Police College,11,1 (Female),507
61110,Guangdong Police College,5,2 (Chaozhou City),418
61110,Guangdong Police College,6,7 (Heyuan City),419
61110,Guangdong Police College,5,6 (Jieyang City),429
61110,Guangdong Police College,6,7(Maoming City),431
61110,Guangdong Police College,6,7 (Meizhou City),440
61110,Guangdong Police College,6,1 (Shanwei City),418
61110,Guangdong Police College,6,4(Gaoyang City),418
61110,Guangdong Police College,6,7 (Yangjiang City),452
61110,Guangdong Police College,5,3(Yunfu City),418
61110,Guangdong Police College,6,5 (Zhanjiang City),418
91040,Wujing Academy of the Armed Police Force,8,9,509
