ThefirstfilingsituationofscienceundergraduateprogramsinthesecondbatchofearlyadmissioninGuangdongProvincein2017-InstitutionCode,ThefirstfilingsituationofscienceundergraduateprogramsinthesecondbatchofearlyadmissioninGuangdongProvincein2017-InstitutionName,ThefirstfilingsituationofscienceundergraduateprogramsinthesecondbatchofearlyadmissioninGuangdongProvincein2017-Numberofplannedadmissions,ThefirstfilingsituationofscienceundergraduateprogramsinthesecondbatchofearlyadmissioninGuangdongProvincein2017-Numberofcandidatesfiled,ThefirstfilingsituationofscienceundergraduateprogramsinthesecondbatchofearlyadmissioninGuangdongProvincein2017-FirstVoluntaryTossMinimumScore
10018,Beijing Institute of Electronic Science and Technology,7,7(M),538
10018,Beijing Institute of Electronic Science and Technology,7,1 (Female),566
10059,Civil Aviation University of China,16,13,398
10175,China Criminal Police University,8,5(M),360
10175,China Criminal Police University,8,1 (Female),443
10274,Shanghai Customs College,30,34,545
10624,Civil Aviation Flight University of China,105,119,419
10650,Sichuan International Studies University,6,7,525
10829,Coast Guard Academy of Public Security,25,26(M),452
10829,Coast Guard Academy of Public Security,25,0 (Female),-
10856,Shanghai University of Engineering Science,24,14,398
11110,Guangdong Police College,711,667(M),413
11110,Guangdong Police College,711,117(female),472
11466,Nanjing Forestry Police College,46,40(M),360
11466,Nanjing Forestry Police College,46,6(female),383
11903,Central Judicial Police College,41,40(M),375
11903,Central Judicial Police College,41,8(female),432
12735,Railway Police College,20,14(M),360
12735,Railway Police College,20,3(female),412
61110,Guangdong Police College,30,"33(Chaozhou City, male)",396
61110,Guangdong Police College,29,"31(Heyuan City, Male)",365
61110,Guangdong Police College,30,"34(Jieyang City, Male)",409
61110,Guangdong Police College,29,"32(Maoming City, Male)",416
61110,Guangdong Police College,29,"32 (Meizhou City, Male)",409
61110,Guangdong Police College,29,"15(Shanwei City, male)",360
61110,Guangdong Police College,29,"32 (Shaoguan City, Male)",367
61110,Guangdong Police College,29,"20(Yangjiang City, Male)",360
61110,Guangdong Police College,30,"5(Yunfu City, Male)",360
61110,Guangdong Police College,29,"22(Zhanjiang City, male)",360
61110,Guangdong Police College,5,"6(Chaozhou City, Female)",465
61110,Guangdong Police College,5,"6(Heyuan City, Female)",391
61110,Guangdong Police College,5,"6(Jieyang City, Female)",449
61110,Guangdong Police College,5,"6(Maoming City, Female)",404
61110,Guangdong Police College,5,"6(Mei County, Female)",478
61110,Guangdong Police College,5,"2(Shanwei City, Female)",360
61110,Guangdong Police College,5,"6(Gaoyang City, Female)",449
61110,Guangdong Police College,5,"3(Yangjiang City, Female)",360
61110,Guangdong Police College,5,"4(Yunfu City, Female)",360
61110,Guangdong Police College,5,"6(Zhanjiang City, Female)",403
91040,Wujing Academy of the Armed Police Force,71,78,435
91041,Special Police Academy of the Armed Police,1,0,-
