Month,Theme,Date,Description,Learning Calendar (link should download zip file), COURSE IDs,NEW COURSE TITLES,COURSE LEVELS,Course Duration
January,New Year's Resolutions,January 1st,A time to reflect on the past year and set goals for the new year,Master Goal Setting ,2447326.0,A Bold New Approach to Goal Setting with Michael Bungay Stanier,General,00:42:47
,,,,,4435094.0,Setting a Vision: How to Gain Clarity on Your Goals,General,00:45:12
,,,,,3011514.0,It's All Possible (Blinkist Summary),General,00:18:41
,,,,New Year Challenge,3004702.0,Ready Aim Fire! (Blinkist Summary),Beginner,00:22:20
,,,,,4401974.0,Using Mindfulness to Help with Goal Setting,General,00:40:28
,Global Health Week,January 20-26,A week to raise awareness for global health issues and promote global health equity,Health and Wellness,2492111.0,Nano Tips for Finding Happiness through Empathy with Shadé Zahrai,Beginner,00:07:36
,,,,,2493055.0,Together: The Healing Power of Human Connection (Book Bite),Beginner,00:11:36
,,,,,4428597.0,The Good Life: Lessons from the Longest Study on Happiness (Book Bite),General,00:09:42
,,,,,2496308.0,Reducing Employee Turnover,Beginner,00:46:08
,,,,,4410731.0,Happiness Habits,Beginner,00:48:00
February,Safer Internet Day,February 4th,A day to raise awareness of online safety and promote responsible digital citazenship,,4514616.0,Nano Tips For Building a Career in Cybersecurity,Beginner,00:07:52
,,,,Increase Your Cybersecuirty Awareness,3270042.0,Cybersecurity Awareness: Ransomware,Beginner,00:24:22
,,,,,4368327.0,Cybersecurity at Work,Beginner,01:00:01
,,,,Cybersecurity through an AI Lens [New},4465327.0,Cybersecurity Awareness: Protect yYour Privacy ,Beginner,01:26:03
,,,,,,,,
,Student Orientation Week HED,Feburary,"Student Orientation Week. Content to support study, building study plans, building relationships and networking. Note taking. How to use LinkedIn Learning to build skills. Rock your LInkedIn profile.",,496940.0,How to Use LinkedIn Learning,Beginner,01:09:41
,,,,,2506650.0,Getting Started as a LinkedIn Learning Admin,Beginner,01:04:13
,,,,,2428537.0,Getting Started as a LinkedIn Learning Hub Admin,Beginner,01:58:55
,,,,,,,,
,International Day of Women and Girls In Science ,February 11th,A day to celebrate the acheivements of women and girls in science and encourage more girls and yound women to pursue careers in science,,2014054.0,How to Start Your STEM Career,General,01:03:52
,Valentines Day,February 14th ,"A day to celebrate love and romance. Building learning habits, building a learning plan. Finding your passion ",Unlock The Power of Networking,3872004.0,Strategic B2B Networking for Driving Sales,Beginner,00:45:20
,,,,,4516169.0,Build an Online Networking Plan to Land Your Next Role,General,00:40:47
,,,,,3898101.0,How to Network Like a Leader,General,00:36:57
,,,,,,,,
,,,,,,,,
,Mardi Gras,Feb 14th - March 1st,Sydney's annual LGBTQ+ pride festival,,3873024.0,Creating Equity for LGBTQ+,Intermediate,00:46:41
,,,,,2833000.0,Understanding and Supporting LGBTQ+ Employees,General,00:35:39
,,,,,3806109.0,Sustainable LGBTQ+ Allyship,Intermediate,00:53:23
