Statistical Date,Terminal Type,Traffic Source,Source Details,Visitors,Number of buyers who placed orders,Order conversion rate,Paid Buyers,Payment Conversion Rate,Payment Amount,UV Value
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand-tao Search,3448,222,0.0644,209,0.0606,7745.35,2.25
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand-tao Homepage,1298,7,0.0054,6,0.0046,154.82,0.12
2019-10-01 ~ 2019-10-31,Wireless End,Paid Traffic,Direct Train,799,26,0.0325,22,0.0275,827.55,1.04
2019-10-01 ~ 2019-10-31,Wireless End,Self-access,My Taobao,715,187,0.2615,174,0.2434,7036.09,9.84
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Free traffic within Taobao (others),705,76,0.1078,72,0.1021,2951.97,4.19
2019-10-01 ~ 2019-10-31,Wireless End,Self-access,Shopping Cart,615,175,0.2846,167,0.2715,6334.33,10.3
2019-10-01 ~ 2019-10-31,Wireless End,Paid Traffic,Taobao Guest,458,49,0.107,49,0.107,1603.46,3.5
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand-tao Other Stores' Product Details,420,46,0.1095,45,0.1071,1629.96,3.88
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand-taobao Pailitao,291,17,0.0584,17,0.0584,609.34,2.09
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand-tao Tao Gold Coins,210,1,0.0048,1,0.0048,24.5,0.12
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand-tao Weitao,143,4,0.028,4,0.028,204.5,1.43
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand Taobao Find Similar,62,9,0.1452,8,0.129,393.05,6.34
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand Taobao Aggregation,40,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Handy Taobao Wangxin,38,17,0.4474,17,0.4474,759.27,19.98
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Alipay Mini Program - Daily Must Grab,18,3,0.1667,3,0.1667,61.68,3.43
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand-to-Hand Q&A,17,5,0.2941,5,0.2941,150.3,8.84
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,My Taobao Evaluation,9,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand-tao Message Center,9,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand Taobao Scan,5,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand Taobao Other Stores,2,1,0.5,1,0.5,39.8,19.9
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand-to-hand Taobao Live,1,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Other Taobao Stores,1,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Free traffic within Taobao,Hand Cat Product Details,1,0,0.0,0,0.0,0.0,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Self-access,Direct Access,1,0,0.0,0,0.0,0.0,0.0
