Attachment:,Attachment:.1,Attachment:.2,Attachment:.3,Attachment:.4,Attachment:.5
May 2012 Turpan Region Construction Project Price Information,May 2012 Turpan Region Construction Project Price Information,May 2012 Turpan Region Construction Project Price Information,May 2012 Turpan Region Construction Project Price Information,May 2012 Turpan Region Construction Project Price Information,May 2012 Turpan Region Construction Project Price Information
Unit: Yuan,Unit: Yuan,Unit: Yuan,Unit: Yuan,Unit: Yuan,Unit: Yuan
Serial Number,Material Name and Specifications,Unit,2012 May Information Price,2012 May Information Price,2012 May Information Price
Serial Number,Material Name and Specifications,Unit,Turpan City,Shanshan County,Toksun County
1,Low-carbon hot-rolled wire rod HPB235 Φ6.5,t,4781.0,4811.0,4771.0
2,Low-carbon hot-rolled wire rod HPB235 Φ8,t,4781.0,4811.0,4771.0
3,Low-carbon hot-rolled wire rod HPB235 Φ10,t,4781.0,4811.0,4771.0
4,Low-carbon hot-rolled wire rod HPB235 Φ12,t,4741.0,4771.0,4731.0
5,Low-carbon hot-rolled wire rod HPB235 Φ14,t,4741.0,4771.0,4731.0
6,Low-carbon hot-rolled wire rod HPB235 Φ16,t,4741.0,4771.0,4731.0
7,Hot-rolled plain round steel bar HPB235 Φ12,t,4790.0,4820.0,4780.0
8,Hot-rolled plain round steel bar HPB235 Φ14,t,4790.0,4820.0,4780.0
9,Hot-rolled plain round steel bar HPB235 Φ16,t,4790.0,4820.0,4780.0
10,Hot-rolled plain round steel bar HPB235 Φ18,t,4931.0,4961.0,4921.0
11,Hot-rolled plain round steel bar HPB235 Φ20,t,4890.0,4920.0,4880.0
12,Hot-rolled plain round steel bar HPB235 Φ22,t,4890.0,4920.0,4880.0
13,Hot-rolled plain round steel bar HPB235 Φ25,t,4890.0,4920.0,4880.0
14,Hot-rolled plain round steel bar HPB235 Φ28 and above,t,5041.0,5071.0,5031.0
15,Hot-rolled ribbed steel bar HRB335E Φ10,t,5040.0,5067.0,5030.0
16,Hot-rolled ribbed steel bar HRB335E Φ12,t,4991.0,5021.0,4981.0
17,Hot-rolled ribbed steel bar HRB335E Φ14,t,4991.0,5021.0,4981.0
18,Hot-rolled ribbed steel bar HRB335E Φ16,t,4741.0,4771.0,4731.0
19,Hot-rolled ribbed steel bar HRB335E Φ18,t,4741.0,4771.0,4731.0
20,Hot-rolled ribbed steel bar HRB335E Φ20,t,4741.0,4771.0,4731.0
21,Hot-rolled ribbed steel bar HRB335E Φ22,t,4741.0,4771.0,4731.0
22,Hot-rolled ribbed steel bar HRB335E Φ25,t,4741.0,4771.0,4731.0
23,Hot-rolled ribbed steel bar HRB335E Φ28,t,5020.0,5050.0,5010.0
24,Hot-rolled ribbed steel bar HRB335E Φ30,t,5020.0,5050.0,5010.0
25,Hot-rolled ribbed steel bar HRB335E Φ32,t,5020.0,5050.0,5010.0
26,Hot-rolled ribbed steel bar HRB335E Φ36 and above,t,5121.0,5151.0,5111.0
27,Hot-rolled ribbed steel bar HRB400E Φ10,t,5240.0,5270.0,5230.0
28,Hot-rolled ribbed steel bar HRB400E Φ12,t,5191.0,5222.0,5181.0
29,Hot-rolled ribbed steel bar HRB400E Φ14,t,5191.0,5221.0,5181.0
30,Hot-rolled ribbed steel bar HRB400E Φ16,t,4941.0,4971.0,4931.0
31,Hot-rolled ribbed steel bar HRB400E Φ18,t,4941.0,4971.0,4931.0
32,Hot-rolled ribbed steel bar HRB400E Φ20,t,4941.0,4971.0,4931.0
33,Hot-rolled ribbed steel bar HRB400E Φ22,t,4941.0,4971.0,4931.0
34,Hot-rolled ribbed steel bar HRB400E Φ25,t,4941.0,4971.0,4931.0
35,Hot-rolled ribbed steel bar HRB400E Φ28,t,5220.0,5250.0,5210.0
36,Hot-rolled ribbed steel bar HRB400E Φ30,t,5220.0,5250.0,5210.0
37,Hot-rolled ribbed steel bar HRB400E Φ32,t,5220.0,5250.0,5210.0
38,Hot-rolled ribbed steel bar HRB400E Φ36 and above,t,5321.0,5351.0,5311.0
39,Hot-rolled ribbed steel bar HRB500E Φ10,t,5491.0,5520.1,5481.0
40,Hot-rolled ribbed steel bar HRB500E Φ12,t,5441.0,5471.0,5431.0
