SerialNumber,MaterialNameandSpecificationModel,Unit:Yuan-Unit,Unit:Yuan-20142ndQuarterComprehensiveInformationPrice
Steel,Steel,Steel,Steel
1,Low carbon hot-rolled wire rod HPB300 Φ6.5,t,3290.0
2,Low carbon hot-rolled wire rod HPB300 Φ8,t,3290.0
3,Low carbon hot-rolled wire rod HPB300 Φ10,t,3290.0
4,Low carbon hot-rolled wire rod HPB300 Φ12,t,3240.0
5,Low carbon hot-rolled wire rod HPB300 Φ14,t,3240.0
6,Low carbon hot rolled wire rod HPB300 Φ16,t,3240.0
7,Hot-rolled plain round steel bar HPB300 Φ10,t,3400.0
8,Hot-rolled plain round steel bar HPB300 Φ12,t,3350.0
9,Hot-rolled plain round steel bar HPB300 Φ14,t,3350.0
10,Hot-rolled plain round steel bar HPB300 Φ16,t,3350.0
11,Hot-rolled plain round steel bar HPB300 Φ18,t,3500.0
12,Hot-rolled plain round steel bar HPB300 Φ20,t,3500.0
13,Hot-rolled plain round steel bar HPB300 Φ22,t,3500.0
14,Hot-rolled ribbed steel bar HRB400E Φ10,t,3650.0
15,Hot-rolled ribbed steel bar HRB400E Φ12,t,3600.0
16,Hot-rolled ribbed steel bar HRB400E Φ14,t,3600.0
17,Hot-rolled ribbed steel bar HRB400E Φ16,t,3350.0
18,Hot-rolled ribbed steel bar HRB400E Φ18,t,3350.0
19,Hot-rolled ribbed steel bar HRB400E Φ20,t,3350.0
20,Hot-rolled ribbed steel bar HRB400E Φ22,t,3350.0
21,Hot-rolled ribbed steel bar HRB400E Φ25,t,3350.0
22,Hot-rolled ribbed steel bar HRB400E Φ28,t,3630.0
23,Hot-rolled ribbed steel bar HRB400E Φ30,t,3630.0
24,Hot-rolled ribbed steel bar HRB400E Φ32,t,3630.0
25,Hot-rolled ribbed steel bar HRB400E Φ36 and above,t,3730.0
26,Hot-rolled ribbed steel bar HRB500E Φ10,t,3900.0
27,Hot-rolled ribbed steel bar HRB500E Φ12,t,3850.0
28,Hot-rolled ribbed steel bar HRB500E Φ14,t,3850.0
29,Hot-rolled ribbed steel bar HRB500E Φ16,t,3600.0
30,Hot-rolled ribbed steel bar HRB500E Φ18,t,3600.0
31,Hot-rolled ribbed steel bar HRB500E Φ20,t,3600.0
32,Hot-rolled ribbed steel bar HRB500E Φ22,t,3600.0
33,Hot-rolled ribbed steel bar HRB500E Φ25,t,3600.0
34,Hot-rolled ribbed steel bar HRB500E Φ28,t,3880.0
35,Hot-rolled ribbed steel bar HRB500E Φ30,t,3880.0
36,Hot-rolled ribbed steel bar HRB500E Φ32,t,3880.0
37,Hot-rolled ribbed steel bar HRB500E Φ36 and above,t,3980.0
38,Ribbed steel bar wire rod HRB335E Φ8,t,3550.0
39,Ribbed steel bar wire rod HRB335E Φ10-14,t,3550.0
40,Ribbed steel bar wire rod HRB400E Φ8,t,3800.0
41,Ribbed steel bar wire rod HRB400E Φ10-14,t,3800.0
44,Cold-rolled ribbed steel bar Φ5,t,3350.0
45,Cold-rolled ribbed steel bar Φ6,t,3350.0
46,Cold-rolled ribbed steel bar Φ7,t,3350.0
47,Cold-rolled ribbed steel bar Φ8,t,3350.0
48,Cold-rolled ribbed steel bar Φ9,t,3450.0
49,Cold-rolled ribbed steel bar Φ10,t,3450.0
Sectional Materials,Sectional Materials,Sectional Materials,Sectional Materials
50,Hot-rolled I-beam I20a,t,4500.0
51,Hot-rolled I-beam I25a,t,4500.0
52,Hot-rolled I-beam I28a,t,4500.0
53,Hot-rolled channel steel Q235 5,t,4060.0
54,Hot-rolled channel steel Q235 8,t,4060.0
55,Hot-rolled channel steel Q235 10,t,4060.0
56,Hot-rolled channel steel Q235 12.6,t,4060.0
57,Hot-rolled channel steel Q235 16a,t,4060.0
58,Hot-rolled channel steel Q235 20,t,4060.0
59,Hot-rolled channel steel Q235 28a,t,4060.0
60,Hot-rolled unequal angle steel Q235 63×40×4,t,4000.0
61,Hot-rolled unequal angle steel Q235 75×50×6,t,4000.0
62,Hot-rolled unequal angle steel Q235 80×50×6,t,4000.0
63,Hot-rolled unequal angle steel Q235 90×56×6,t,4000.0
64,Hot-rolled unequal angle steel Q235 100×60×10,t,4000.0
65,Hot-rolled unequal angle steel Q235 100×63×6,t,4000.0
66,Hot-rolled unequal angle steel Q235 100×63×8,t,4000.0
67,Hot-rolled unequal angle steel Q235 100×63×10,t,4210.0
68,Hot-rolled unequal angle steel Q235 100×75×10,t,4210.0
69,Hot-rolled unequal angle steel Q235 100×80×6,t,4210.0
70,Hot-rolled unequal angle steel Q235 100×80×7,t,4210.0
71,Hot-rolled unequal angle steel Q235 110×70×6,t,4210.0
72,Hot-rolled unequal angle steel Q235 110×70×8,t,4410.0
73,Hot-rolled unequal angle steel Q235 125×80×7,t,4410.0
74,Hot-rolled unequal angle steel Q235 125×80×8,t,4410.0
75,Hot-rolled unequal angle steel Q235 125×80×10,t,4410.0
76,Hot-rolled unequal angle steel Q235 140×90×10,t,4410.0
77,Hot-rolled unequal angle steel Q235 140×90×12,t,4410.0
78,Hot-rolled unequal angle steel Q235 160×100×10,t,4410.0
79,Hot-rolled unequal angle steel Q235 160×100×12,t,4410.0
80,Hot-rolled unequal angle steel Q235 180×110×10,t,4410.0
81,Hot-rolled unequal angle steel Q235 180×110×12,t,4410.0
82,Hot-rolled unequal angle steel Q235 200×125×12,t,4410.0
83,Equal Angle Steel Hot Rolled Q235 20×3,t,3900.0
84,Equal Angle Steel Hot Rolled Q235 25×3,t,3900.0
85,Equal Angle Steel Hot Rolled Q235 25×4,t,3900.0
86,Equal Angle Steel Hot Rolled Q235 30×3,t,3900.0
87,Equal Angle Steel Hot Rolled Q235 30×4,t,3900.0
88,Equal Angle Steel Hot Rolled Q235 32×4,t,3900.0
89,Equal Angle Steel Hot Rolled Q235 32×6,t,3900.0
90,Equal Angle Steel Hot Rolled Q235 35×4,t,3900.0
91,Equal Angle Steel Hot Rolled Q235 36×4,t,3900.0
92,Equal Angle Steel Hot Rolled Q235 40×3,t,3900.0
93,Equal Angle Steel Hot Rolled Q235 40×4,t,3900.0
94,Equal Angle Steel Hot Rolled Q235 40×5,t,3900.0
95,Equal Angle Steel Hot Rolled Q235 45×4,t,3890.0
96,Equal Angle Steel Q235 45×5,t,3890.0
97,Equal Angle Steel Hot Rolled Q235 45×6,t,3890.0
98,Equal Angle Steel Hot Rolled Q235 50×4,t,3890.0
99,Equal Angle Steel Hot Rolled Q235 50×5,t,3890.0
100,Equal Angle Steel Hot Rolled Q235 50×6,t,3890.0
101,Equal Angle Steel Hot Rolled Q235 56×5,t,3870.0
102,Equal Angle Steel Hot Rolled Q235 56×6,t,3870.0
103,Equal Angle Steel Hot Rolled Q235 56×8,t,3870.0
104,Equal Angle Steel Hot Rolled Q235 63×5,t,3860.0
105,Equal Angle Steel Hot Rolled Q235 63×6,t,3860.0
106,Equal Angle Steel Hot Rolled Q235 70×5,t,3860.0
107,Equal Angle Steel Hot Rolled Q235 70×6,t,3860.0
108,Equal Angle Steel Hot Rolled Q235 75×5,t,3860.0
109,Equal Angle Steel Hot Rolled Q235 75×6,t,3860.0
110,Equal Angle Steel Hot Rolled Q235 75×8,t,3860.0
111,Equal Angle Steel Hot Rolled Q235 80×5,t,4060.0
112,Equal Angle Steel Hot Rolled Q235 80×6,t,4060.0
113,Equal Angle Steel Hot Rolled Q235 80×7,t,4060.0
114,Equal Angle Steel Hot Rolled Q235 90×6,t,4060.0
115,Equal Angle Steel Hot Rolled Q235 90×8,t,4060.0
116,Equal Angle Steel Q235 90×10,t,4060.0
117,Equal Angle Steel Hot Rolled Q235 100×7,t,4060.0
118,Equal Angle Steel Q235 100×10,t,4060.0
119,Equal Angle Steel Hot Rolled Q235 100×16,t,4060.0
120,Equal Angle Steel Hot Rolled Q235 110×8,t,4060.0
121,Equal Angle Steel Q235 125×14,t,4060.0
122,Hot-rolled flat steel Q235 12×4,t,3880.0
123,Hot-rolled flat steel Q235 14×3,t,3880.0
124,Hot-rolled flat steel Q235 14×4,t,3880.0
125,Hot-rolled flat steel Q235 14×5,t,3880.0
126,Hot-rolled flat steel Q235 14×6,t,3880.0
127,Hot-rolled flat steel Q235 16×4,t,3880.0
128,Hot-rolled flat steel Q235 20×3,t,3880.0
129,Hot-rolled flat steel Q235 20×4,t,3880.0
130,Hot-rolled flat steel Q235 24×4,t,3880.0
131,Hot-rolled flat steel Q235 25×3,t,3880.0
132,Hot-rolled flat steel Q235 25×4,t,3880.0
133,Hot-rolled flat steel Q235 25×5,t,3880.0
134,Hot-rolled flat steel Q235 25×6,t,3880.0
135,Hot-rolled flat steel Q235 30×3,t,3880.0
136,Hot-rolled flat steel Q235 30×4,t,3880.0
137,Hot-rolled flat steel Q235 30×5,t,3880.0
138,Hot-rolled flat steel Q235 30×6,t,3880.0
139,Hot-rolled flat steel Q235 32×4,t,3880.0
140,Hot-rolled flat steel Q235 35×4,t,3880.0
141,Hot-rolled flat steel Q235 36×6,t,3880.0
142,Hot-rolled flat steel Q235 40×4,t,3880.0
143,Hot-rolled flat steel Q235 40×5,t,3880.0
144,Hot-rolled flat steel Q235 40×6,t,3880.0
145,Hot-rolled flat steel Q235 45×4,t,3880.0
146,Hot-rolled flat steel Q235 50×4,t,3880.0
147,Hot-rolled flat steel Q235 50×5,t,3880.0
148,Hot-rolled flat steel Q235 50×6,t,3880.0
149,Hot-rolled flat steel Q235 60×6,t,3880.0
150,Hot-rolled flat steel Q235 65×5,t,3880.0
151,Hot-rolled flat steel Q235 70×4,t,3880.0
152,Hot-rolled flat steel Q235 100×10,t,3880.0
153,Cold-rolled plain steel plate Q235 δ1,t,4510.0
154,Hot-rolled plain steel plate Q235 δ1.5,t,4160.0
155,Hot-rolled plain steel plate Q235 δ2,t,3910.0
156,Hot-rolled plain steel plate Q235 δ3,t,3960.0
157,Hot-rolled plain steel plate Q235 δ4,t,3860.0
158,Hot-rolled plain steel plate Q235 δ5,t,3860.0
159,Hot-rolled plain steel plate Q235 δ6,t,3860.0
160,Hot-rolled plain steel plate Q235 δ8,t,3860.0
161,Hot-rolled plain steel plate Q235 δ10,t,3860.0
162,Hot-rolled plain steel plate Q235 δ12,t,3860.0
163,Hot-rolled plain steel plate Q235 δ14,t,3860.0
164,Hot-rolled plain steel plate Q235 δ16,t,3860.0
165,Hot-rolled plain steel plate Q235 δ18,t,3860.0
166,Hot-rolled plain steel plate Q235 δ20,t,3860.0
167,Hot-rolled plain steel plate Q235 δ24,t,3860.0
168,Hot-rolled plain steel plate Q235 δ25,t,3860.0
169,Hot-rolled plain steel plate Q235 δ28,t,4110.0
170,Hot-rolled plain steel plate Q235 δ30,t,4110.0
171,Hot-rolled plain steel plate Q235 δ35,t,4110.0
172,Hot-rolled plain steel plate Q235 δ40,t,4160.0
173,Hot-rolled plain steel plate Q235 δ42,t,4160.0
174,Hot-rolled plain steel plate Q235 δ45,t,4160.0
175,Hot-rolled plain steel plate Q235 δ50,t,4260.0
176,Hot-rolled plain steel plate Q235 δ60,t,4260.0
Cement,Cement,Cement,Cement
177,Composite Portland Silicate Cement (R) 32.5,t,300.0
178,Ordinary Portland Cement (R) 42.5,t,400.0
179,Ordinary Portland Cement (R) 52.5,t,620.0
Concrete,Concrete,Concrete,Concrete
180,Commercial concrete C10 (pumpable),m3,340.0
181,Commercial concrete C15 (pumpable),m3,360.0
182,Commercial concrete C20 (pumpable),m3,380.0
183,Commercial concrete C25 (pumpable),m3,400.0
184,Commercial concrete C30 (pumpable),m3,420.0
185,Commercial concrete C35 (pumpable),m3,445.0
186,Commercial concrete C40 (pumpable),m3,470.0
187,Commercial concrete C45 (pumpable),m3,495.0
188,Commercial concrete C50 (pumpable),m3,510.0
189,Commercial concrete C55 (pumpable),m3,540.0
190,Commercial concrete C60 (pumpable),m3,570.0
191,Asphalt concrete AC-13,t,472.0
192,Asphalt concrete AC-16,t,443.0
193,Asphalt concrete AC-20,t,412.0
194,Asphalt concrete AC-25,t,378.0
195,Modified asphalt concrete SMA-13 (with polyester or lignin),t,819.0
196,Modified asphalt concrete SMA-16 (with polyester or lignin),t,766.0
"Brick, Sand, Stone","Brick, Sand, Stone","Brick, Sand, Stone","Brick, Sand, Stone"
197,Perforated Hollow Blocks with Pure Ceramsite,m3,250.0
198,Autoclaved aerated concrete blocks,m3,250.0
199,Perforated brick,thousand blocks,670.0
200,Masonry Sand,m3,46.0
201,Plastering Sand,m3,48.0
202,gravel,m3,50.0
203,Gravel 10mm,m3,50.0
204,gravel less than 10mm,m3,50.0
205,Gravel 20mm,m3,50.0
206,gravel 20mm and below,m3,50.0
207,Gravel 40mm,m3,48.0
208,gravel 40mm and below,m3,48.0
209,Crushed stone 5mm,m3,52.0
210,Crushed stone 10mm,m3,52.0
211,Crushed stone 15mm,m3,52.0
212,Crushed stone 20mm,m3,52.0
213,Crushed stone 25mm,m3,52.0
214,Crushed stone 30mm,m3,52.0
215,Crushed stone 40mm,m3,52.0
216,Crushed stone 50mm,m3,52.0
217,Crushed stone 60mm,m3,50.0
218,Crushed stone 70mm,m3,50.0
219,Stabilized soil 4.0%,t,75.0
220,Stabilized soil 4.5%,t,77.0
221,Stabilized soil 5.0%,t,80.0
Windows and Doors,Windows and Doors,Windows and Doors,Windows and Doors
222,60 Series Single Frame Double Glass PVC Steel Casement Window (White) (Note 1),m2,275.0
223,60 Series Single Frame Double Glass PVC Casement Window (Colored),m2,296.0
224,65 Series Single Frame Double Glass PVC Window (White),m2,317.0
225,65 Series Single Frame Double Glass PVC Window (Colored),m2,338.0
226,65 Series Single Frame Triple Glass PVC Flush Window (White),m2,348.0
227,65 Series Single Frame Triple Glass PVC Flush Window (Colored),m2,370.0
228,65 Series Single Frame Double Glazing Thermal Break Aluminum Alloy Hinged Window (Note 2),m2,575.0
229,65 Series Single Frame Triple Glass Thermal Break Aluminum Alloy Hinged Window,m2,670.0
230,65 Series Single Frame Double Glass Thermal Break Aluminum Alloy Hinged Door,m2,1161.0
231,Ethylene Propylene Diene Monomer (EPDM) Rubber Strip,kg,23.0
Insulation Material,Insulation Material,Insulation Material,Insulation Material
232,"Flame Retardant B1 Grade Polystyrene Board, Dry Density ≥22% kg/m³",m3,463.0
233,"Flame Retardant B1 Grade Extruded Polystyrene Board, Dry Density ≥32% kg/m³",m3,790.0
235,Polymer cement powder for thermal insulation bonding mortar ≥2.5%,t,1735.0
236,Polymer cementitious mortar for thermal insulation with polymer adhesive powder ≥2.5%,t,1790.0
Waterproofing Materials,Waterproofing Materials,Waterproofing Materials,Waterproofing Materials
237,Self-adhesive polymer modified bitumen waterproof sheet (1.5mm),m2,39.1
238,SBS Modified Waterproof Roll Material (International Polyester Base 35#),m2,37.5
239,SBC120 Polyethylene and Polypropylene Composite Waterproof Membrane (1.5mm),m2,28.5
240,Polymer Cement Waterproof Coating (JS),kg,6.3
241,Cement-based permeable crystalline waterproof coating,kg,7.4
Pipe Materials,Pipe Materials,Pipe Materials,Pipe Materials
242,Welded Steel Pipe DN15,t,4047.0
243,Welded steel pipe DN20,t,4047.0
244,Welded steel pipe DN25,t,3997.0
245,Welded steel pipe DN32,t,3997.0
