Table6-5LaborPlanTable-Table6-5LaborPlanTable-WorkType-WorkType,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2008,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2008.1,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2008.2,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2009,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2009.1,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2009.2,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2009.3,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2010,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2010.1,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2010.2,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2010.3,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2011,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2011.1,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2011.2,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2011.3,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2012,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2012.1,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2012.2,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2012.3,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2013,Table6-5LaborPlanTable-Table6-5LaborPlanTable-2013.1
Work Type,Second quarter,Third quarter,Fourth quarter,First quarter,Second quarter,Third quarter,Fourth quarter,First quarter,Second quarter,Third quarter,Fourth quarter,First quarter,Second quarter,Third quarter,Fourth quarter,First quarter,Second quarter,Third quarter,Fourth quarter,First quarter,Second quarter
Surveyor,16,24,24,24,24,24,22,18,12,12,12,14,14,14,14,8,8,4,4,4,0
Test Worker,24,36,36,36,36,36,33,24,18,18,18,21,21,21,21,14,14,6,6,6,0
Bridge Tensioning Worker,0,0,0,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concrete Worker,50,260,360,360,360,360,340,300,240,200,200,220,220,220,220,140,140,60,60,60,0
Pneumatic Drill Operator,30,360,360,360,360,360,300,280,260,240,200,200,200,200,200,100,50,0,0,0,0
Stonemason,30,60,80,80,80,80,30,20,20,0,0,0,0,0,0,0,0,0,0,0,0
Maintenance Worker,10,30,45,45,45,45,36,30,30,24,24,24,24,24,24,16,8,4,4,4,0
Mason,60,60,30,30,30,20,20,20,20,10,10,10,10,10,10,10,0,0,0,0,0
Template Worker,50,320,360,360,360,360,300,160,120,120,120,120,120,120,120,90,90,30,30,30,0
Welder,30,60,90,90,90,90,70,50,40,30,20,20,20,20,20,15,15,5,5,5,0
Welders,15,30,45,45,45,45,35,25,20,15,10,10,10,10,10,8,8,0,0,0,0
Rebar Worker,50,200,240,240,240,240,200,200,170,160,130,130,130,130,130,65,40,30,30,30,0
Carpenter,30,60,90,90,90,90,70,50,40,30,20,20,20,20,20,15,15,5,5,5,0
Electrician,10,30,45,45,45,45,36,30,30,24,24,24,24,24,24,16,8,4,4,4,0
Carpenter,25,140,180,180,180,180,150,80,60,30,30,20,20,20,20,10,10,0,0,0,0
Rigger Signaller,12,24,24,24,24,24,24,12,10,5,5,5,4,4,4,4,4,2,2,2,0
General Worker,38,156,171,235,235,145,184,201,250,242,257,242,343,363,363,314,240,210,110,110,200
Car Driver,60,150,180,180,180,180,140,120,110,100,50,50,50,40,40,30,20,15,15,15,0
Mechanical Driver,60,200,240,240,240,240,210,180,150,140,70,70,70,60,60,45,30,25,25,25,0
,,,,,,,,,,,,,,,,,,,,,
Subtotal of personnel,,,,,,,,,,,,,,,,,,,,,
