Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Amadeus Sales & Catering Master Class,,,,,,,,,,
,,,Hours Selected:,"Hours to Purchase:
(Sold in 4 hour increments)","Location:
(Onsite available with 16 hours or more)",,,,,Total Hours,0.0
,,,0,0,Remote,,,,,,
,,,,,,,,,,,
,Delphi User Sessions,,,,,,,,,,
,,Estimated Attendees,Session ,Session Content,Time,Product Type,,Selection,Time,Lesson Selected,
,,Select Range,Accounts and Contacts,"Do your users need to learn how to create Accounts and Contact?
- Search for existing accounts
- Create new accounts and contacts
- Parent/Child hierarchies
- Account teams",1 HR,"Delphi
Delphi Core",,False,1,0,
,,Select Range,Inquiries and Availability,"Do your users need to learn how to create Inquiries and search Availability?
- Create new inquiries with or without existing accounts
- Reassign inquiries
- Create bookings From inquiries
- Check availability for guestrooms & function space ",1 HR,"Delphi
Delphi Core",,False,1,0,
,,Select Range,"
Selling Groups & Events","Do your users need to learn how to create and manage Bookings?
- Create new bookings
- Create events and guestroom blocks
- Manage deposits and other income
- Terms & donditions
- Merge contracts & proposals
- Copy/Move bookings",2 HR,"Delphi
Delphi Core",,False,2,0,
,,Select Range,Selling Package Groups & Events,"Do you want to start using Booking Packages?
- Add packages to a booking
- Manage package attendance
- Customize packages
- Package merge documents
- Copy package bookings",2HR,"Delphi
Delphi Core",,False,2,0,
,,Select Range,Activities,"Do you want to improve your activity management?
- Open activities and activity history
- My tasks & my appointments on the home tab
- Automatic tasks
- Email & email templates
- Share calendars and viewing public calendars",1 HR,"Delphi
Delphi Core",,False,1,0,
,,Select Range,Volume Contracts,"Do you want to learn how to manage your business travel or negotiated rate business?
- Create volume contracts
- Volume contract periods
- Forecast & actuals
- Merge volume contract agreements
- Enter volume contract pickup",1 HR,"Delphi
Delphi Core",,False,1,0,
,,Select Range,Managing Bookings,"Do you want to learn how to manage your Bookings after they are definite?
- Load deposit payments
- Update room blocks and manage multiple blocks
- Merge group resumes
- Enter group pickup & catering actuals",1 HR,"Delphi
Delphi Core",,False,1,0,
,,Select Range,Managing Events,"Do you want to learn how to block events and work with menus and items?
- Selecting existing menus & items
- Customize menus & items/create new
- Merge BEOs and banquet checks
- Communicate BEO changes",2 HR,"Delphi
Delphi Core",,False,2,0,
,,Select Range,Advanced BEO Techniques,"Do you want to learn how to manage your events quickly and efficiently?
- Add/Remove events to existing BEOs
- Clone menus & items
- Manage items for multiple events
- Understand event revenue and marking events ""Done""",1 HR,Delphi,,False,1,0,
,,Select Range,Banquets & View Only Users,"Does your banquet team update BEOs and enter actuals?   Do your users need to view availability and run reports?
Banquet Users 
- Update event items & quantities
- Print banquet checks

View Only Users
- Basic navigation
- View availability 
- Run reports",1 HR,Delphi ,,False,1,0,
,,Select Range,Advanced Sales & Catering Techniques,"Do you want to learn more tips and tricks?
- Manage list view
- Understand revenue calculations
- Shortcuts for availability and manage events
- Outlook integration
- Salesforce1 mobile app",2 HR,Delphi ,,False,2,0,
,,Select Range,Alternate Language - User,"Do users need to learn how to generate documents in multiple languages?
- Menus & Items
- Merging documents",1 HR,"Delphi
Delphi Core",,False,1,0,
,,,,,,,,,,,
,Delphi Property Administrator Sessions,,,,,,,,,,
,,Estimated Attendees,Session,Session Content,Time,Users,,True,Time,Lesson Selected,
,,Select Range,Property Administration,"The year is wrapping up. Do you need to update next year's average checks? Have you modified guestroom availability or function rooms?
- Property setup functionality 
- Function rooms and function room setups
- Event classifications and average checks
- Guestrooms and guestroom availability details
- Other Income items
- Terms & Conditions
- Date Collections ",3 HR,"Delphi
Delphi Core",,False,3,0,
,,Select Range,Loading Booking Packages,"Do you want to learn how to bundle services by creating booking packages?
- Create new packages
- Add guestrooms, events, and other income to a package",2HR,"Delphi
Delphi Core",,False,2,0,
,,Select Range,Menus & Items,"Do you need to learn how to update your catering/banquet menus?
- Simple & detailed menus with choices
- Items for food, beverage, and audio visual
- Text items for setup and additional instructions
- Item inventory tracking",2 HR,"Delphi
Delphi Core",,False,2,0,
