Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Amadeus Sales & Catering Master Class,,,,,,,,,
,,,Hours Selected:,"Hours to Purchase:
(Sold in 4 hour increments)","Location:
(Onsite available with 16 hours or more)",,,,,
1/25 v1,,,0,0,Remote,,,,,
,,,,,,,,,,
,Instructions,,,,,,,,,
,Step 1: Fill in the Primary Contact,,,,,,,,,
,Step 2: Add training goals or requests to the Notes section,,,,,,,,,
,"Step 3: Click through the product tabs and select your desired topics (sessions are designed for up to 10 users, use the attendance column where applicable)",,,,,,,,,
,Step 4: Determine the time you'd like to purchase using 'Hours Selected' and 'Hours to Purchase' as a guide,,,,,,,,,
,Step 5: Send a copy of this calculator with the number of hours you'd like to purchase to your Amadeus Sales Rep or email it to dg-hospitality-deliveryservices@amadeus.com,,,,,,,,,
,,,,,,,,,,
,Primary Contact for Trainer,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Notes for Trainer,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Recommended Training Agendas,,,,,,,,,
,"If you prefer to not select individual topics throughout the calculator, select the scenarios below that align with your goals.
The time will be added to the totals above and you are free to select additional topics from the product tabs. The following scenarios are designed for up to 10 users.",,,,,,,,,
,,,,,,,,,,
,Select,Users,,Description,,,,,,
,,Select Range,2 HR LEX Change Management - Users,Are you enabling the Delphi Lightning Experience (LEX)? This session will assist your users with Change Management .,,,,0.0,2.0,0.0
,,Select Range,2 HR LEX Change Management  - Property Admin.,Are you enabling the Delphi Lightning Experience (LEX)? This session will assist your Property Administrators with Change Management .,,,,0.0,2.0,0.0
,,Select Range,12 HR Delphi Property Admin Upskill,Do you need to upskill a new Delphi Property Administrator or refresh an existing one? This Agenda is a great place to start. (Excludes Booking Packages),,,,0.0,12.0,0.0
,,Select Range,12 HR Delphi User Refresher,Do you have new Delphi users? This agenda will give them everything they need to get started. (Excludes Booking Packages),,,,0.0,12.0,0.0
,,Select Range,24 HR Delphi Property Admin and User Refresher,Could the entire team benefit from some refresh training? This agenda will cover all the basics! (Excludes Booking Packages),,,,0.0,24.0,0.0
,,Select Range,4 HR Delphi Booking Packages Refresher,Do you sell Booking Packages? This agenda can be added to any of the above options to include the Booking Package functionality.,,,,0.0,4.0,0.0
,,Select Range,8 HR Delphi Corporate Admin Upskill,Do you have a new Corporate Administrator? Learn everything you need to know to be an all-star Corporate Administrator with this agenda.,,,,0.0,8.0,0.0
,,Select Range,2 HR Delphi Select Admin Upskill,Do you need to upskill a new Delphi Select Property Administrator or refresh an existing Delphi Select Property Administrator? This Agenda is a great place to start.,,,,0.0,2.0,0.0
,,Select Range,2 HR Delphi Select User Refresher,Do you have new Delphi Select users? This agenda will give them everything they need to get started.,,,,0.0,2.0,0.0
,,Select Range,4 HR Delphi Select Admin and User Refresher,Perhaps it's been some time since you implimented Delphi Select and the full team could benefit from some refresh training. This agenda will cover it all.,,,,0.0,4.0,0.0
,,,,,,,,,,0.0
