Digital Learning Resources List,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"The following list contains digital education resources and tools that can be used to provide continuous learning during the COVID-19 response. Please also note this is simply a curated list; we haven’t vetted this list but do highly recommend considering the highlighted resources, many of which are also available offline, and for low-bandwidth use. This list can be filtered by level, area (STEM, Literacy, or other), and by language. Yellow indicates content we've directly used in low-resource contexts. We have included licensing information where available. ",,,,,,,,,
"Can be used
OFFLINE/ONLINE",TITLE,SITE,Level ,Area,Language,DESCRIPTION,Notes about Free access,LICENSING,
"OFFLINE:
",,,,,,,,,
Offline,1001 Nights Curriculum,"http://www.bigbadboo.com/
Available on youtube (https://www.youtube.com/watch?v=mp9KwqKzxMM&list=PLWMfGPrOv5mdhIHsVsbd5-NDYxPHqqkOl)","Primary, secondary",OTHER,"Arabic, Urdu, English","Big Bad Boo produces children’s media that leverages entertainment as a tool to engage and teach children. We are the producers of 1001 Nights, an animated television series that airs in 80 countries and 25 languages on premier channels like Disney, Cartoon Network, Al Jazeera Children’s Channel. It’s one of the top 2 children’s programs on television in a majority of the countries it airs. While uproariously funny, the cartoon also teaches civic education lessons like non-violence, empathy, diversity and other citizenship values. Big Bad Boo just signed a partnerships with UNICEF Jordan to provide refugee children with animated episodes, 500,000 illustrated books, and 50,000 activity books for refugee children in Jordan to support their Makani initiative that provides services to refugee children that cannot access formal education. The 1001 Nights program will provide psychosocial support in these centers. The total value of this program is roughly $500,000.","FREE, dowloadable videos",All Rights Reserved,
Offline,Adduroos Al-Musawarah,https://www.youtube.com/channel/UCeW65lIctwlk85F4Mghe-eg/featured,Secondary,OTHER,Arabic,"Ministry of Education, Qatar,",FREE,Public Domain,
Offline,Antura and the Letters,http://www.antura.org/en/app/,"Primary, Secondary",LITERACY,Arabic,“Antura and the Letters” is a smartphone game for iOS and Android that mixes the best entertainment technology with specific Arabic pedagogical content in order to offer an engaging learning experience to Syrian children who are out of school because of the conflict .Winner of the EduApp4Syria prize competition,FREE App - can be downloaded,All Rights Reserved,
Offline,Artrageous with Nate,www.youtube.com/artrageouswithnate,"Primary, secondary",ART,English,Artrageous with Nate is a six-time Emmy award winning video series. We travel the globe exploring where creativity is happening.,FREE videos on Youtube,All Rights Reserved,
Offline,Audacity,https://www.audacityteam.org/,Tool,OTHER,English,audio editor,FREE and open tool,All Rights Reserved,
Offline,Bedtime Math,http://bedtimemath.org/bedtime-math-for-families/,Math,STEM,English,"Bedtime Math is striving to help families introduce math as a fun part of their daily routine, as common and beloved as the bedtime story. We make it easy to roll math into the day, whether at bedtime, bath time, or snack time.",FREE app - can be downloaded,All Rights Reserved,
Offline,BiteScis,https://bitescis.org/,Secondary,STEM,English ,BiteScis integrates current scientific research into NGSS-aligned lessons aimed at introductory high school level courses. Most lesson are easily modified for remote learning.,FREE Lesson plans and all corresponding materials are always free.,All Rights Reserved,
Offline,Bloom,https://www.sil-lead.org/bloom-accessible-books,"Primary, Tool",LITERACY,Multiple,"Bloom enables teachers, parents and children to easily create leveled and decodable children’s books in any language. Books can be adapted from shell books, or new resources created using Bloom software’s templates for basic books, picture dictionaries and wall calendars, with images available from its free illustration library.","FREE, Access to library or creation of books",Public Domain,
Offline,BluPoint,https://blu.network/,Network tool,OTHER,English,"BluPoint delivers vital information and services to offline and off-grid remote communities.

BluPoint's patent-pending offline Internet solution comprises cloud based services, content conversion software and resilient low energy servers. BluPoint uniquely enables our customers to distribute their content to all mobile devices (including radios and basic phones), incredibly quickly and on-demand, without data charges to the end user. BluPoint overcomes the barriers of no electricity, no Internet, high costs of data and uniquely leverages the high prevalence of basic mobile devices accounting for 75% of handsets in Sub-Saharan Africa in 2015. We do this by automatically adapting the content and making it available within the location via Bluetooth, FM radio, and Wi-Fi.

The BluPoint solution is founded on five key principles:

The content will work on devices that people have in their pockets. Even devices which don’t support Internet connectivity. Today, in sub-Saharan Africa seventy-seven percent of mobile devices are basic phones, unable to browse the internet. BluPoint bridges this digital divide. It allows even basic phones to display digital content.
BluPoint will work even in areas where the Internet doesn’t exist. BluPoint takes a slice of the Internet, as chosen by our customers, and offline it onto BluPoint hubs. Deployed as a single hub, or a collection of hubs that form a wireless network.
BluPoint hubs will work in areas with intermittent or no electricity. The efficient hubs can be solar powered or run off other renewable sources. A car battery will even power a hub. This enables easy mobility, hubs can travel to the remotest communities.
The digital content on the hub will be completely free at the point of use. Anyone can access, browse and download the content with no charge. Removing barriers caused by expensive data and broadband. BluPoint hubs are faster than mobile providers, delivering multimedia content faster than 4G.
Content on the hubs is safe, secure and focused. BluPoint hubs deliver a walled garden of content, focused to the needs of the community. This increase’s focus with limited resources to browse. Users will not be subject to harmful content or marketing agendas.",FREE AT THE POINT OF USE,,
Offline,Bookshare (offline),"https://www.bookshare.org
https://www.bookshare.org/cms/help-center/learning-center/learning-at-home/more-ebooks",Secondary,OTHER,"English, Arabic",An accessible online library for people with print disabilities; have 300 books in Arabic. ,FREE There are free books to download. Paid subscription also.,All Rights Reserved,
Offline,BWS Education Consulting,https://www.bwseducationconsulting.com/handouts.php,Secondary,TEST PREP,English ,Students and parents are welcome to download and use any of these to help with test prep and college admissions.,FREE document downloads,All Rights Reserved,
Offline,Camp Kindness Counts,www.campkindnesscounts.org/kind-world,Primary,OTHER,English,The nonprofit Camp Kindness Counts is offering their Kind World Explorers guidebooks as a FREE resource for teachers and parents to support SEL (social emotional learning) and character building for children.,FREE Download of the Kind World Explorers guidebook which is filled with fun character building and social emotional learning (SEL) activities geared for children ages 4-12 and download of Kind World Passport reflection booklet for kids!,All Rights Reserved,
Offline,Cantonese for families,"http://cantoneseforfamilies.com/
https://cantoneseforfamilies.com/cantonese-tv-programs-for-kids-on-youtube/",Primary,LITERACY,Cantonese,Helping families teach Cantonese and Chinese to their children.,FREE Access to Hundreds of pages of free printables. YouTube videos available also,All Rights Reserved,
Offline,Canvas,"https://www.instructure.com/canvas/try-canvas, https://www.canvas.net/","Primary, Tool",OTHER,English,Course managament tool.,FREE Always Free.,All Rights Reserved,
Offline,CAST UDL Book Builder,http://bookbuilder.cast.org/,Tool,OTHER,English,Create Digital Books digital books available for download,FREE ,All Rights Reserved,
Offline,Center for Educational Research and Development,https://www.crdp.org/,Secondary,OTHER,Arabic,Contains official Lebanese course curricula and textbooks.,UNKNOWN,,
Offline,CheckMath,http://www.checkmath.eu/,Primary,STEM,English,"App to correct math, using AI.",FREE app - can be downloaded,All Rights Reserved,
Offline,Chocolate Moose Media,https://vimeo.com/firdauskharas,Secondary,OTHER,Arabic,Behavior change animation short films; NOTE: There is one animation video on rape victims who are being ostracized.,FREE videos on Vimeo for download,CC BY-NC-ND,
Offline,Ciencia NASA,"https://ciencia.nasa.gov/   
https://science.nasa.gov/learners/
https://nasaeclips.arc.nasa.gov/video/realworld/real-world-planetary-volcanoes",Primary,OTHER,Spanish or English,"Exploración de las actividades de ciencia de NASA con blogs, videos, y artículos cortos adecuados por todas las edades. Este recurso incluye contenidos sobre la ciencia espacial, la ciencia terrestre, la ciencia física, y más.","FREE, videos available to download from youtube",CC BY,
Offline,Collisons Chemistry,https://www.playmadagames.com/,Secondary,STEM,English,"Collisions is a system of digital games, grounded in the rules of chemistry, that can be used to introduce, teach, and review key concepts in chemistry.",FREE Always free. Videos on youtube,All Rights Reserved,
Offline,Crash Course,https://thecrashcourse.com,Secondary,OTHER,English ,YouTube videos on many subjects,FREE videos for download on YouTube,All Rights Reserved,
Offline,Crash Course Kids,https://m.youtube.com/user/crashcoursekids,Primary,OTHER,English,YouTube videos on many subjects,FREE videos for download on YouTube,All Rights Reserved,
Offline,CSPathshala,https://cspathshala.org/,Secondary,OTHER,"English, Hindi, Gajurati","Can we show young people how a computational model can be used to solve a variety of problems, from basic problems in mathematics to answering questions in biology? CSpathshala is an Association for Computing Machinery India (ACM India) initiative to bring a modern computing curriculum to Indian schools.",FREE. Downloadable PPT resources and curriculum to learn about computing,CC BY,
Offline,Cube for Teachers,https://cubeforteachers.com/login,Teachers,OTHER,English,"Very interesting site to search for educational resources
Cube For Teachers is a free global sharing community for educators. Educators from around the world are sharing OERs to support students and each other globally.",FREE Always free,All Rights Reserved,
Offline,Cultura Emprendedora,http://www.juntadeandalucia.es/educacion/permanente/materiales/index.php?etapa=culturaemprendedora#space,Secondary,OTHER,Spanish,"Initiativa de la junta de Andalucia, ayudando paso a paso con la procesa de crear una empresa. Los recursos son apropriados por todos los adultos que quieren mejorar sus habilidades de finanza, emprendedurismo, y comunicacion.",FREE dowloadable resources,CC BY-NC-SA,
Offline,Did You Know That?! ASL (offline),https://www.youtube.com/channel/UCwzFvhWOBTnUK5JXX5PHONA,Secondary,LITERACY,English,"Always educational videos in American Sign Language. During the closings, more ASL videos will be added with the addition of comprehension questions and other resources will be added to help ASL teachers.","FREE You tube videos would need to be downloaded for offline use
",All Rights Reserved,
Offline,"Impact(ed) (new name)
Discovery Learning Alliance Library","https://vimeo.com/241193552/beb0c223c4 (Sample)
https://impacted.org/",Secondary,OTHER,Arabic,"Discovery provides digital content for education- textbooks and videos. They have a library of Arabic videos from work in Egypt.In collaboration with local schools and communities around the world, a wide range of content has been developed and mapped to local curriculum. Content includes subjects like science, history, wildlife, math, life skills and much more.","Not easy to see if this is free or downloadable
",,
Online,Ditch That Textbook,https://ditchthattextbook.com/,Primary,OTHER,English,Practical teaching ideas and resources that are downloadable,Some free Resources,,
Offline,DOG ON A LOG Books,"https://dogonalogbooks.com/printables/ 
https://dogonalogbooks.com/sample-books/",Primary,LITERACY,English,"Teaching for children with dyslexia.  Printable board games, activities and more for phonics and reading all using evidence-based methods. Can be customized to any student's needs including creating flashcards for other subjects. ","Some free downloadable books
 ",All Rights Reserved,
Offline,Dr. Roger's Math Neighborhood,https://www.youtube.com/channel/UCbQoCpvYRYRkRRvsObOPHaA?reload=9,Primary,STEM,English,"This is a free online video series with detailed solutions to more than a thousand publicly-released College Board SAT Math, Subject Test Math Level 1, and Subject Test Math Level 2 problems.","FREE all the time. No ads, now or ever. No paid product endorsements.",All Rights Reserved,
Offline,EBLI,"
https://eblireads.com/free-student-lessons/","ECE, Primary, Secondary",STEM,English,Non-Fiction Read Alouds for PreK-12th Graders. Also how to teach using Evidence-Based Literacy Instruction can also be downloded. Stories being read can be downloaded ,"Some free downloadable read alouds 
Read Alouds w/Reading Tips. ",All Rights Reserved,
Offline,Education Above All,"https://resources.educationaboveall.org/e-resources
https://resources.educationaboveall.org/","All, Tool ",OTHER,Multiple,Curated list of free resources available in 8 Languages. Educational projects to do with different level students in PDF format that can be downloaded.  Also list of eresources ,FREE ,,
Offline,Ekitabu,https://shop.ekitabu.com//free-books.html,"ECD, Primary, Secondary",LITERACY,Multiple,"Winner of multiple ACR GCD prizes, eKitabu offers dozens of books for free download and readable via free e-reader software. eKitabu’s Studio KSL (Kenyan Sign Language) and Studio RSL (Rwandan Sign Language) also offer several sign language videos and sign language storybooks to support accessible, early grade reading.   Many African Storybook Project books are here.",FREE. Need to be online to download the books which can then be read offline.,,
Offline,E-learning Unit (University College of Science and Technology),https://www.youtube.com/user/CoursesTube/playlists,Secondary,OTHER,Arabic,Youtube videos on many subjects,FREE,All Rights Reserved,
Offline,Enilda Clinic,https://www.enildaclinic.com/learning,Teachers,OTHER,English,"Child behavior and development information related to education and psychology is available in learning video format. Specific strategies to help families cope with school closures related to COVID-19 as it relates to behavior, child and parent stress, anxiety, keeping up education routines, etc. All brief videos are hosted by a child psychologist.",FREE YouTube.,,
Offline,Fawwaz and Nura,https://www.youtube.com/watch?v=xZQbc3l3S1A,Secondary,OTHER,Arabic,,FREE YouTube Video series about values (in Arabic),CC BY-NC,
Offline,Feed The Monster,http://www.feedthemonsterapp.com/,"Primary, Secondary",LITERACY,Arabic and 25 other languages,"Feed The Monster uses a an exciting and proven play to learn techniques in which kids enjoy playing the different levels, collecting and growing their pet monsters while learning Arabic reading and writing fundamentals. Feed The Monster is the largest and best learn to read and write Arabic app in stores today. It was developed by linguistic specialist and acclaimed educators, kids will have a blast learning letters and words. The game was created so that Playing and Engaging with their monsters will provide your kids with life essential competencies such as emotional regulations, positive social skills and perseverance. Winner of the EduApp4Syria prize competition/",FREE,All Rights Reserved,
Offline,Flipgrid,https://info.flipgrid.com/,"Primary, Teachers, Tool",OTHER,English,"Create a video to show mastery of a math problem, act out your favorite book character or discuss a current event. Families create a private space, ask a question and learners respond with a short video. Videos can be created with ink, whiteboards, filters, images, emojis and more. Once the video is created others in the space can view videos or respond. For more instructions: https://blog.flipgrid.com/news/familylearning","FREE Always free web site, iOS and Android apps",All Rights Reserved,
Offline,Free English with Hello Channel,https://www.youtube.com/channel/UCyyF_FTd_osnN3Pjy8Kl6nA,"Primary, Secondary,Tertiary, Adult ",LITERACY,English,Free for Learning English ,FREE,CC BY,
Offline,Free Math,https://freemathapp.org/,Teachers,OTHER,English,"Free Math allows collecting digital assignments from students and enables quick grading by grouping similar student work on each question. It isn't limited to a specific bank of questions and all of the work done by students is completely freeform, so it can work for a broad range of classes.",FREE Always free.,Public Domain,
Offline,Global Digital Library,https://www.digitallibrary.io/,Primary,OTHER,Multiple,"The Global Digital Library (GDL) is a project of the All Children Reading initiative to increase the availability of high-quality reading resources in the languages children and youth speak and understand. It contains illustrated storybooks in multiple languages, to promote mother-tongue literacy for a variety of reader levels.Require internet to download the books",FREE,Multiple Licenses (including open),
Offline,Heartfullness Project,https://lifeloveaction.com/free-download-2/,Primary,OTHER,English,"Take some of the struggle out of disagreements, melt downs & fights with the “Problem Solving (made easy) Kit”. Teach children how to regulate their emotions, love themselves & yes, solve their own problems! The “Problem Solving (made easy) Kit” includes: • Kids music that doesn’t suck • Dance videos • Intuitive games & tools Teaching them the life skills you wish you were taught as a child!","FREE printable from our “Problem Solving Kit”: the Problem Solving Game Board, PLUS music to help bring some peace in these times and more!",All Rights Reserved,
Offline,Heifer International,https://www.heifer.org/what-you-can-do/get-involved/schools/home-school-activities.html,Primary,OTHER,English,"FREE resources (downloadable books, mazes, word searches, and more) from Heifer International's school programs -- with topics in social studies (geography, economics), science, language arts.",FREE,All Rights Reserved,
Offline,HERE Meditation,www.hereglobalrelief.org,"Primary, App",OTHER,English,"The HERE mobile app is designed to help rapidly relieve stress & anxiety. It works by pairing interactive exercises (staring/swiping), with breathing, music and/or guided meditation to stimulate the relaxation response and promote executive functioning. This game-like approach can be used by the whole family, and may help calm cabin fever, or provide a mental break in between homeschool activities.",FREE The mobile app is entirely free and accessible for iOS and Android users,All Rights Reserved,
Offline,Houghton Mifflin Harcourt: Carmen Sandiego,https://www.carmensandiego.com/resources,Primary,OTHER,English,"Carmen Sandiago: Fearless Kids around the world activities. Carmen Sandiego videos, stories, and lessons for all subject areas.","FREE RESOURCES   are downloadable, videos on Netflix and YouTube.",All Rights Reserved,
Offline,IdeasBox / IdeasCube,http://www.librarieswithoutborders.org/,"Primary, Secondary, Tool",OTHER,Multiple,"A hardware, software and content solution that provides a server with an offline surver of curated content",FREE,,
Offline ,Kahoot,https://kahoot.com/schools/distance-learning/,Tool,OTHER,English,learning platform for students to enagge with materials in a fun way,FREE,All Rights Reserved,
Offline,Khan Academy,https://www.khanacademy.org,"Primary, Secondary",LITERACY,Multiple,Khan academy is an expert created award winning collection of educational resources ,"FREE; no ads, no subscriptions",Multiple Licenses (including open),
Offline,Khan Academy Arabic,https://ar.khanacademy.org/,Secondary,OTHER,Arabic,,"FREE; no ads, no subscriptions",Multiple Licenses (including open),
Offline,Khan Academy Kids,https://apps.apple.com/us/app/khan-academy-kids/id1378467217,"ECE, Primary",LITERACY,English,"Khan Academy Kids is a free, award-winning online education program for children ages 2 - 7. Our mobile app was designed by child development experts at Stanford University and engages kids in core subjects like early literacy, reading, writing, language, and math, while encouraging creativity and building social-emotional skills. It is age-appropriate, personalized based on where your child is at, and engaging.","FREE Always free, no ads, no subscriptions, with an offline version available for when internet access is difficult.",,
Offline,KitKIt School,https://enuma.com/,Tool,OTHER,English,Tablet based learning suite with comprehensive with early learning through primary curriculum,FREE; Todo English currently only available in China and korea ,All Rights Reserved,
Offline,Kiwix - Arabic,http://wiki.kiwix.org/wiki/Main_Page/ar,Secondary,OTHER,Arabic,Wikipedia content in Arabic. Wikipedia content in Arabic (MSA) that comes with an open license and it is available offline once downloaded. Looks to be convenient for 6-12 and adult learners.,FREE,CC BY-SA,
Offline,Kolibri,https://learningequality.org/kolibri/,"Primary, Secondary, Tertiary, Tool",OTHER,Multiple,"Kolibri is specially designed to provide offline access to a curated and openly licensed educational content library in low resource settings. Available in dozens of languages, the Kolibri libraries are designed to support a well-rounded curriculum, including both formal educational materials--such as lessons and assessments--and exploratory materials, such as books, games, and simulations. The Kolibri curriculum platform with teacher toolkit houses over 80,000 open learning resources.","FREE open source, platform with strong offline functionality",Multiple Licenses (including open),
Offline,LearnCloud,https://www.rumie.org/learnsyria/,Secondary,OTHER,Arabic,Tablets with pre-loaded content. Have been populating tablets with content for Syrian refugees so they will also have a big content list; Basic education & some teacher PD,FREE resources ,All Rights Reserved,
Offline,Learning Apps,https://learningapps.org/index.php?overview&s=&category=0&tool=,Teachers,OTHER,English,Different Apps for multiple courses,FREE Access,Public Domain,
Offline,"Leh Wi Learn (Lesson plans, Sierra Leone)",https://edtechhub.org/oer/,Teachers,OTHER,English,Materials developed for  teachers ,FREE,CC BY,
Offline,LingroToGo,www.lingrolearning.com/lingrotogo,Primary,LITERACY,"English, Spanish","Games that make you think. Review vocabulary, grammar, culture, strategies, and pragmatics with this free, fun app. Collect coins and experience points to unlock new levels.",FREE access ,All Rights Reserved,
Offline,Magic Spell by Brainbox Games,https://brainbox.games/,Primary,LITERACY,English,"Finally a game that makes spelling fun! Magic Spell is a carefully crafted spelling adventure. If you are a child, parent or school, there is a Magic Spell app to suit your needs. Wands, wizards and wondrous worlds...come and join the fun!",FREE App.,All Rights Reserved,
Offline,Master Sheet of 300+ University resource sites,https://docs.google.com/spreadsheets/d/1VT9oiNYPyiEsGHBoDKlwLlWAsWP58sGV7A3oIuEUG3k/htmlview?usp=sharing&sle=true#,Tertiary,OTHER,English,Master Sheet of 300+ University resource sites.List of university actions and resources ,FREE,,
Offline,MIT Blossoms,https://blossoms.mit.edu/videos?field_topic_value_many_to_one=All&term_node_tid_depth=62&term_node_tid_depth_1=All,Secondary,OTHER,"Arabic, English, Spanish","BLOSSOMS video lessons are enriching students' learning experiences in high school classrooms from Brooklyn to Beirut to Bangalore. Our Video Library contains over 100 math and science lessons, all freely available to teachers as streaming video and Internet downloads and as DVDs and videotapes. MIT faculty members partnered with educators in Jordan to create the first videos. They are available in Arabic.",FREE,CC BY-NC-SA,
Offline,MIT Edgerton Center - Instructables page,https://www.instructables.com/member/EdgertonCenter/instructables/,Primary,STEM,English,"These lessons are great ways for kids in grades 3 -8 to be introduced to and practice 3D modeling, coding, and hand fabrication. All projects have opportunities to learn skills and customize the final product. The Edgerton Center at the Massachusetts Institute of Technology is a home for experiential learning for students of all ages. We support the MIT community, K-12 schools, and STEAM education organizations seeking to learn by doing and have fun along the way.",FREE,CC BY-NC-SA,
Offline,Moodle,https://moodle.org/,Tool,OTHER,English,Community driven and global open learning platform,FREE Open source ,Public Domain,
Offline,Ms Havrot's Canadian University Math Prerequisites,https://www.youtube.com/channel/UCmAUuVxguXIddAXgmFjePAA/,Secondary,STEM,English,"Grade 11 Functions, Grade 12 Advanced Functions and Grade 12 Calculus and Vectors EVERY lesson that would be taught by your highschool teacher in class. Mathematics lessons on YouTube for the complete curriculum requirements",FREE YouTube ,All Rights Reserved,
Offline,My Happy World,https://www.youtube.com/channel/UCX8BjeMlZrpS5CqfkszQygg/about,Secondary,OTHER,Arabic,"An educational channel for kids that helps them learn basic speech skills in Arabic, improve their imagination and memory skills and build their vocabularies through a series of short episodes where they can learn more than 6 words in each.",FREE,,
Offline,Nal'ibali,https://nalibali.org/story-resources/multilingual-stories,Primary,LITERACY,English,"Storytelling resources, books, lessons, and audio files for children to promote literacy and a love of reading in African languages.",FREE,CC BY-NC-ND,
Offline,Nasa Kids,https://www.nasa.gov/kidsclub/index.html,Primary,STEM,English,NASA Learning Resources for kids ,FREE content ,,
Offline,OER Commons Arabic,https://arabic.oercommons.org/EN/,Secondary,OTHER,Arabic,"Portal for Arabic content in these categories: Arabic Society/Culture, STEM Education, Humanities, Global Challenges",FREE Access,CC BY-NC-SA,
Offline,OER4Schools (Zambia),http://oer.educ.cam.ac.uk/wiki/OER4Schools,Teachers,OTHER,English,Links to materials to support teachers ,FREE,CC BY-SA,
Offline,Open Resources for English Language Teaching (ORELT) Portal,http://orelt.col.org/,Secondary,English Language Teaching,English,Open Resources for English Language Teaching (ORELT) portal is intended to support the classroom activities of teachers of junior secondary schools (JSS). Bank of resources for English Language Teachers,Bank of resources for English Language Teachers,CC BY-SA,
Offline,Open School ,https://www.openschool.bc.ca/k12/,K-12,OTHER,English,"design, develop and deliver solutions for specific learning situations or needs —from print resources for trades apprentices to workplace training hosted in our learning management system.",FREE,All Rights Reserved,
Offline,Open Up Resources,https://openupresources.org/,Primary (2-12),OTHER,English/Math,Open Up Resources is a nonprofit developing the highest quality curriculum materials available to districts to promote educational equity,FREE access,Unclear,
Offline,Openlearn,https://www.open.edu/openlearn/,Tertiary,OTHER,English,"Free taster courses aimed at those considering Open University but everyone can access it. Adult level, but some e.g. nature and environment courses could well be of interest to young people.",FREE Access,CC BY-NC-SA,
Offline,Oráculo Matemágico,https://www.fundaciontelefonica.com.pe/educacion/programa-educacion-digital/oraculo-matemagico/,"Primary,TOOL",STEM,Spanish,Gamified app for children 6-12 to learn mathematics,FREE,,
Offline,PBS Learning Media,https://kera.pbslearningmedia.org/,"ECE, Primary, Secondary",LITERACY,English,"PBS LearningMedia is a free, PreK-12 digital media service available to educators nationwide. Our free service offers teachers access to more than 30,000 learning materials aligned to state and national standards, including 25,000+ videos, interactive lesson plans, media galleries and more to enrich classroom instruction. Educators can easily browse and find content that demonstrates key curricular themes by subject area, standards, and grade bands. For classrooms using Google Classroom, teachers can easily import their class roster directly into PBS LearningMedia, creating a seamless experience between both services. PBS’ partnership with REMIND means that educators can share their favorite materials to students using the REMIND text messaging service. This innovative effort aims to help educators strengthen the school-to-home connection. Create a free account to save, organize, and share resources.",FREE Always,All Rights Reserved,
Offline,PhET,https://phet.colorado.edu/_m/,"Primary, Secondary",LITERACY,"English, Spanish, French, Arabic, Hindi","The PhET project at the University of Colorado Boulder creates math and science simulations that engage students through an intuitive, game-like environment where students learn through exploration and discovery.",FREE,CC BY,
Offline,Population Education,https://populationeducation.org/28-learning-activities-lesson-plans-for-students-distance-learning-at-home/,"Primary, Secondary",OTHER,English,"Population Education creates classroom activities for K-12 students that focus on human population change and related issues including natural resource use, environmental sustainability, equity, well-being, and more. A collection of activities and projects from our resources that we plan to do with our own children (K-12) while working at home.",FREE,All Rights Reserved,
Offline,Project Muse,https://about.muse.jhu.edu/resources/freeresourcescovid19/,Tool,OTHER,English,"scholarly content temporarily available for free with access to vetted research in the humanities and social sciences, from a variety of distinguished university presses, societies, and related not-for-profit publishers.",FREE,Other,
Offline,Quizlet,https://quizlet.com/,Tool,OTHER,English,Learning flashcards and games,FREE,All Rights Reserved,
Online,ReadWorks,https://www.readworks.org/,"Primary, Secondary",LITERACY,English,ReadWorks is an online resource of reading passages and lesson plans for students of all levels K-12. The company was founded with the goal of improving reading comprehension by bringing the latest in literacy teaching research into the classroom.,FREE Always Free.,All Rights Reserved,
Offline,Rumie,https://rumie.org/,Tool,OTHER,English,Education tools and content ,System with strong offline functionality,Public Domain,
Offline,Science Journal for Kids,https://sciencejournalforkids.org/,"Primary, middle school and high school",STEM,English,Hundreds of scientific articles and STEM teaching resources. Written for kids. Approved by scientists.,FREE to download.,CC BY,
Offline,Sesame Street  Workshop  ,https://www.sesamestreet.org/toolkits,"ECE, TOOL",LITERACY and other,English and spanish,Toolkits and Early Learning Resources for parents and educators,FREE,All Rights Reserved,
Offline,SFUSD Mathematics,"http://www.sfusdmath.org/
https://docs.google.com/document/d/1DznQu-RDyyFQ_ceSPwKarLQpvl_IK39LRfhEdo9TZ98/edit (Kindergarten folder)",Primary,OTHER,English and spanish,"In preparation for possible school closures, SFUSD has produced 10 days of activities teachers can choose to assign students to complete at home. All Elementary lesson plans and student pages (both English and Spanish versions) are Google Docs that you can access using the button below. The activities are available to all under the Creative Commons Attribution License.", Very limited free material - English and spanish,Other,
Offline,Shamsuna Al-Arabiya Basic Chemistry,https://www.youtube.com/channel/UCQtFMzEj81ZvIDjDzY6r4XA,Secondary ,STEM,English with arabic subtitles ,Youtube channel ,FREE,CC BY-NC-SA,
Offline,Sihha wa Sa'adah,https://www.youtube.com/user/dubaihealthauthority,Secondary,OTHER,Arabic,Dubai Health Authority,FREE,All Rights Reserved,
Offline,Sikana,https://www.sikana.tv/en,Primary,OTHER,English,"Sikana is an NGO aiming at producing educative videos to share practical knowledge and skills. Videos include content on nutrition, health, sports, arts, and more life skills.",FREE,All Rights Reserved,
Offline,Sikana,https://www.sikana.tv/en,"Primary, Secondary, Tertiary",OTHER,"French, English, Spanish, Portuguese, Arabic","Sikana is an NGO aiming at producing educative videos to share practical knowledge and skills. Videos include content on nutrition, health, sports, arts, and more life skills.",FREE,CC BY-NC-ND,
Offline,Story Mentors,"https://storymentors.org/
http://storymentors.org/resources/",Primary,LITERACY,English,25 leveled readers to engage developing readers. Included with each book is a mentor guide with step-by-step instructions for your session.,FREE ,All Rights Reserved,
Offline,Storytime From Space,https://storytimefromspace.com/,Primary,LITERACY,English,Astronauts read childrens books over a video feed from space.  Videos about experiments in space,FREE,All Rights Reserved,
Offline,Super Jameel,https://www.youtube.com/channel/UCX4BA9iAQ3jxvM5lHQsOhJA,Secondary,OTHER,Arabic,Educational videos for young children,FREE Youtube videos,,
Offline,Ted Ed,https://ed.ted.com,Secondary,OTHER,"Arabic, English",All sorts of engaging educational videos,FREE,CC BY-NC-ND,
Offline,Thaki,"http://www.thaki.org/
https://thaki.org/resource-guide/",Tool,OTHER,Arabic,"NGO that provides up-cycled devices loaded with education content, currently awaiting registration as an NGO in Lebanon. Thaki's mission is to empower refugee and disadvantaged children to learn and thrive through self-paced, motivational electronic tools. We collect donated electronic devices and load them with educational content to distribute to children in displaced communities. The resource guide provides a link to resources that can be sourced and downloaded.  The table includes videos and web links that will help you use the programs, which you can sort based on subject, grade level, and language.",FREE educational resources,unclear,
Offline,"The Choices Program
","www.choices.edu
https://www.choices.edu/videos/
","Secondary, university level",OTHER,English,"Choices develops innovative U.S., World History, and Current Issues curriculum for secondary school students. Free short videos on many topics in history",FREE no account or logins required) ,All Rights Reserved,
Offline,The Kids Should See This,https://thekidshouldseethis.com,"Primary, secondary",OTHER,English,Wide range of cool educational videos,FREE,All Rights Reserved,
Offline,The Science Spot,https://sciencespot.net/Pages/classhome.html,secondary,STEM,English,Downloadable/printable science projects ; other resources useful in eLearning.,FREE All the resources on the site are available free of charge.,All Rights Reserved,
Offline,Todo Math,https://www.todomath.com/,Grades 1-2,MATHS,English,App must be downloaded from Apple or Google Play.  Free,FREE,All Rights Reserved,
