Unnamed: 0,Digital Learning Resources List,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,"The following list contains digital education resources and tools that can be used to provide continuous learning during the COVID-19 response. Please also note this is simply a curated list; we haven’t vetted this list but do highly recommend considering the highlighted resources, many of which are also available offline, and for low-bandwith use. This list can be filtered by level, area (STEM, Literacy, or other), and by language. Yellow indicates content we've directly used in low-resource contexts. We have included licensing information where available. ",,,,,,,
"Can be used
OFFLINE/ONLINE",TITLE,SITE,Level ,Area,Language,DESCRIPTION,NOTES (Cost),LICENSING
OFFLINE,,,,,,,,
Offline,Bookshare (offline),"https://www.bookshare.org/cms/help-center/learning-center/school-closure
https://www.bookshare.org/cms/help-center/learning-center/learning-at-home/more-ebooks",Secondary,OTHER,"English, Arabic",An accessible online library for people with print disabilities; have 300 books in Arabic. There are free books to download. Paid subscription also. ,FREE,All Rights Reserved
Offline,Did You Know That?! ASL (offline),https://www.youtube.com/channel/UCwzFvhWOBTnUK5JXX5PHONA,Secondary,LITERACY,English,Always educational videos in American Sign Language.,"FREE, youtube",All Rights Reserved
Offline,DOG ON A LOG Books,"https://dogonalogbooks.com/printables/ 
https://dogonalogbooks.com/sample-books/",Primary,LITERACY,English,Teaching for children with dyslexia.,"FREE Printable board games, activities and more for phonics and reading all using evidence-based methods. Can be customized to any student's needs including creating flashcards for other subjects.  Some free downloadable books",All Rights Reserved
Offline,Handwriting Heroes ,https://appytherapy.com/handwriting-heroes/,Primary,LITERACY,English,"Handwriting Heroes is a multisensory handwriting curriculum that teaches children how to form their letters through animations, stories and song.  IPAD app to teach handwriting for those with learning challenges.",FREE always free,All Rights Reserved
ONLINE,,,,,,,,
Online,Amazon (online),https://stories.audible.com/discovery,All levels,LITERACY,English,Free access to Amazon stories for kids of all ages,FREE stories ,All Rights Reserved
Online,Boardmaker,https://goboardmaker.com/pages/activities-to-go,Primary,OTHER,English,"Boardmaker is a collection of standardized picture symbols used for communication with students who are strong visual learners. This includes those with autism spectrum disorders, Down Syndrome, speech and language disorders, and behavioral disorders.
Boardmaker is a complete special education platform that supports education, communication, access and social/emotional needs",Free activities during outbreak: https://goboardmaker.com/pages/coronavirus-resources,All Rights Reserved
Online,Command Education (online),"https://www.commandeducation.com/webinar/
""https://www.commandeducation.com/webinar/
https://www.commandeducation.com/navigating-high-school-and-college-with-disabilities/""",Secondary,OTHER,English,"Command Education is offering a complimentary two-part webinar series for students who are home from school due to the coronavirus (COVID-19) pandemic, led by our Senior Mentors, all of whom are graduates of Ivy League and other top-tier universities.","Two-part webinar series for 9th and 10th graders on March 17th and 18th, 1-2 pm EST. We will discuss emotional regulation in times of distress and using time off from school to pursue your passions and build a college-bound roadmap. Two part webinar series for 11th graders on March 17th and 18th, 3-4 pm EST. We will provide students with tools to process their emotions and explain the college application process in detail.",All Rights Reserved
Online,CommonLit (online),https://www.commonlit.org/,Primary,LITERACY,English,"Reading passages for grades 3-12, with reading comprehension and discussion questions. Also has highlighting and notes tools embedded on its passages, as well as most passages have a read aloud function. Once students are signed up on here you can track which students have completed the assignments, and what they are having trouble on. Can easily link to Google Classroom.",FREE Always free!,All Rights Reserved
Online,Education Development Center (online),"https://www.edc.org/audio-now 
https://www.edc.org/sites/default/files/EDC-Audio-Now.pdf",Tool,OTHER,English,Using audio resources/radio to respond to COVID crisis .  List of audio resources in different countries using radio,FREE.,
Online,Dylexia Academy ,https://dyslexia-academy.learnworlds.com/,Primary,LITERACY,English,,NOT FREE,All Rights Reserved
Online,Dyslexia Gold,https://dyslexiagold.co.uk/supportforschools,"ECE, Primary",OTHER,English,Dyslexia Gold teaches children to read. Spelling Tutor teaches all children to spell.,NOT FREE,
