SOP/WI No.,"SOP/ WI Title                                                                                                                     THIS TRAINING MATRIX IS TO BE USED AS AN ESSENTIAL GUIDE, ALTHOUGH WE STRONGLY RECOMMEND THAT YOU READ ANY SOPs RELEVANT TO YOUR PARTICULAR STUDY OR ROLE",Chief Investigators -CTIMPS (Trust or University),Chief Investigators -Non-CTIMPS (Trust or University),Principal investigators & Co-investigators (Trust or University),Clinical Research Practitioner/Nurse/Officer (Trust or University),NIHR Exeter CRF RILD Practitioner/Nurse/Officer (Trust or University),NIHR Exeter CRF DVRC Practitioner/Nurse/Officer (Trust or University),Trials Administrators Bands 2-6 (Trust or University),R&D Pharmacists & Pharmacy Technicians,NIHR Exeter CRF Technical Team,Project Coordinators for research studies (Trust or University),R&D Senior Management (clinical),R&D Senior Management (non-clinical),Quality Assurance Coordinator (Trust or University),R&D Facilitators Bands 4-6,R&D Finance Officers ,Research I.T. Analysts/Data Managers  (Trust or University),Secretaries & Administrators working in research (Trust or University)
Standard Operating Procedures,,,,,,,,,,,,,,,,,,
S01,"Preparation of Standard Operating Procedures
in Research and Development V7 30/11/2023",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Gaining Regulatory Approvals,,,,,,,,,,,,,,,,,,
S09,Sponsorship V3 31/10/2023,x,,,,,,,x,,,x,x,,x,,,
S11,Delegation of Roles for Trust Sponsored Studies V5 14/06/2023,x,x,,x,x,x,x,,,x,x,x,x,x,,,
S13,HRA and Other Regulatory Approvals V4 30/11/2023,x,x,,,,,,,,x,x,x,,x,,,
S14,Honorary Contracts for Those Involved in Research Studies V2 24/08/2021,x,x,x,,,,x,,,x,x,x,,x,x,,x
S21,Confirmation of Capacity and Capability V3 23/02/2021,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,
Study Set Up,,,,,,,,,,,,,,,,,,
S26,Providing and Documenting Training for Researchers V3 05/07/2021,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
S43,Establishing & Maintaining a TMF V3 24/08/2021,x,x,x,x,x,x,x,,,x,x,x,x,,,,
WI43,Establishing and Maintaining Trial Master Files and Investigator Site Files for RD&E Sponsored studies V1 04/10/2021,,,,,,,x,,,x,,,,,,,
Study Management,,,,,,,,,,,,,,,,,,
S02,Submitting Amendments to Regulatory Bodies for Sponsored Studies V3 20/04/2021,x,x,,,,,x,,x,x,x,x,,x,,,
S05,Serious Breaches V6 03/05/2023,x,x,x,x,x,x,x,,x,x,x,x,x,,,,
S22,Safety Reporting V7 18/12/2023,x,x,x,x,x,x,x,,x,x,x,x,x,,,,
S31,Reporting Required for Sponsored CTIMPs V3 20/04/2021,x,,x,x,x,x,x,,,x,x,x,,x,,,
S52,Urgent Safety Measures V4 18/10/2023,x,x,x,x,x,x,x,,,x,x,x,,,,,
Clinical,,,,,,,,,,,,,,,,,,
S15,Informed Consent V7 05/03/2023,x,x,x,x,x,x,,,,,x,,,,,,
