R&D Training Matrix ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
"FRM61, Version 4, February 2024",,,,,,,,,,,,,,,,,,,,,,,,,
CODE,,,,,,,,,,,,,,,,,,,,,,,,,
M= mandatory for the staff identified. ,,,,,PLEASE ENSURE ALL TRAINING COMPLETED IS PUT ON YOUR TRAINING LOG,,,,,,,,,,,,,,,,,,,,
D = Not mandatory but desirable,,,,,,,,,,,,,,,,,,,,,,,,,
R= Role dependant- Please discuss with your line manager,,,,,R=Registered;  NR= Not registered,,,,,,,A= Admin;  DA = Data staff,,,,,,,,,,,,,
"N/A = not applicable for this role. If you need further guidance, please discuss with your line manager ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Clinical (Delivery) Staff,,,,,,,Admin/Data staff,,,,,,,Professional services,,,,,,
,,Frequency,Where to book/locate,Where learning is recorded,Band 3,Band 4,Band 5 R,Band 5 NR,Band 6 R,band 6 NR,Band 7/8,Band 2 A,Band 3 A,Band 3 DA,Band 4 A,Band 5/6 A,Band 5 DA,Band 7 A,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Band 8+
Induction,R&D Induction Checklist,Once,Hub,EDGE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Research and Development Induction Program ,Once,Hub,EDGE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,NIHR induction manual ,Once,Hub,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Core Competencies for Assistant Practitioners working in Clinical Research,Once,Hub,EDGE,M,M,,,,,,,,,,,,,,,,,,,
,Research Delivery Staff Competency Framework ,Once,Hub,EDGE,M,M,M,M,M,M,M,R,R,R,R,R,R,R,,,,,,,
,R&D induction programme.  ,Once,rduh.rdpracticeeducator@nhs.net,EDGE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
NIHR/Research Courses,Introduction to Good Clinical Practice (GCP) elearning,1st day in Research,NIHR learn https://learn.nihr.ac.uk,EDGE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,GCP consolidation (F2f) at same time as R&D induction programme,At R&D face to face induction,,EDGE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Good Clinical Practice (GCP) Refresher elearning,every 3 years,,EDGE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Informed consent training,Once & if refresher needed,rduh.admin.crnswp@nhs.net ,EDGE,R,M,M,M,M,M,M,,,,,,,,,,,,,,
