School Self-Evaluation Review Form,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
※Please mark “x” where appropriate.,,,,,,,,,,,,
Area,Item,Evaluation Standard,Major Review Point,,Strength,To be Improved,"Source of Evidence
(※Please mark “x” where appropriate. Multiple selections are accepted.)",,,,,
,,,,,,,Document,Questionnaire,Observation,Interview,Other(s),"Remark (Please specify the source of information for the selected option(s), such as student questionnaire, summary report of academic affairs, and so forth.)"
Area 2: Curriculum and Teaching,6. Management and Development of Curriculum and Teaching,"6.1 The curriculum of the school conforms to relevant laws and regulations, and it is able to cultivate students’ various abilities and promote their all-round development.",6.1.1,The curriculum complies with relevant laws and regulations.,,,,,,,,
,,,6.1.2,The curriculum is able to cultivate students’ various abilities and promote their all-round development.,,,,,,,,
,,6.2 The curriculum has horizontal coherence and vertical progression. It attends to students’ learning differences and enriches their learning experience.,6.2.1,The school pays close attention to the horizontal coherence and vertical progression of the curriculum.,,,,,,,,
,,,6.2.2,The curriculum can cater for students’ learning differences.,,,,,,,,
,,,6.2.3,"The school curricula can focus on cultivating students' patriotism, and must include the learning content of the Constitution and the Basic Law.",,,,,,,,
,,,6.2.4,Leisure activities and other educational activities can provide learning experiences related to loving the country and loving Macao.,,,,,,,,
,,,6.2.5,Extra-curricular activities and other educational activities can enrich students’ learning experience.,,,,,,,,
,,"6.3 The curriculum and teaching management system can perform the functions of organisation, coordination and supervision, so as to raise the quality of curriculum and teaching.",6.3.1,The school is able to review and optimise the curricular and pedagogical documents and guidelines regularly.,,,,,,,,
,,,6.3.2,The teaching management organisations are able to communicate and collaborate with one another.,,,,,,,,
,,,6.3.3,The school is able to monitor the implementation of curriculum and teaching.,,,,,,,,
,,"6.4 The evaluation of the curriculum and teaching enables the school to know the performance and effectiveness of its implementation, and feedback is provided for improvement.",6.4.1,The summary of curriculum and teaching can reflect the performance of the implementation of curriculum and teaching.,,,,,,,,
,,,6.4.2,The school is able to make use of the information from the evaluation of curriculum and teaching to provide feedback on and improve the curriculum and teaching of the school.,,,,,,,,
,7. Learning and Teaching Performance,"7.1 Students have positive attitudes and motivation towards learning. They are able to apply different methods and resources in their learning, thus achieving their learning objectives.",7.1.1,The students have positive learning attitudes and motivation.,,,,,,,,
,,,7.1.2,The students are able to use different methods to learn.,,,,,,,,
,,,7.1.3,The students are interested in reading.,,,,,,,,
,,"7.2 Students are able to acquire knowledge and skills. They possess an innovative spirit, a critical thinking mindset and the ability to put theory into practice.",7.2.1,The students are able to master what they have learnt. ,,,,,,,,
,,,7.2.2,The students have an innovative spirit.,,,,,,,,
,,,7.2.3,The students have a critical thinking mindset.,,,,,,,,
,,,7.2.4,The students have the ability to put theory into practice. ,,,,,,,,
,,"7.3 Students’ academic performance meets expectations, and is developing steadily.",7.3.1,The students’ academic performance and changes in trend meet the expectations of the school and the subject.,,,,,,,,
,,,7.3.2,"The participation rate and tendency of students to participate in academic activities, sports events and competitions outside the school meet the expectations of the school.",,,,,,,,
,,"7.4 Teachers possess professional knowledge and good communication skills. They are able to create a positive classroom atmosphere, respond to different learning needs of students, and establish a good rapport with them.",7.4.1,Teachers possess good communication skills.,,,,,,,,
,,,7.4.2,The teachers are able to create a good learning atmosphere. ,,,,,,,,
,,,7.4.3,The teachers are able to cater for students’ learning differences.,,,,,,,,
,,,7.4.4,The teachers establish a good rapport with students.,,,,,,,,
,,"7.5 Teachers are able to adopt appropriate teaching strategies to give student-centred lessons, promote classroom interaction, and assist students in developing their learning abilities.",7.5.1,The classroom teaching is student-centred.,,,,,,,,
,,,7.5.2,The teaching strategies adopted can achieve the teaching objectives.,,,,,,,,
,,,7.5.3,The teachers make use of questioning techniques to guide students to learn and promote classroom interaction.,,,,,,,,
,,,7.5.4,"The teachers cultivate students’ innovative spirit, critical thinking mindset and their ability to put theory into practice.",,,,,,,,
,8. Student Assessment,"8.1 The school is able to use diverse ways to assess students’ learning, enhance learning and improve teaching according to assessment results.",8.1.1,"The school is able to coordinate and monitor the quality, amount and frequency of schoolwork and assessment.",,,,,,,,
,,,8.1.2,Diverse ways are used to assess students’ learning performance.,,,,,,,,
,,,8.1.3,Feedback of the assessment results is used to enhance students’ learning.,,,,,,,,
,,,8.1.4,Feedback of the assessment results is used to improve teaching.,,,,,,,,
