OrderAnalysisTable-Date,OrderAnalysisTable-Numberofboxes,OrderAnalysisTable-NumberofOrders,OrderAnalysisTable-BoxesperOrder,OrderAnalysisTable-TotalProductQuantity,OrderAnalysisTable-ProductsperOrder,OrderAnalysisTable-People/Day,OrderAnalysisTable-NumberofCompletedOrdersperPerson
Daily Average,,,,,,,
Monthly Total,,,,,,,
3/1/2016,19.0,20.0,,184.0,,2.0,
3/2/2016,216.0,115.0,,1434.0,,3.0,
3/3/2016,215.0,123.0,,2564.0,,4.0,
3/4/2016,234.0,115.0,,1702.0,,4.0,
3/5/2016,291.0,141.0,,2559.0,,4.0,
3/6/2016,151.0,77.0,,2241.0,,4.0,
3/7/2016,464.0,257.0,,1063.0,,4.0,
3/8/2016,295.0,134.0,,1737.0,,3.0,
3/9/2016,27.0,24.0,,108.0,,2.0,
3/10/2016,39.0,37.0,,184.0,,2.0,
3/11/2016,17.0,17.0,,112.0,,2.0,
3/12/2016,23.0,21.0,,105.0,,2.0,
3/13/2016,25.0,24.0,,133.0,,2.0,
3/14/2016,35.0,34.0,,155.0,,2.0,
3/15/2016,29.0,29.0,,189.0,,2.0,
3/16/2016,33.0,30.0,,154.0,,2.0,
3/17/2016,41.0,41.0,,176.0,,2.0,
3/18/2016,38.0,32.0,,270.0,,2.0,
3/19/2016,38.0,34.0,,179.0,,2.0,
3/20/2016,63.0,57.0,,743.0,,2.0,
3/21/2016,,81.0,,0.0,,3.0,
3/22/2016,135.0,18.0,,1179.0,,2.0,
3/23/2016,24.0,23.0,,127.0,,2.0,
3/24/2016,30.0,29.0,,159.0,,2.0,
3/25/2016,30.0,29.0,,135.0,,2.0,
3/26/2016,39.0,37.0,,178.0,,2.0,
3/27/2016,25.0,24.0,,131.0,,2.0,
3/28/2016,31.0,29.0,,214.0,,2.0,
3/29/2016,27.0,26.0,,226.0,,2.0,
3/30/2016,29.0,29.0,,165.0,,2.0,
3/31/2016,29.0,27.0,,213.0,,3.0,
,,,,,,,
,,,More than one box,,The set meal count is 1.,,"1. Order quantity > 40;  
2. Total product quantity > 300 pcs, meeting either condition requires 2 people."
,,,Hold Orders / Not Shipped,,,,
