Order Analysis Table,Order Analysis Table.1,Order Analysis Table.2,Order Analysis Table.3,Order Analysis Table.4,Order Analysis Table.5,Order Analysis Table.6,Order Analysis Table.7,Order Analysis Table.8,Order Analysis Table.9,Order Analysis Table.10,Order Analysis Table.11
Date,Number of boxes,Number of Orders,Boxes per Order,Total Product Quantity,Products per Order,SKU,People/Day,Number of Completed Orders per Person,Overtime Hours H,Shipping weight (kg),Remarks
Daily Average,,,,,,,,,,,
Monthly Total,,,,,,,,,,,
5/1/2016,77,68,,522,,71,2,,,134.0,
5/2/2016,39,37,,363,,47,1,,,98.0,
5/3/2016,22,22,,136,,43,2,,4,15.0,"414 incoming items, sorted goods"
5/4/2016,178,136,,1400,,79,2,,4,727.0,
5/5/2016,145,85,,823,,80,2,,4,693.0,
5/6/2016,197,146,,1457,,94,4,,4,880.0,
5/7/2016,126,86,,944,,75,3,,2,647.0,"35 incoming items, sorted goods."
5/8/2016,152,119,,1186,,80,2,,2,426.0,
5/9/2016,115,94,,896,,82,3,,2,498.0,
5/10/2016,146,111,,1345,,85,3,,3,581.0,
5/11/2016,81,62,,721,,60,3,,3,358.0,
5/12/2016,169,143,,1344,,79,3,,3,381.0,
5/13/2016,136,90,,1675,,71,3,,3,700.0,
5/14/2016,145,96,,1675,,71,3,,4,675.0,
5/15/2016,118,100,,670,,90,3,,1,338.0,
5/16/2016,148,125,,647,,77,3,,2,474.0,
5/17/2016,126,105,,1193,,87,3,,3,1310.0,
5/18/2016,152,123,,1790,,130,3,,4,722.0,
5/19/2016,148,126,,251,,85,3,,3,506.0,
5/20/2016,34,31,,283,,61,2,,1,81.0,Inventory check
5/21/2016,79,65,,1008,,76,2,,,267.0,
5/22/2016,35,33,,149,,47,1,,,49.0,
5/23/2016,32,31,,114,,37,1,,,52.5,
5/24/2016,116,93,,1268,,83,2,,1,645.0,
5/25/2016,64,61,,471,,70,2,,,121.0,
5/26/2016,45,36,,226,,51,1,,,118.0,
5/27/2016,39,35,,234,,57,1,,,71.56,
5/28/2016,30,27,,155,,46,1,,,47.0,
5/29/2016,37,33,,195,,54,1,,,68.0,
5/30/2016,28,26,,169,,50,2,,,55.8,
5/31/2016,88,58,,669,,69,2,,,350.0,
,,,,,,,,,,,
,,,More than one box,,The set meal count is 1.,,"1. Order quantity > 40;  
2. Total product quantity > 300 pcs, meeting either condition requires 2 people.",,"1. Many sets;  
2. Many beverages;  
3. Receiving goods/other affairs",,
,,,Hold Orders / Not Shipped,,,,,,,,
