ESSER III PRC 181 LEARNING LOSS,Unnamed: 1,Unnamed: 2,Unnamed: 3
For Reference,Likely Coding although not limited to this - PSU must be able to support the expenditures meet these definitions no matter the coding used in the GL,,
ACTIVITY/INTERVENTION,Purpose Codes that fit best,Object codes Likely,Notes
Summer learning or summer enrichment,5360,,
Afterschool programs,5350,,
"Extended instructional time (school day, school week, or school year)",5350,,
Tutoring,,143,if during instructional day
Additional classroom teachers,5110,,
"Other additional staffing and/or activities to assess and support social-emotional well-being  for students, educators and/or families

NOT INCLUDING LICENSED MENTAL HEALTH PROFESSIONALS","5310, 5320, 5830, 5840",,
"Other additional staffing and/or activities to assess and support mental health needs, for students, educators and/or families

LICENSED MENTAL HEALTH PROFESSIONALS","5310, 5320, 5830, 5840",,
"Other additional staffing and/or activities to identify and/or respond to unique student needs and/or provide targeted support for vulnerable students (including low-income children or students, students with disabilities, English learners, racial and ethnic minorities, students experiencing homelessness, and children and youth in foster care)","All the 5200, and other related codes",,
"Universal screening, academic assessments, and intervention data systems, such as early warning systems and/or opportunity to learn data systems.",Could be anything,,
"Improved coordination of services for students with multiple types of needs, such as full-service community schools or improved coordination with partner agencies, such as foster care services","5310, 5320, 5830, 5840",,
Early childhood programs,"5230, 5340",,
Curriculum adoption and learning materials,,"411, 418",
Core staff capacity building/training to increase instructional quality and advance investments in talent pipelines for teachers and/or classified staff,"5870, other",,
Other,,,
