Unnamed: 0,Unnamed: 1,"PRC 181
TOTAL ALLOTMENT","PRC 181
TOTAL EXPENDITURES",Unnamed: 4,Unnamed: 5,"PRC 181
OVERSPENT","PRC 181
REQUIRED SET-ASIDE","PRC 181
EXPENDITURES","PRC 181
EXPENDITURES.1",Unnamed: 10,"Activities or interventions the PSU implemented to satisfy the PSU'S required 20% Set-Aside for Learning Loss
PRC 181 LEARNING LOSS ONLY
FROM 7/1/2023 TO 3/31/2025",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
PSU ID NUMBER,Name of Entity,FROM MARCH 2020 TO JANUARY 2025,"3/13/2020 to 6/30/2023
(INCLUDING LEARNING LOSS)

FROM MFR","7/1/2023 to 6/30/2024
(INCLUDING LEARNING LOSS)

FROM MFR","7/1/2024 TO 3/31/2025
INCLUDING LEARNING LOSS

FROM MFR","DIFFERENCE OF TOTAL ALLOTMENT AND TOTAL EXPENDITURES (MFR)
FROM MARCH 2020 TO MARCH 2025

NEGATIVE EQUALS OVERSPENT

FORMULA - DO NOT MODIFY","REQUIRED 20% SET-ASIDE TO ADDRESS LEARNING LOSS

MUST BE MINIMUM 20%

FORMULA - DO NOT MODIFY","TOTAL EXPENDITURES TO ADDRESS THE IMPACT OF LOST INSTRUCTIONAL TIME (LEARNING LOSS)

FORMULA - DO NOT MODIFY","PRIOR PERIODS
3/13/2020 - 6/30/2023

LEARNING LOSS ONLY

FROM YEAR 4 ESSER ANNAUL REPORT PSU SURVEY","EXPENDITURES
FROM 7/1/2023 TO 3/31/2025

LEARNING LOSS ONLY

FORMULA - DO NOT MODIFY","a. Summer learning or summer enrichment

LEARNING LOSS ONLY","b. Afterschool programs

LEARNING LOSS ONLY","c. Extended instructional time (school day, school week, or school year)

LEARNING LOSS ONLY","d. Tutoring

LEARNING LOSS ONLY","e. Additional classroom teachers

LEARNING LOSS ONLY","f. Other additional staffing and/or activities to assess and support social-emotional well-being  for students, educators and/or families

DO NOT INCLUDE LICENSED MENTAL HEALTH PROFESIONALS

LEARNING LOSS ONLY","g. Other additional staffing and/or activities to assess and support mental health needs, for students, educators and/or families

LICENSED MENTAL HEALTH PROFESSIONALS

LEARNING LOSS ONLY","h. Other additional staffing and/or activities to identify and/or respond to unique student needs and/or provide targeted support for vulnerable students (including low-income children or students, students with disabilities, English learners, racial and ethnic minorities, students experiencing homelessness, and children and youth in foster care)

LEARNING LOSS ONLY","i. Universal screening, academic assessments, and intervention data systems, such as early warning systems and/or opportunity to learn data systems.

LEARNING LOSS ONLY","j. Improved coordination of services for students with multiple types of needs, such as full-service community schools or improved coordination with partner agencies, such as foster care services 

LEARNING LOSS ONLY","k. Early childhood programs

LEARNING LOSS ONLY","Curriculum adoption and learning materials

LEARNING LOSS ONLY","Core staff capacity building/training to increase instructional quality and advance investments in talent pipelines for teachers and/or classified staff 

LEARNING LOSS ONLY","Other

AMOUNTS ENTERED HERE MUST BE DESCRIBED IN COLUMN Z

LEARNING LOSS ONLY","Description of OTHER activities
(Only if amounts entered into column ""Other"")","Please describe how the selected activities or interventions respond to students’ academic, social, and emotional needs."
PSU,string,decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),percent (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),decimal (2),string,string
00A,NC Cyber Academy,3016345.29,1448514.51,1567830.78,0,0,0.346445747926956,1045000,1045000,0,,,,,,,,,,,,,,,,
00B,NC Virtual Academy,3282587.59,1501917.05,1641532.88,139137.66,0,0.335312606235741,1100693,1100693,0,,,,,,,,,,,,,,,,
010,Alamance/Burlington,49906957.49,16321462.61,26799939.15,6785555.73,0,0,0,0,0,,,,,,,,,,,,,,,,
01C,Clover Garden School,275999.17,275999.17,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
01F,Alamance Community School,717570.83,717570.83,0,0,0,0.554812129138527,398117,398117,0,,,,,,,,,,,,,,,,
020,Alexander County,8227555.26,4763262.39,3464292.87,0,0,0,0,0,0,,,,,,,,,,,,,,,,
030,Alleghany County,3740393.48,2648923.6,1070166.2,21303.68,0,0,0,0,0,,,,,,,,,,,,,,,,
040,Anson County,9513313.51,3147740.51,5515439.97,850133.03,0,0,0,0,0,,,,,,,,,,,,,,,,
050,Ashe County,6893099.54,1974452.42,4049601.66,869045.46,0,0,0,0,0,,,,,,,,,,,,,,,,
060,Avery County,5776178.15,3669718.6,2018567.57,87891.98,0,0,0,0,0,,,,,,,,,,,,,,,,
06B,Marjorie Williams Academy,1883189.67,1833962.38,49227.29,0,0,0.181087441925061,341022,341022,0,,,,,,,,,,,,,,,,
070,Beaufort County,17166164.08,10863889.55,6302274.53,0,0,0,0,0,0,,,,,,,,,,,,,,,,
080,Bertie County,8233674.22,3648902.03,4509141.73,424179.58,-348549.12,0,0,0,0,,,,,,,,,,,,,,,,
08A,Three Rivers Academy (CLOSED),71667.1599999999,71667.1599999999,0,0,0,4.24095220181741,303937,303937,0,,,,,,,,,,,,,,,,
090,Bladen County,20834066.82,12102318.51,7490402.34,1239128.07,2217.90000000596,0,0,0,0,,,,,,,,,,,,,,,,
09A,Paul R Brown Leadership Acad,555228.45,362596.36,218061.36,4306,-29735.27,0,0,0,0,,,,,,,,,,,,,,,,
09B,Emereau: Bladen,704577.59,385250.25,168025.52,151301.82,0,0,0,0,0,,,,,,,,,,,,,,,,
100,Brunswick County,26192438.51,13733079.95,12400843.56,58515,0,0.169713675124325,4445215,4445215,0,,,,,,,,,,,,,,,,
10A,Classical Char Sch Of Lelan,1220826.94,524159.6,696667.34,0,0,0,0,0,0,,,,,,,,,,,,,,,,
10B,Classical Char Sch Of Southp,201316.23,201316.23,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
110,Buncombe County,49904148.02,29086232.83,18828768.03,2553785.56,-564638.400000013,0.1008081131449,5030743,5030743,0,,,,,,,,,,,,,,,,
111,Asheville City,7026220.69,4570185.54,1749236.23,706798.92,0,0.0874283668422604,614291,614291,0,,,,,,,,,,,,,,,,
11A,Evergreen Community Charter,207809.72,179822.17,21946.21,6041.34,0,0,0,0,0,,,,,,,,,,,,,,,,
11B,The Artspace Charter School,275993.92,225931.13,41976.15,8086.64,0,0.142894452167642,39438,39438,0,,,,,,,,,,,,,,,,
11C,Invest Collegiate (Buncombe),266253.18,266253.18,0,0,0,0.359237023948409,95648,95648,0,,,,,,,,,,,,,,,,
11D,The Franklin School Of Innova,288980.91,58541.78,173012.59,57426.54,0,0.117025031169014,33818,33818,0,,,,,,,,,,,,,,,,
11F,Asheville Peak Academy,308462.39,288020.49,20441,0.9,0,0,0,0,0,,,,,,,,,,,,,,,,
11K,Francine Delany New Schl,136384.52,136384.52,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
120,Burke County,23007268.3,18461190.13,4546078.17,0,0,0.0821994586814985,1891185,1891185,0,,,,,,,,,,,,,,,,
12A,The New Dimensions School,240278.2,240278.2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
130,Cabarrus County,29898997.6,22672047.24,6681579.59,544957.5,413.270000003278,0.0266405252328593,796525,796525,0,,,,,,,,,,,,,,,,
132,Kannapolis City,12028965.29,7108890.83,4234172.28,685902.18,0,0.0134110454316557,161321,161321,0,,,,,,,,,,,,,,,,
13A,Carolina International Sch,526000.98,429610.47,43540.44,52850.07,0,0.218630771372327,115000,115000,0,,,,,,,,,,,,,,,,
