psu,reportingYear,entityName,dunsNumber,ueiNumber,ncesNumber,isLea,esser3SeaReserveTotalAwarded,esser3SeaReserveTotalExpendedCurrent,esser3SeaReserveLostTimeAwarded,esser3SeaReserveLostTimeExpendedPrior,esser3SeaReserveLostTimeExpendedCurrent,esser3SeaReserveSummerAwarded,esser3SeaReserveSummerExpendedPrior,esser3SeaReserveSummerExpendedCurrent,esser3SeaReserveAftSchAwarded,esser3SeaReserveAftSchExpendedPrior,esser3SeaReserveAftSchExpendedCurrent,esser3SeaReserveOtherAwarded,esser3SeaReserveOtherExpendedPrior,esser3SeaReserveOtherExpendedCurrent,esser3SeaReserveUsedPhysical,esser3SeaReserveUsedAcademic,esser3SeaReserveUsedMental,esser3SeaReserveUsedOperational,esser3SeaReserveRemaining,esser3SeaReserveRemainingPhysical,esser3SeaReserveRemainingAcademic,esser3SeaReserveRemainingMental,esser3SeaReserveRemainingOperational,esser3SeaReserveRemainingUndetermined,esser3MandatorySubgrantAwarded,esser3MandatoryExpendedPrior,esser3MandatoryExpendedCurrent,total expended,esser3MandPhysicalExpendedTotal,esser3MandPhysicalPersonnelSalaries,esser3MandPhysicalPersonnelBenefits,esser3MandPhysicalTechnical,esser3MandPhysicalPropertyServices,esser3MandPhysicalOtherServices,esser3MandPhysicalSupplies,esser3MandPhysicalProperty,esser3MandPhysicalDebtService,esser3MandPhysicalOtherItems,esser3MandAcademicExpendedTotal,esser3MandAcademicPersonnelSalaries,esser3MandAcademicPersonnelBenefits,esser3MandAcademicTechnical,esser3MandAcademicPropertyServices,esser3MandAcademicOtherServices,esser3MandAcademicSupplies,esser3MandAcademicProperty,esser3MandAcademicDebtService,esser3MandAcademicOtherItems,esser3MandMentalExpendedTotal,esser3MandMentalPersonnelSalaries,esser3MandMentalPersonnelBenefits,esser3MandMentalTechnical,esser3MandMentalPropertyServices,esser3MandMentalOtherServices,esser3MandMentalSupplies,esser3MandMentalProperty,esser3MandMentalDebtService,esser3MandMentalOtherItems,esser3MandOperationalExpendedTotal,esser3MandOperationalPersonnelSalaries,esser3MandOperationalPersonnelBenefits,esser3MandOperationalTechnical,esser3MandOperationalPropertyServices,esser3MandOperationalOtherServices,esser3MandOperationalSupplies,esser3MandOperationalProperty,esser3MandOperationalDebtService,esser3MandOperationalOtherItems,esser3Mand20ExpendedPrior,esser3Mand20ExpendedCurrent,esser3Mand20PhysicalExpendedTotal,esser3Mand20PhysicalPersonnelSalaries,esser3Mand20PhysicalPersonnelBenefits,esser3Mand20PhysicalTechnical,esser3Mand20PhysicalPropertyServices,esser3Mand20PhysicalOtherServices,esser3Mand20PhysicalSupplies,esser3Mand20PhysicalProperty,esser3Mand20PhysicalDebtService,esser3Mand20PhysicalOtherItems,esser3Mand20AcademicExpendedTotal,esser3Mand20AcademicPersonnelSalaries,esser3Mand20AcademicPersonnelBenefits,esser3Mand20AcademicTechnical,esser3Mand20AcademicPropertyServices,esser3Mand20AcademicOtherServices,esser3Mand20AcademicSupplies,esser3Mand20AcademicProperty,esser3Mand20AcademicDebtService,esser3Mand20AcademicOtherItems,esser3Mand20MentalExpendedTotal,esser3Mand20MentalPersonnelSalaries,esser3Mand20MentalPersonnelBenefits,esser3Mand20MentalTechnical,esser3Mand20MentalPropertyServices,esser3Mand20MentalOtherServices,esser3Mand20MentalSupplies,esser3Mand20MentalProperty,esser3Mand20MentalDebtService,esser3Mand20MentalOtherItems,esser3Mand20OperationalExpendedTotal,esser3Mand20OperationalPersonnelSalaries,esser3Mand20OperationalPersonnelBenefits,esser3Mand20OperationalTechnical,esser3Mand20OperationalPropertyServices,esser3Mand20OperationalOtherServices,esser3Mand20OperationalSupplies,esser3Mand20OperationalProperty,esser3Mand20OperationalDebtService,esser3Mand20OperationalOtherItems,esser3MandPhysicalBuilding,esser3MandPhysicalMeals,esser3MandPhysicalCleaning,esser3MandPhysicalTempClassroom,esser3MandPhysicalTempTransportation,esser3MandPhysicalCapacityBuilding,esser3MandPhysicalHealthProtocols,esser3MandAcademicExtendedLearning,esser3MandAcademicTutoring,esser3MandAcademicAddlStaff,esser3MandAcademicScreening,esser3MandAcademicCoordination,esser3MandAcademicEcp,esser3MandAcademicHardware,esser3MandAcademicWifi,esser3MandAcademicCurriculum,esser3MandAcademicCoreStaff,esser3MandAcademicTalent,esser3MandMentalAddlStaff,esser3MandOperationalMcKinney,esser3MandOperationalEsea,esser3MandOperationalIdea,esser3MandOperationalAefla,esser3MandOperationalPerkins,esser3MandOperationalOtherActivities,esser3MandatoryRemaining,esser3MandatoryRemainingPhysical,esser3MandatoryRemainingAcademic,esser3MandatoryRemainingMental,esser3MandatoryRemainingOperational,esser3MandatoryRemainingUndetermined,esser3Mand20Reserve,esser3Mand20ReserveExpendedCurrent,esser3Mand20Summer,esser3Mand20AftSch,esser3Mand20ExtendedTime,esser3Mand20Tutoring,esser3Mand20AddlTeachers,esser3Mand20StaffSocial,esser3Mand20StaffMental,esser3Mand20StaffStudentNeeds,esser3Mand20Screening,esser3Mand20Coordination,esser3Mand20EarlyChildhood,esser3Mand20Curriculum,esser3Mand20Capacity,esser3Mand20Other,suppressedValues,Total LL,Unnamed: 166
13C,2023.0,Ace Academy,788735460.0,DU3BUWV2ZJ71,3700372.0,True,52394.0,11383.0,27497.0,27497.0,0.0,6195.0,0.0,1309.0,13234.0,0.0,4606.0,5468.0,0.0,5468.0,True,True,True,True,0.0,,,,,,464311.0,187664.0,205767.0,393431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60348.0,60348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145419.0,108967.0,10848.0,0.0,0.0,0.0,25604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82808.0,0.0,0.0,0.0,62611.0,70880.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
43D,2023.0,Achievement Charter Academy,117526390.0,J9UMMGE341Y6,3700459.0,True,13076.0,1075.0,10770.0,10770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2306.0,0.0,1075.0,False,False,False,True,1231.0,0.0,0.0,100.0,0.0,0.0,84435.0,69323.0,0.0,69323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15111.0,14047.0,1064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15111.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,15111.0,15111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15111.0,0.0,,15111.0,0.178966068573459
01F,2023.0,Alamance Community School,164681740.0,G9VJKSEV7JL7,3700467.0,True,35346.0,0.0,29403.0,29403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5943.0,4779.0,0.0,,,,,1164.0,0.0,0.0,0.0,0.0,100.0,717571.0,319453.0,1.0,319454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.74,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54592.87,45039.89,9552.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343524.14,295155.26,48368.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54593.0,0.0,194074.0,0.0,0.0,0.0,149451.0,0.0,,,,,,398117.0,398117.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398117.0,0.0,0.0,0.0,0.0,,398117.0,0.554811997697789
010,2023.0,Alamance/Burlington,193015252.0,KPTDLJRNNE31,3700030.0,True,2180936.0,88929.0,1715624.0,1680685.0,19374.0,0.0,0.0,0.0,0.0,0.0,0.0,465312.0,168290.0,69555.0,True,True,False,True,227467.0,0.0,0.0,0.0,0.0,100.0,49907508.0,14593557.0,1727905.0,16321462.0,429090.0,342.0,68.0,0.0,428391.0,289.0,0.0,0.0,0.0,0.0,157525.0,121049.0,36476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141290.0,5500.0,1768.0,343699.0,0.0,0.0,745198.0,0.0,0.0,45125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428391.0,0.0,0.0,0.0,699.0,0.0,0.0,36476.0,121049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096165.0,0.0,0.0,0.0,45125.0,33586046.0,0.0,21.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
020,2023.0,Alexander County,100058148.0,FFB8BM5ESYH4,3700090.0,True,678042.0,85242.0,367243.0,344393.0,10098.0,119353.0,0.0,12590.0,107801.0,0.0,10810.0,83645.0,0.0,51744.0,True,True,True,True,31901.0,10.0,80.0,5.0,5.0,0.0,8227555.0,2496184.0,2267078.0,4763262.0,1093.0,1000.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167159.0,372879.0,52699.0,0.0,0.0,0.0,741581.0,0.0,0.0,0.0,31741.0,11715.0,5026.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,1067085.0,491256.0,246224.0,23133.0,0.0,1441.0,5441.0,0.0,0.0,299590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.0,0.0,0.0,0.0,0.0,20499.0,128372.0,243054.0,9677.0,24737.0,0.0,0.0,740821.0,0.0,0.0,0.0,0.0,31741.0,0.0,631913.0,70023.0,0.0,0.0,365148.0,3464293.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
030,2023.0,Alleghany County,945791390.0,KY91M51MCLM9,3700120.0,True,170954.0,29397.0,123580.0,123580.0,0.0,0.0,0.0,0.0,29219.0,0.0,11242.0,18155.0,0.0,18155.0,True,True,True,True,0.0,,,,,,3740393.0,1586344.0,1062579.0,2648923.0,551556.0,8000.0,2572.0,0.0,513460.0,0.0,27524.0,0.0,0.0,0.0,158352.0,136012.0,22340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1698.0,0.0,0.0,0.0,0.0,1698.0,0.0,0.0,0.0,0.0,350973.0,93803.0,38071.0,125950.0,0.0,79400.0,13749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540984.0,0.0,10572.0,0.0,0.0,0.0,25939.0,3184.0,75191.0,54038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1698.0,0.0,350973.0,0.0,0.0,0.0,0.0,1091470.0,4.0,65.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
26B,2023.0,Alpha Academy,966410164.0,GLREZRJY5B33,3700103.0,True,272946.0,0.0,131846.0,50596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141100.0,0.0,0.0,,,,,141100.0,0.0,0.0,0.0,0.0,100.0,1951379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177242.0,18255.0,0.0,0.0,0.0,0.0,158987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745.0,0.0,1397.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18255.0,0.0,0.0,0.0,0.0,158987.0,0.0,0.0,0.0,0.0,0.0,0.0,1745.0,0.0,0.0,0.0,0.0,1772392.0,10.0,30.0,0.0,30.0,30.0,178987.0,178987.0,0.0,0.0,0.0,0.0,0.0,160732.0,0.0,0.0,18255.0,0.0,0.0,0.0,0.0,0.0,,178987.0,0.0917233402634752
51C,2023.0,American Leadership Academy,798169930.0,CMMJNNC4MV62,3700386.0,True,351560.0,152164.0,43644.0,43644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307916.0,136273.0,152164.0,False,True,True,False,19479.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
49B,2023.0,American Renissance Middle Sch,101089956.0,FLH8NJDFFXH1,3700086.0,True,126608.0,0.0,118060.0,43060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8548.0,8525.0,0.0,,,,,23.0,0.0,0.0,0.0,0.0,100.0,321455.0,132094.0,102916.0,235010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81666.0,33667.0,0.0,0.0,0.0,0.0,47999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21250.0,0.0,6250.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33667.0,0.0,0.0,0.0,0.0,0.0,0.0,47999.0,0.0,0.0,0.0,0.0,6250.0,0.0,0.0,0.0,15000.0,86445.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
43C,2023.0,Anderson Creek Club,792083680.0,U1RDK7LD14N6,3700381.0,True,133936.0,0.0,7536.0,7536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126400.0,0.0,0.0,,,,,126400.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
