Product ID,Commodity Name,Current Period Sales Volume,Actual Sales
917904.0,Premium Crystal Red Fuji 75#,857,6809
125824.0,lard,302,3003
70665.0,China Fragrant Rice (JD),455,2181
412064.0,Pickle Series (4) (C),87,2220
305358.0,Durian (C),89,2066
907884.0,Coconut Cakes (C),73,1993
82069.0,Ham meat,109,1951
82070.0,Front Leg Meat,75,1686
70667.0,Jasmine Rice (JD),331,1575
688778.0,North and South Special Snack Cakes (C),62,1169
70411.0,Dragon fruit,76,1144
14563.0,White-shelled fresh eggs,113,955
650973.0,Mango Ginger (C),31,916
70666.0,Pearl Rice (JD),201,913
900909.0,Xiangjia High-quality Cochin Chicken (C),39,835
328008.0,Economic Fast Food (Two Meats and Two Vegetables),125,802
82071.0,Pork belly,37,798
451255.0,Gannan Navel Orange (C),174,787
375344.0,Prime Rib Ribs,11,706
211082.0,Hami Melon (C),50,698
907895.0,Oil-thin Crispy (C),21,687
346148.0,Hainan Banana (C),86,679
685820.0,Live Jiaojiang Shrimp (C),6,637
772071.0,Male Fish (C),42,637
525829.0,Beef Tenderloin (C),6,620
451270.0,Imported Bananas (C),62,618
680300.0,Sesame Powder (C),35,617
346852.0,New Citrus (C),22,606
34904.0,Coconut Dinner Roll,314,597
689312.0,Spicy Tofu Stick (C),20,584
70353.0,Snow Pear,148,580
448160.0,Yellow Mangosteen (C),31,547
343674.0,Steamed Bun (Piece) (C),577,519
451279.0,Xiaotailong Mang (C),40,518
918696.0,Mung Beans (Self-operated),52,516
821297.0,Premium Fragrant Pears (C),29,515
679832.0,Netted Melon (C),29,507
375343.0,Premium Ribs,11,508
821292.0,Premium Crystal Red Fuji 80# (C),32,504
125779.0,Green pointed chili pepper,70,497
679828.0,Super Crystal Red Fuji 85# (C),35,493
70507.0,Cucumber,84,492
82083.0,Dragon bone,21,490
907909.0,Cookies (C),16,484
126909.0,White sugar,73,475
731657.0,Peking Roast Duck (C),10,465
94061.0,Walnut (C),8,450
412047.0,Braised Pork Chop,17,440
412050.0,Premium Large Bone,16,440
648230.0,Job's tears (C),22,432
672734.0,Silver Fish (C),28,425
82072.0,Pork Ribs,45,406
442843.0,Catfish (C),35,405
353557.0,Fruit Gift Basket (Large) (C),400,400
758414.0,Spicy Roast Chicken (C),37,399
392263.0,Big Rock Sugar (C),35,391
15546.0,Fan Gu,17,388
375339.0,Premium Five-layer Pork,14,383
451296.0,Pineapple (C),71,380
375340.0,Premium Upper Cut Meat,13,366
440692.0,Shen Dan Niao Wang Fresh Eggs 15 pieces,17,304
124943.0,Lean meat,13,348
797133.0,Hai Xin Hot Pot Balls (C),12,343
70508.0,Bitter Melon,49,342
648171.0,Honglian (C),8,331
592653.0,Black Beauty Watermelon (C),33,323
448236.0,Papaya (C),32,316
82099.0,Pig's paw,12,316
803058.0,Aquarium Fish Series (C),311,311
125775.0,Tomato,53,309
122630.0,Cucumbers,59,300
855342.0,Guang-style Steamed Dumplings (C),11,299
431858.0,Red Bartlett Pear (C),25,296
350972.0,Red bean (C),21,295
348285.0,Black Glutinous Rice (C),21,291
87499.0,Chicken Middle Wings,5,284
81969.0,Red Radish,91,281
122590.0,Water gourd,20,279
713251.0,Raisin Toast,43,280
