Product ID,Commodity Name,Cost Price,Unnamed: 3,Product ID.1,Commodity Name.1,Quantity entered this time,Unnamed: 7,Product ID.2,Commodity Name.2,Quantity entered this time.1,Unnamed: 11,Product ID.3,Commodity Name.3,Quantity entered this time.2
15527.0,Chicken breast meat,18.0,,15534,Chicken Feet,10,,70353,Snow Pear,0,,125763.0,Potato,40.0
15533.0,Chicken Gizzard,25.0,,87499,Chicken Middle Wings,60,,70411,Dragon fruit,0,,70556.0,sweet potato,50.0
15534.0,Chicken Feet,17.0,,210990,Half Duck,40,,917904,Premium Crystal Red Fuji 75#,130,,320149.0,Big Taro,15.0
39269.0,Chicken Wing Tips,20.0,,87579,Chicken Wings,84,,Product ID,Commodity Name,Quantity entered this time,,125756.0,Winter Melon,390.0
82040.0,Chicken Drums,18.0,,127304,Chicken Legs,60,,70353,Snow Pear,0,,81969.0,Red Radish,13.0
82072.0,Pork Ribs,15.0,,88701,Chicken Drums,80,,917904,Premium Crystal Red Fuji 75#,3780,,125778.0,Little Red Pepper,3.0
82086.0,Pig kidney,40.0,,126259,Duck Kidney,19,,70411,Dragon fruit,210,,125758.0,garlic clove,14.0
82087.0,Pork Liver,13.0,,632411,Duck Neck,35,,,,,,125773.0,Radish,60.0
82099.0,Pig's paw,22.0,,312891,Duck Feet A,20,,Product ID,Commodity Name,Quantity entered this time,,122625.0,tender ginger,4.0
87495.0,Pig stomach,38.0,,779266,Duck Lock Bone,10,,918696,Mung Beans (Self-operated),0,,70473.0,corn,22.0
87499.0,Chicken Middle Wings,44.0,,375699,Duck Legs,25,,82856,Quail Egg,3,,70467.0,Chinese yam,40.0
87579.0,Chicken Wings,26.0,,312892,Duck Wing,25,,70601,Duck egg,17,,125775.0,Tomato,130.0
90838.0,Pork Heart,28.0,,15533,Chicken Gizzard,11,,876274,Green Shell Fresh Eggs,60,,122588.0,Long Chinese Cabbage,16.0
123165.0,Chicken Frame,5.0,,123165,Chicken Frame,3,,909043,"Lvefresh Red Dates (Ruoqiang, Xinjiang)",96,,125746.0,Leek Flower,18.0
126259.0,Duck Kidney,24.0,,239630,Chicken Thigh,40,,14563,White-shelled fresh eggs,375,,125751.0,Celery,42.0
127304.0,Chicken Legs,17.0,,15527,Chicken breast meat,15,,126909,White sugar,0,,122633.0,Chinese cabbage heart,6.0
210990.0,Half Duck,8.0,,82072,Pork Ribs,180,,918620,A-grade Mushroom,20,,125736.0,Lettuce,3.0
312891.0,Duck Feet A,14.0,,39269,Chicken Wing Tips,24,,918697,Black Fungus (Self-operated),2,,122596.0,Leek,4.0
312892.0,Duck Wing,11.0,,388057,Sweet Corn Kernels (Raw Vegetables),5,,81987,Lychee Nuts (Dried),137,,125749.0,Cilantro,1.0
,,,,388060,Chicken pieces,8,,Product ID,Commodity Name,Quantity entered this time,,147819.0,Eggplant,3.0
,,,,499161,Shuanghui Pig Stomach (Renrenle Fresh Meat),35,,70665,China Fragrant Rice (JD),525,,125734.0,Cai Xin,4.0
,,,,498156,Shuanghui Plate Fat,155,,70666,Pearl Rice (JD),1325,,125782.0,Scallion,17.0
,,,,66708,"Rib排 (Note: ""肋排"" directly translates to ""rib排"" or ""ribs"" in English. If referring to a specific product or context, additional clarification might be needed.)",40,,28371,Oil Glutinous Rice (JD),0,,70499.0,Lotus root,50.0
,,,,82039,Pork Offal,4,,70667,Jasmine Rice (JD),1625,,125760.0,Onion,12.0
,,,,Product ID,Commodity Name,Quantity entered this time,,637055,Qiao Rice (JD),500,,122590.0,Water gourd,29.0
,,,,125824,lard,0,,305646,Northeastern Pearl Rice (JD),1000,,122630.0,Cucumbers,21.0
,,,,89092,Pork Ribs,2,,70675,White Glutinous Rice (JD),475,,312616.0,Japanese Green Cucumber,3.0
,,,,82087,Pork Liver,2,,,,,,149566.0,Mung Bean Sprouts,8.0
,,,,82099,Pig's paw,6,,,,,,130169.0,Horned Leaf,5.0
,,,,82070,Front Leg Meat,5,,,,,,87986.0,Seven-color Pepper,2.0
,,,,82069,Ham meat,5,,,,,,128152.0,Garlic Clove,3.0
,,,,82071,Pork belly,0,,,,,,122587.0,Red Eggplant,6.0
,,,,124943,Lean meat,10,,,,,,,,
,,,,499161,Shuanghui Pig Stomach (Renrenle Fresh Meat),0,,,,,,,,
,,,,66708,"Rib排 (Note: ""肋排"" directly translates to ""rib排"" or ""ribs"" in English. If referring to a specific product or context, additional clarification might be needed.)",0,,,,,,,,
,,,,82083,Dragon bone,9,,,,,,,,
,,,,82089,Pig Large Intestine,36,,,,,,,,
,,,,Product ID,Commodity Name,Quantity entered this time,,,,,,,,
,,,,581971,Bare Skin White Strip Rear Section,0,,,,,,,,
,,,,581969,Bare Skin White Strip Front Section,0,,,,,,,,
,,,,581970,Bare mid-section with skin,0,,,,,,,,
,,,,519171,High-quality first-grade white strips with skin,40,,,,,,,,
,,,,82099,Pig's paw,10,,,,,,,,
,,,,82087,Pork Liver,10,,,,,,,,
,,,,Product ID,Commodity Name,Quantity entered this time,,,,,,,,
,,,,15534,Chicken Feet,2,,,,,,,,
,,,,87499,Chicken Middle Wings,7,,,,,,,,
,,,,210990,Half Duck,8,,,,,,,,
,,,,87579,Chicken Wings,3,,,,,,,,
,,,,127304,Chicken Legs,4,,,,,,,,
,,,,88701,Chicken Drums,3,,,,,,,,
,,,,126259,Duck Kidney,2,,,,,,,,
,,,,632411,Duck Neck,1,,,,,,,,
,,,,312891,Duck Feet A,1,,,,,,,,
