Reporting Period,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
"Operating Revenue (10,000 yuan)",13775036.0,11862795.0,9931620.0,8315547.0,6043163.0,4245777.0,4203239.0,3800918.0,2633427.0
"Operating Cost (10,000 Yuan)",8802213.0,8038594.0,7320308.0,6813212.0,4740919.0,3195598.0,3373319.0,3111709.0,2152465.0
"Operating Profit (10,000 yuan)",1608923.0,1226301.0,802631.0,454231.0,274678.0,297453.0,233919.0,137481.0,82722.0
"Total Profit (10,000 yuan)",1675243.0,1289192.0,876271.0,632856.0,505632.0,338028.0,240625.0,142637.0,84875.0
"Income Tax Expense (10,000 Yuan)",249948.0,195617.0,131678.0,103122.0,75312.0,44861.0,27818.0,13913.0,14672.0
"Net profit (10,000 yuan)",1425295.0,1093576.0,744593.0,529734.0,430321.0,293166.0,212808.0,128724.0,70203.0
Basic Earnings Per Share,4.71,3.61,2.47,1.86,1.52,1.55,1.68,1.58,0.86
"Cash and Cash Equivalents (10,000 Yuan)",5454567.0,3854168.0,2894392.0,1604081.0,1516613.0,2290484.0,366630.0,413098.0,137314.0
"Accounts Receivable (10,000 yuan)",266135.0,184928.0,147487.0,122679.0,119892.0,91453.0,56550.0,89457.0,69295.0
"Inventory (10,000 yuan)",859910.0,1312273.0,1723504.0,1750311.0,1155917.0,582364.0,478988.0,722631.0,553272.0
"Total Current Assets (10,000 yuan)",12014348.0,10373252.0,8508765.0,7175561.0,5453272.0,4261082.0,2327707.0,2100979.0,1311182.0
"Net Fixed Assets (10,000 yuan)",1493928.0,1403414.0,1270039.0,770914.0,552798.0,460844.0,430378.0,270568.0,249152.0
"Total Assets (10,000 yuan)",15623095.0,13370210.0,10756690.0,8521159.0,6560438.0,5153025.0,3079996.0,2554796.0,1663458.0
"Total Current Liabilities (10,000 yuan)",10838852.0,9649121.0,7883036.0,6419302.0,4967495.0,4083924.0,2306922.0,1968518.0,1299503.0
"Total Non-Current Liabilities (10,000 yuan)",271098.0,174421.0,115634.0,264142.0,191772.0,3832.0,347.0,264.0,9090.0
"Total Liabilities (10,000 yuan)",11109950.0,9823543.0,7998670.0,6683444.0,5159267.0,4087757.0,2307269.0,1968782.0,1308594.0
"Total Owner's Equity (or Shareholders' Equity) (10,000 yuan)",4513145.0,3546668.0,2758020.0,1837715.0,1401171.0,1065269.0,772727.0,586014.0,354864.0
"Beginning Balance of Cash and Cash Equivalents (10,000 yuan)",2925918.0,2137049.0,633883.0,671052.0,947337.0,318240.0,407481.0,134848.0,71630.0
"Net Cash Flow from Operating Activities (10,000 yuan)",1893917.0,1296984.0,1840875.0,335616.0,61600.0,944960.0,36854.0,279279.0,173297.0
"Net cash flows from investing activities (10,000 yuan)",-286214.0,-218599.0,-421252.0,-276727.0,-188706.0,-309296.0,-94234.0,-113614.0,-55507.0
"Net Cash Flow from Financing Activities (10,000 yuan)",-186431.0,-242398.0,81522.0,-79460.0,-141520.0,-8061.0,-29627.0,106978.0,-54666.0
"Net Increase in Cash and Cash Equivalents (10,000 yuan)",1424729.0,788870.0,1503166.0,-37169.0,-276286.0,629097.0,-89241.0,272632.0,63218.0
"Ending Cash and Cash Equivalents Balance (10,000 yuan)",4350647.0,2925918.0,2137049.0,633883.0,671052.0,947337.0,318240.0,407481.0,134848.0
