"ReportDate-TotalOperatingRevenue(10,000yuan)",3/31/2014-2501014,12/31/2013-12004307,9/30/2013-8875940,6/30/2013-5348935,3/31/2013-2229306,12/31/2012-10011011,9/30/2012-7716456,6/30/2012-4830331,3/31/2012-2008811,12/31/2011-8351725,9/30/2011-6407461,6/30/2011-4023920,3/31/2011-1727408,12/31/2010-6080724,9/30/2010-4429676,6/30/2010-2514507,3/31/2010-1022656,12/31/2009-4263729,9/30/2009-3067623,6/30/2009-2005729,3/31/2009-906907,12/31/2008-4219972,9/30/2008-3511243,6/30/2008-2501848,3/31/2008-1079240,12/31/2007-3804131,9/30/2007-2935877,6/30/2007-2005157,3/31/2007-706349,12/31/2006-2635792,9/30/2006-1950326,6/30/2006-1316784,3/31/2006-440857
"Operating Revenue (10,000 yuan)",2466682,11862795,8781079,5289568,2209916,9931620,7659136,4792344,1998468,8315547,6379160,4006164,1721259,6043163,4400393,2495707,1015895,4245777,3056551,1999022,903268,4203239,3498701,2495192,1077305,3800918.0,2933810,2005157,706349.0,2633427,1950326,1316784,440857.0
"Interest Income (10,000 yuan)",34315,141477,94838,59363,19388,79375,57314,37984,10340,36175,28298,17754,6148,37293,29114,18631,6532,17777,11002,6700,3632,16724,12541,6654,1935,3203.0,2057,--,0.0,2365,--,--,0.0
"Earned Premium (10,000 Yuan)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,--,--,--,0.0
"Commission and Fee Income (10,000 yuan)",18,36,23,3,2,17,6,3,2,3,3,3,2,268,169,169,229,175,70,7,7,9,1,1,0,10.0,10,--,0.0,0,--,--,0.0
"Real Estate Sales Revenue (10,000 yuan)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,--,--,--,0.0
"Other Business Income (10,000 yuan)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,--,--,--,0.0
"Total Operating Cost (10,000 yuan)",2128789,10948793,8100912,4941283,2105033,9231019,7150346,4501047,1874044,7900848,6115836,3869174,1666034,5819181,4266261,2445882,987461,3967184,2839564,1864610,839999,3986984,3332413,2378902,1025869,3666549.0,2846974,1950379,687960.0,2553053,1893516,1280367,427256.0
"Operating Cost (10,000 Yuan)",1603265,8038594,6181392,3829376,1555176,7320308,5758590,3696710,1548981,6813212,5272300,3384776,1438105,4740919,3514602,2089745,798483,3195598,2286663,1492978,685429,3373319,2837663,2039613,880726,3111709.0,2389391,1638712,574060.0,2152465,1600850,1090114,355619.0
"Interest Expense (10,000 yuan)",9668,49196,31279,19578,7536,23066,12269,5558,297,1787,1730,1593,479,6482,4790,2936,894,1576,866,854,369,1220,672,450,136,763.0,456,--,0.0,33,--,--,0.0
"Commission and Handling Charges Expenses (10,000 Yuan)",9,26,20,13,7,27,21,17,7,21,18,13,6,17,10,7,5,20,14,10,10,11,7,4,2,3.0,2,--,0.0,1,--,--,0.0
"Real estate sales cost (10,000 yuan)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,--,--,--,0.0
"R&D Expenses (10,000 Yuan)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,--,--,--,0.0
"Surrender Value (10,000 RMB)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,0,--,--,0.0
"Net Claims Paid (10,000 yuan)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,0,--,--,0.0
"Net amount of insurance contract reserves extracted (10,000 yuan)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,--,--,--,0.0
"Policy Bonus Expenses (10,000 RMB)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,0,--,--,0.0
"Reinsurance Expenses (10,000 RMB)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,0,--,--,0.0
"Other Business Costs (10,000 Yuan)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,--,--,--,0.0
"Surcharges on Business Tax (10,000 yuan)",19254,95617,58102,32452,8324,58995,41304,23271,8271,49791,41869,27349,10124,53882,36603,20209,10302,40337,25601,14762,6402,36264,29263,15386,6698,31680.0,21786,15057,7198.0,22714,17802,11139,7100.0
"Sales Expenses (10,000 yuan)",423404,2250893,1482539,844658,448245,1462623,1109939,605814,242842,805041,637177,360678,168445,841014,612738,275066,154054,579786,439666,295527,116518,440262,367190,248287,98931,434931.0,364909,244104,76372.0,294816,220279,135061,46994.0
"Administrative Expenses (10,000 yuan)",106895,508957,345258,204168,89216,405581,257716,166165,77410,278327,179132,105936,48091,197805,116889,71008,32819,156660,87857,54254,23354,127136,79388,52637,26567,86900.0,61876,39120,18313.0,80188,54682,38596,14754.0
"Financial Expenses (10,000 yuan)",-40059,-13731,-13490,-5856,-9804,-46135,-30585,-7333,-7985,-45271,-24287,-19221,-9884,-30897,-21797,-19451,-14838,-9702,-3000,534,1941,8500,14865,6439,3609,-974.0,2863,1144,-303.0,-444,-147,-786,100.0
"Asset Impairment Loss (10,000 Yuan)",6351,19239,15813,16893,6334,6554,1093,10845,4220,-2059,7897,8049,10669,9960,2425,6362,5743,2909,1898,5690,5976,273,3363,16087,9199,1537.0,5690,12241,12320.0,3281,49,6244,2689.0
"Fair Value Change Income (10,000 RMB)",-113314,99056,58803,44051,16839,24688,6010,364,-303,-5751,-3071,-44,-1229,6919,4533,7820,2491,231,--,0,0,0,0,--,--,0.0,--,--,0.0,0,--,--,0.0
"Investment Income (10,000 yuan)",24304,71734,51410,19453,7186,-2049,-4529,-3295,1012,9109,6860,-223,385,6220,5648,3419,1405,677,-34,-95,-99,942,-152,--,--,-94.0,-72,59,32.0,-12,198,131,39.0
"Investment income from joint ventures and associates (10,000 yuan)",-141,286,-148,28,-35,873,-466,-288,-116,-491,-392,-419,-10,-809,-330,-249,-42,-208,-87,-95,-99,-324,-152,--,--,0.0,-82,59,32.0,-54,198,131,0.0
"Foreign Exchange Gains (10,000 Yuan)",--,-3,-2,-2,--,0,1,1,--,-6,-3,-3,--,-4,-1,-1,--,0,0,0,0,-11,0,--,--,-7.0,-6,--,0.0,-4,--,--,0.0
"Futures Gains and Losses (10,000 RMB)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,--,--,--,0.0
"Trust Management Income (10,000 RMB)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,--,--,--,0.0
"Subsidy Income (10,000 yuan)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,--,--,--,0.0
"Other Business Profit (10,000 yuan)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,0.0,--,--,--,0.0
"Operating Profit (10,000 yuan)",283215,1226301,885239,471154,148297,802631,567591,326353,135476,454231,295412,154477,60530,274678,173595,79863,39091,297453,228025,141025,66809,233919,178679,122946,53371,137481.0,88825,54837,18421.0,82722,57008,36548,13640.0
"Non-operating Income (10,000 yuan)",6109,68420,45055,32126,14777,76038,71164,16154,10598,184579,173235,117266,51946,235332,174327,112899,39106,41754,9431,7177,1508,8314,3731,3312,1474,6371.0,2589,2162,283.0,3379,2568,1773,1159.0
"Non-operating expenses (10,000 yuan)",866,5529,5252,5050,3423,2398,1637,1256,1142,5953,2773,2025,1548,4378,3035,2128,141,1179,925,854,519,1607,2204,1380,255,1215.0,427,349,236.0,1226,1049,349,284.0
"Non-current Asset Disposal Loss (10,000 Yuan)",792,378,164,135,89,1429,1084,790,811,702,436,369,174,416,261,105,17,255,183,118,0,83,713,105,32,431.0,13,--,0.0,179,3,--,0.0
"Total Profit (10,000 yuan)",288458,1289192,925042,498230,159651,876271,637118,341250,144932,632856,465874,269718,110928,505632,344887,190634,78056,338028,236531,147348,67798,240625,180205,124877,54590,142637.0,90986,56650,18468.0,84875,58527,37972,14515.0
"Income Tax Expense (10,000 Yuan)",60940,195617,161330,93716,25248,131678,98684,51041,25781,103122,85226,47095,16794,75312,55221,33313,14003,44861,36391,23569,12638,27818,33493,23347,10619,13913.0,13781,7911,2682.0,14672,9699,6051,2077.0
"Unrecognized Investment Loss (10,000 Yuan)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,0.0,--,--,483.0,--,--,--,-126.0
