Unnamed: 0,Program Title,Government Name,Government Type,State,Purpose,Mechanism,Other Aspects,Source
1.0,Housing Development Incentive Program,Springfield,City,Massachusetts,"Increase the number of market rate properties in downtown through construction, rehabilitation, and renovation",Investment Tax Credit for up to 10% of development costs and Local Property Tax Exemption in specific zones in and around downtown,,https://www.springfield-ma.gov/cos/index.php?id=1372
2.0,Density Bonus Ordinance,Campbell,City,California,"Increase the number of very low-, low-, and moderate-income housing units",Increase Developer Limit on market rate housing for each affordable unit built.,,http://www.cityofcampbell.com/135/Housing
3.0,High Performance Market-Rate Rental Housing Tax Credit,Baltimore,City,Maryland,"Encourage development of new, renovated, or converted market-rate apartments","Tax Credit, decreasing over time, for 10 or 15 years ( for citywide vs targeted areas) based on the increase in the real property's value",,http://baltimoredevelopment.com/high-performance-tax-credit
4.0,Center City Housing Incentive Program,Holyoke,City,Massachusetts,"Expand diversity of housing in the CCHIP Zone by converting or rehabilitating existing buildings, including mixed use buildings","Local Tax Exemption of 100% for up to 10 years if project started in first 5 years of program, negotiated rate for the last 15 years of the program",20 year zone for project; Length and amount of exemption project dependent,http://www.holyoke.org/cchip/
5.0,J Van Sickle & Company Rural Rental Housing Development Model,,,Kansas,Create profitable market rate housing in rural communities,Decrease acquisition and development costs through Part Ownership in the project; Implement a New Management Model with zero cost,Not government-based,http://www.ruralrentalhousing.com/developmentModel.html
6.0,Tax Increment Financing District 16,Sheboygan,City,Wisconsin,Encourage development of new market-rate apartments,Tax Increment Financing District,,http://www.sheboyganwi.gov/sheboygan-development/; http://www.sheboygancountyedc.com/opportunity/downtown-sheboygan-housing/downtown-housing-overview/
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"Other Applicable Examples - Case Studies, Articles, etc.",,,,,,,
,No specific program title,Boulder,City,Colorado,,Non-profit and for-profit developers collaborated to offset the loss in profits from the city's inclusionary housing ordinance  with market rate units,Market rate/affordable housing mix (Mixed income housing),https://www.huduser.gov/portal/casestudies/study_01272015_1.html
,,Kent,City,Ohio,,public/private partnership: ,Mixed use commercial and housing development,https://www.huduser.gov/portal/casestudies/study_05222015_1.html
,,Grinnell,City,Iowa,,suggested: changes to housing Tax Credits that make areas with a housing shortage eligible.,Article suggesting changes to tax credit programs to attract market rate housing to rural areas with housing shortages. Developers pass by rural communities because urban areas have higher market rates and are more profitable.,http://www.desmoinesregister.com/story/money/business/2014/04/05/rural-areas-suffer-housing-shortage/7341817/
,Sun Ridge Development,Beatrice,City,Nebraska,,Tax Increment Finance District and Local Tax Funding,"Targeted housing value of $200,000",http://beatricedailysun.com/news/local/workforce-housing-project-proposed-to-beatrice-city-council/article_56994022-e17b-5378-b6e1-05dae39ae2a5.html
,,Fergus Falls,City,Minnesota,,"Tax Increment Finance district for promotion of below market units, can be incorporated into mixed income properties.",,http://www.ci.fergus-falls.mn.us/vertical/sites/%7BC83A9759-035D-4EAB-A39F-EA24B2F5336D%7D/uploads/Housing_Study.pdf
,No specific program title,Mount Pleasant,City,Iowa,,Loan via the city at 1% interest over 20 years,Workforce housing - up to 140% state median income; money from the Iowa Housing Loan Program through the city,http://www.kilj.com/city-of-mount-pleasant-seeking-proposals-for-workforce-housing/
