Unnamed: 0,Program Title,Government,Govt Name,Law,Administrator,Purpose,Mechanism,Other Aspects,Source
1,Guaranteed Rural Housing Loans,Federal,-,"Housing Act of 1949, Section 502","USDA, Rural Development Housing and Community Facilities Program",Enable low- and moderate-income rural residents to purchase modestly priced homes,Mortgage Loan from commercial lender guaranteed 90% by the government with 30 year terms and fixed market-level interest rates,,http://ruralhome.org/storage/documents/info_sheets/RD502Guaranteed.pdf ; http://www.rd.usda.gov/programs-services/single-family-housing-guaranteed-loan-program
2,Direct Loans,Federal,-,"Housing Act of 1949, Section 502","USDA, Rural Development Housing and Community Facilities Program","Enable very low- and low-income rural residents to purchase, build, repair, renovate, relocate modest homes and sites","Mortgage Loan for up to 33 years, no down payment, combined payment for principal, interest, taxes, and insurance higher of either 24% of annual income or 1% principal/interest plus taxes/insurance",,http://ruralhome.org/storage/documents/rd502direct.pdf
3,Rural Repair and Rehabilitation Loans and Grants,Federal,-,"Housing Act of 1949, Section 504","USDA, Rural Development Housing and Community Facilities Program",Finance repairs for very low income homeowners,Loan for general repairs and improvements or remove health/safety hazards for very low income; Grant to remove health/safety hazards or make useable/accessible to disabled for low income elderly,,http://ruralhome.org/storage/documents/rd504_vli_repair.pdf
4,Rural Rental Housing Loans,Federal,-,"Housing Act of 1949, Section 515","USDA, Rural Development Housing and Community Facilities Program","Finance affordable rental housing for very low-, low-, and moderate-income families, elderly, and disabled","Loan for up to 30 years at 1% interest rate, amortized over 50 years; tenants pay basic rent or 30% of adjusted income",For targeted communities (state-level),http://www.ruralhome.org/storage/documents/rd515rental.pdf
5,Farm Labor Housing Loans and Grants,Federal,-,"Housing Act of 1949, Section 514/516","USDA, Rural Development Housing and Community Facilities Program",Develop on- and off-farm housing,"Loan (514) to buy, build, improve (incl. durable furnishings), or repair housing, day care, and community facilities at 1% interest for 33 years; Grant (516) of up to 90% of costs for the same",,http://www.ruralhome.org/storage/documents/rd514.516.pdf
6,Rental Assistance,Federal,-,"Housing Act of 1949, Section 521","USDA, Rural Development Housing and Community Facilities Program","Finance affordable rental housing for very low- and low-income families, elderly, and disabled",Subsidy to limit tenants' payments to 30% of their income; for some section 515 and section 514/516 properties,?for targeted communities (state-level),http://www.ruralhome.org/storage/documents/rd521ra.pdf; http://www.ruralhome.org/storage/documents/rd515rental.pdf
7,Mutual Self-Help Housing Loans,Federal,-,"Housing Act of 1949, Section 523/502","USDA, Rural Development Housing and Community Facilities Program",Finance construction of owner-built homes for very low- and low-income households,"Loan for up to 33 years, no down payment, combined payment for principal, interest, taxes, and insurance higher of either 24% of annual income or 1% principal/interest plus taxes/insurance",,http://ruralhome.org/storage/documents/rd502self-help.pdf
8,Rural Housing Site Loan,Federal,-,"Housing Act of 1949, Section 523/524","USDA, Rural Development Housing and Community Facilities Program",Enable the acquisition and development of site for homes of low- and moderate-income families,Loan to nonprofit organizations for 2 years at market interest rates,,http://www.ruralhome.org/storage/documents/rd523.524siteloans.pdf
9,Housing Preservation Grants,Federal,-,"Housing Act of 1949, Section 533","USDA, Rural Development Housing and Community Facilities Program",Fund the repair and rehabilitation of very low- and low-income housing ,Grant is made in area of concentrated need and must be used within two years,,http://ruralhome.org/sct-information/mn-hac-research/mn-rrg/111-housing-preservation-grants-section-533
10,Guaranteed Rural Housing Loans,Federal,-,"Housing Act of 1949, Section 538","USDA, Rural Development Housing and Community Facilities Program",Enable the development of affordable multifamily rural rental housing for tenants of moderate-income or below,Loan from commercial lender guaranteed 90% by the government with up to 40 year terms and fixed interest rates; tenants pay basic rent or 30% of adjusted income,,http://www.ruralhome.org/storage/documents/rd538guaranteed.pdf
