Title,Recording Learning delivery monitoring codes
Purpose,"To provide a list of the valid Learning delivery monitoring codes, to enable providers to successfully make ILR data returns"
Intended audience,"This is a technical document aimed at those responsible for making data returns; data specification implementation; and MI system design (including MI managers, commercial software suppliers and own software writers)"
Version 6,May 2018
,
,
The following codes are those authorised for use in the Learning Delivery Funding and Monitoring fields,
,
"If you are involved in a National project or pilot, you will be instructed which code to use, by the team responsible for running the project or pilot.",
,
,
This appendix contains the following spreadsheets:,
,
-,Learning Delivery Monitoring (LDM) codes
-,Codes removed for 2017 to 2018. These are not valid for use in 2017 to 2018
