Code,Title,Description,Required for ESFA Funding Calculation,Valid From,Valid To
,,,,,
034,OLASS – Offenders in custody,Use this code only if you are a provider contracted to deliver learning to offenders in custodial establishments through the Offenders’ Learning and Skills Service (OLASS). This will enable the tracking and matching of offender learning and the continuity of learning aims when moving from offender learning in custody into the community. ,Y,,
086,OLASS – Offenders in the community,"Use this code only if you are delivering learning to offenders under supervision, or serving a sentence in the community. In order for providers to utilise this code, a referral to learning provision must have been made by either the National Probation Service or Youth Offending Team.",,2007-08-01,
105,European Social Fund 2007/13,This code is for 2007/13 ESF Co-financing activity only. It should be used in combination with code 95 in L39 (Destination) to identify where an ESF participant has progressed from ESF Co-financed activity into a mainstream or other learning programme with the same provider. See the ILR Summarisation Rules document which is available via the ESF Intranet for more detail.,,2008-01-01,2015-07-31
117,Apprenticeship supported or funded by ESF,This code should be used where ESF funding for 2007/13 is being used to wholly fund apprenticeships or where ESF funding is being used to support the delivery of mainstream apprenticeships.,,2009-08-01,2015-07-31
118,Proxy Learning Aim,This code should be used when providers are recording a different learning aim to that actually being delivered because the actual aim is not yet available on the LARS database. This code must not be used if the learning aim is completed or in the end of year returns.,,2010-08-01,
119,Offenders in custody with mainstream funding,Learning and skills provision delivered to offenders in a custodial setting funded by mainstream funding.,,2006-08-01,2016-07-31
126,Progression Funding,This code indicates Entry or Level 1 vocational and personal and social development learning aims that should be fully funded as the learner has not yet achieved their first full level 2 but needs a step up from basic skills in order to progress to this level.,,2011-08-01,2016-07-31
127,Access to Apprenticeships,This code is used to identify learners on an Access to Apprenticeship pathway,,2011-08-01,2014-07-31
129,Group Training Association (GTA),"A GTA provides support on accessing, managing and the delivery of training for a group of employers to encourage their involvement in apprenticeships. This code is used to monitor the delivery of apprenticeships through GTAs.",Y,2011-08-01,
130,Apprenticeship Training Agency (ATA),This code is used to identify Apprenticeships where the apprentice is directly employed by the ATA who then hires them out to a host employer.,Y,2011-08-01,
131,NEET Apprenticeship starts,"This code is used to identify all learners from the NEET cohort who start an apprenticeship from 2011/12 through to 2014/15. This will allow reporting on the impact of the funding available to support this group and the progress toward the 40,000 target.

NEET status applies where someone who is eligible for funding (2011/12 Learner Eligibility and Contribution Rules) has not been enrolled or engaged on any educational courses or training programmes or been employed under a contract of employment for a period of a minimum of 13 weeks prior to starting the apprenticeship. Other programmes may have different definitions of NEET.",,2011-09-01,2015-08-31
132,Apprenticeship Grant for Employers for 16 to 24 year olds (AGE 16-24) - Provider Payment Trigger,"This code is used to identify learners recruited to apprenticeships through AGE 16 to 24 and importantly it will also act as the trigger for payment to providers claiming the grant on behalf of eligible employers. This is the Employer Wage Inventive Initiative as part of the Youth Contract. The National Apprenticeship Service will provide up to 40,000 Apprenticeships for Small Employers recruiting 16 to 24 year olds with a value of £1,500 to encourage new employers to take on new 16- 24 year old apprentices.  More information available at http://www.apprenticeships.org.uk/Partners/Policy/AGE-1624.aspx",,2012-02-08,2014-12-31
133,Apprenticeship Grant for Employers for 16 to 24 year olds (AGE 16 to 24) - Strategic Partner,"This code is used to identify learners recruited to apprenticeships through AGE 16 to 24 where payment to the employer will be made via our Strategic Partners - providers should use this code where they are reporting the learner for MI and performance reasons, but not claiming an AGE 16 to 24 Grant payment on behalf of the employer.   More information available at http://www.apprenticeships.org.uk/Partners/Policy/AGE-1624.aspx",,2012-02-08,2014-12-31
135,Greater Manchester Commitment to Youth Employment,A grant scheme for 16-24 year old unemployed or NEET young people in Greater Manchester who start new apprenticeships. It is offered with an optional pre-apprenticeship trial.,,2012-04-01,2014-07-31
315,Norfolk Apprenticeships Subsidy,This code should be used to identify learners who are undertaking apprenticeship programmes where employers are eligible for Norfolk County Council wage subsidy - rate dependent on age & prior attainment of learner. All eligible apprentices must be resident in Norfolk,,2012-09-01,2016-07-31
318,Mandation to Skills Training,This code should be used to identify learners who have been referred (mandated) by DWP to training if an individual has a skills needs that is a barrier to work.,,2012-08-01,2016-07-31
319,Employer Ownership Pilot - Employer defined programme,This code should be used by providers participating in the Employer Ownership Pilot to identify learning aims that a learner is undertaking as part of a programme that is similar to an apprenticeship but which does not meet all the requirements of a SASE framework.,,2012-08-01,2017-07-31
320,14-16 Direct Funded Students in FE,This code should be used to identify learners from September 2013 who are full time 14 and 15 year olds and have been recruited directly by a General Further Education (GFE) or Sixth Form college.,,2013-08-01,
321,14-16 Home Educated Students,This code should be used to identify learners from September 2013 who are alternative provision census home educated students. These students will be funded as 14-16s direct in FE.,,2013-08-01,
322,Residential Courses,To identify courses that are being delivered by Long Term Residential Colleges (LTRCs) to learners in residence. The Skills Funding Agency funding calculation will use this information.,Y,2013-08-01,
324,Personalised learning programme for learners with learning difficulties and/or disabilities,This code should be used to identify non regulated provision that is created for learners with learning difficulties and/or disabilities as part of their personalised learning programme where there is no other suitable alternative within a regulated framework,,2013-08-01,
326,Skills Made Easy-Sheffield City Deal,Sheffield City Council management of a skills brokerage and delivery service offering apprenticeships and workplace up-skilling across the Sheffield City Region. The code will be used to identify this distinct provision amongst the regular ILR returns by Sheffield City Council. This is for monitoring and performance management purposes and so that Skills Funding Agency can make accurate reports back to BIS.,,2013-08-01,2016-07-31
328,RoTL,This code should be used for learners who are released from prison on a temporary licence.,,2013-08-01,
329,ESOL Plus (Mandation),The code for ESOL Plus (Mandation) Funding is only to be used by providers selected to receive an allocation in order to deliver ESOL provision to improve the speaking and listening skills of JCP mandated learners to Entry Level 1 or Entry Level 2 in a DWP priority area. Providers delivering this additional provision will have already received further information from the Agency on the use of these funds.,,2013-08-01,2016-07-31
330,Skills Training Innovation and Employment (STRIVE) pilot for the homeless,Three year pre employment and skills pilot to support people who are homeless in London and furthest from the labour market to start to prepare for work. The pilot will be targeted at people who are homeless claiming JSA or ESA and not on the Work Programme. The pilot will provide intensive English and maths support to claimants who are placed on the ‘Help to Work’ scheme.,,2013-08-01,2017-03-31
331,Princes Trust Team programme,"This code should be used to record learning aims that are delivered as part of the Prince’s Trust TEAM programme. TEAM is a 12-week personal development course, offering work experience, qualifications, practical skills, community projects and a residential week.
It should be used for both 16-19 and Adult skills funded learners.",,2014-08-01,
333,Apprenticeship Grant for Employers for 16 to 24 year olds (AGE 16 to 24) - Provider Payment Trigger from  1 Jan 2015 to 31 Mar 2016,"This code is used to identify learners recruited to apprenticeships through the Apprenticeship Grant for Employers 16 to 24 (AGE) from 1 January 2015 to 31 December 2015 and will act as the trigger for payment to providers claiming the grant on behalf of eligible employers. 

The grant applies only to apprenticeship Frameworks and not to the new apprenticeship standards.",,2015-01-01,2016-03-31
334,Apprenticeship Grant for Employers for 16 to 24 year olds (AGE 16 to 24) - Strategic Partner from 1 Jan 2015 to 31 Dec 2015,"This code is used to identify learners recruited to apprenticeships through AGE 16 to 24 where payment to the employer will be made via our Strategic Partners - providers should use this code where they are reporting the learner for MI and performance reasons, but not claiming an AGE 16 to 24 Grant payment on behalf of the employer.   

The grant applies only to apprenticeship Frameworks and not to the new apprenticeship standards.",,2015-01-01,2015-12-31
335,ESF AGE Enhancement 1-49,Delivery of enhancements to the Apprenticeship Grant for Employers through Priority 2 ESF funding to support the development of the employer’s workforce for companies with 1-49 employees.,,2015-01-01,2015-12-31
338,ESF AGE Enhancements 50-249,Delivery of enhancements to the Apprenticeship Grant for Employers through Priority 2 ESF funding to support the development of the employer’s workforce for companies with 50-249 employees.,,2015-01-01,2015-12-31
340,Community learning mental health pilot,"The pilot is for the development, delivery, evaluation and sharing of educational approaches to support recovery from mental health problems, in order to identify the potential for sustainability and wider dissemination.",,2015-04-01,2017-07-31
342,BBC Make it Digital Traineeship Programme,"This code should be used to record activity under the BBC Make it Digital traineeship programme. This is a national traineeship programme designed by the BBC, and delivered by a group of training providers across the country,  that aims to prepare young people for an apprenticeship or job in the digital media sector.",,2015-03-01,
344,Greater Manchester Skills for Employment Pilot Programme (Growth Deal),"This code should be used to record activity under the tendered Greater Manchester Skills for Employment Pilot Programme (Growth Deal), delivered by selected providers, for payment reconciliation.  The code should only be used for the growth deal element (funding code 81) and not for the ESF element (funding code 70).",,2015-08-01,
345,Sheffield City Region Skills Bank (Growth Deal),"This code should be used to record activity under the tendered Sheffield City Region Skills Bank (Growth Deal), delivered by selected providers, for payment reconciliation.  The code should only be used for the Growth Deal element (funding code 81) and not for the ESF element (funding code 70).",,2015-08-01,
346,Armed forces leavers,"This code should be used to identify learning aims for Armed forces leavers, aged 24 or older, studying their first full level 2 or 3 qualification.

Armed forces leavers are:
 - those who left the British armed forces in the past 10 years after completing four or more years of service, or
 - those who have been medically discharged from the British armed forces due to an injury in active service, after completing basic training.",,,2016-07-31
347,Steel Industries Redundancy Training,This code should be used to identify learning aims that are being undertaken as part of the package of support that has been agreed for learners who have been made redundant or who are at risk of redundancy from the Steel Industry. This code must only be used by providers who have received written permission from the Agency to do so.,,2015-08-01,
348,Apprenticeship seasonal worker pilot,This code should be used to identify learning aims that are being delivered as part of the seasonal worker pilot where the apprenticeship is completed in more than a single episode of employment/learning. ,,2016-04-01,
