Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,Liverpool City Region Combined Authority,,,,,,,
,,,,Adult Education Budget Allocations 2021/22,,,,,,,
,,,,All Providers,,,,,,,
,,,,As at May 2022,,,,,,,
,,,,Version 1.0,,,,,,,
,,,,,,,,,,,
,,,,"*Contract for Service (CfS) providers are able to commit 5% of their overall mainstream contract to a Test & Learn (T&L) pilot. This funding is contained within the values below.

Please be aware the allocation values below do not include Grant Funded T&L pilots or T&L pilots for CfS providers who successful secured a lot 2 contract. Please see T&L - Contracts tab for these values.",,,,,,,
,,,,,,,,,,,.
UKPRN,Name,Contract Type,SSA 1 Areas,"Total Contract Value 2020/21 *
(Excluding Test and Learn - Contracts)","Subcontractors
(UKPRN)",Website Address,,,,,
10043333,Antrec Limited,Contract for Services,"01 - Health, Public Service and Care
04 - Engineering and Manufacturing Technologies
05 - Construction, Planning and Built Environment
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
08 - Leisure, Travel and Tourism
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law",1300000,,https://www.antreclimited.com,,,,,
10032029,Aspire Education Academy Ltd,Contract for Services,"01 - Health, Public Service and Care
08 - Leisure, Travel and Tourism
13 - Education and Training",845791.39,,https://aspireeducationacademy.co.uk,,,,,
10000488,B-Skill Ltd,Contract for Services,"01 - Health, Public Service and Care
04 - Engineering and Manufacturing Technologies
05 - Construction, Planning and Built Environment
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
13 - Education and Training
14 - Preparation for Life and Work",544873,,https://b-skill.com,,,,,
10027644,Crosby Training,Contract for Services,"01 - Health, Public Service and Care
05 - Construction, Planning and Built Environment
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law",880000,,http://www.crosbytraining.com,,,,,
10046705,"Genesis Training Group
(Formerly known as Kickstart2employment Ltd)",Contract for Services,"01 - Health, Public Service and Care
04 - Engineering and Manufacturing Technologies
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law",1600000,Rotunda Ltd (10037556),https://genesis-jobs.co.uk/,,,,,
10002861,Halton Borough Council,Grant Funded,"01 - Health, Public Service and Care
04 - Engineering and Manufacturing Technologies
06 - Information and Communication Technology
13 - Education and Training
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law
Adult Community Learning (ACL)",624178,,https://www3.halton.gov.uk/Pages/Home.aspx,,,,,
10003193,Hugh Baird College,Grant Funded,"01 - Health, Public Service and Care
02 - Science and Mathematics 
03 - Agriculture, Horticulture and Animal Care
04 - Engineering and Manufacturing Technologies
05 - Construction, Planning and Built Environment
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
08 - Leisure, Travel and Tourism
09 - Arts, Media and Publishing
11 - Social Sciences
12 - Languages, Literature and Culture
13 - Education and Training
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law
Adult Community Learning (ACL)",2729983.2,,https://www.hughbaird.ac.uk/,,,,,
10045505,Innovative Alliance,Contract for Services,"01 - Health, Public Service and Care
05 - Construction, Planning and Built Environment
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law",903922.7704700001,System Group Ltd (10006472),https://innovativealliance.co.uk,,,,,
10003709,Knowsley Metropolitan Borough Council,Grant Funded,"01 - Health, Public Service and Care
02 - Science and Mathematics 
04 - Engineering and Manufacturing Technologies
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
09 - Arts, Media and Publishing
12 - Languages, Literature and Culture
13 - Education and Training
14 - Preparation for Life and Work
Adult Community Learning (ACL)",912266,,https://www.knowsley.gov.uk/,,,,,
10003954,Liverpool City Council,Grant Funded,"01 - Health, Public Service and Care
02 - Science and Mathematics 
03 - Agriculture, Horticulture and Animal Care
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
09 - Arts, Media and Publishing
12 - Languages, Literature and Culture
13 - Education and Training
14 - Preparation for Life and Work
Adult Community Learning (ACL)",4806744,"Alt Valley Community Trust (10001777)
Everton Development Trust (10020768)
Granby Toxteth Development Trust Ltd (10021506)
Liverpool Social Care Partnership (10031989)
Speke Training and Education Centre Ltd (10010855)",https://liverpool.gov.uk/,,,,,
10004406,Mode Training Ltd,Contract for Services,"01 - Health, Public Service and Care
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
09 - Arts, Media and Publishing
14 - Preparation for Life and Work",1173879.9000000001,Asset Training & Consultancy Ltd (10000427),https://www.modetraining.co.uk,,,,,
10004478,Myerscough College,Grant Funded,"01 - Health, Public Service and Care
02 - Science and Mathematics 
03 - Agriculture, Horticulture and Animal Care
04 - Engineering and Manufacturing Technologies
12 - Languages, Literature and Culture
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law",524156,,https://www.myerscough.ac.uk/,,,,,
10004720,North West Community Services,Contract for Services,"01 - Health, Public Service and Care
13 - Education and Training
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law",136948.15,,http://northwestcommunityservices.co.uk,,,,,
10034309,"Realise Learning and Employment Limited
(Formerly known as Interserve Learning)",Contract for Services,"01 - Health, Public Service and Care
05 - Construction, Planning and Built Environment
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
08 - Leisure, Travel and Tourism
13 - Education and Training
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law",713945.6699999999,"Clear Solutions Training Ltd (10045040)
The Square Metre Ltd (10046777)",https://learning-employment.com,,,,,
10005404,Reaseheath College,Contract for Services,"03 - Agriculture, Horticulture and Animal Care
05 - Construction, Planning and Built Environment",50000,,https://www.reaseheath.ac.uk/,,,,,
10002863,Riverside College,Grant Funded,"01 - Health, Public Service and Care
02 - Science and Mathematics 
03 - Agriculture, Horticulture and Animal Care
04 - Engineering and Manufacturing Technologies
05 - Construction, Planning and Built Environment
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
09 - Arts, Media and Publishing
11 - Social Sciences
12 - Languages, Literature and Culture
13 - Education and Training
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law
Adult Community Learning (ACL)",2195273,"Crosby Training (10027644)
Genesis Jobs Education and Training (10062265)
Power in Partnership Ltd (10035468)
Vikings Sport Foundation Ltd (10062808)",http://www.riversidecollege.ac.uk/,,,,,
10005735,Seetec Business Technology Centre Ltd,Contract for Services,"01 - Health, Public Service and Care
05 - Construction, Planning and Built Environment
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
08 - Leisure, Travel and Tourism
13 - Education and Training
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law",1104498.8,Bright Direction Training Ltd (10033710),https://www.seetec.co.uk,,,,,
10005738,Sefton Metropolitan Borough Council,Grant Funded,"01 - Health, Public Service and Care
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
13 - Education and Training
14 - Preparation for Life and Work
Adult Community Learning (ACL)",819724,,https://www.sefton.gov.uk/,,,,,
10006174,SK College,Grant Funded,"01 - Health, Public Service and Care
02 - Science and Mathematics 
03 - Agriculture, Horticulture and Animal Care
04 - Engineering and Manufacturing Technologies
05 - Construction, Planning and Built Environment
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
09 - Arts, Media and Publishing
11 - Social Sciences
12 - Languages, Literature and Culture
13 - Education and Training
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law
Adult Community Learning (ACL)",4286112.99549176,"Crosby Training (10027644)
Mantra Learning Ltd (10004181)
Merseyside Fire and Rescue Authority (10034301)
The Learning Foundry Ltd (10000201)
Training Strategies Ltd (10027873)","http://sthelens.ac.uk/
https://www.knowsleycollege.ac.uk/",,,,,
10007872,South West Regional Assessment Centre,Contract for Services,"04 - Engineering and Manufacturing Technologies
05 - Construction, Planning and Built Environment
07 - Retail and Commercial Enterprise
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law",929747.78263,,http://swrac.co.uk,,,,,
10006038,Southport College,Grant Funded,"01 - Health, Public Service and Care
02 - Science and Mathematics 
04 - Engineering and Manufacturing Technologies
05 - Construction, Planning and Built Environment
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
08 - Leisure, Travel and Tourism
09 - Arts, Media and Publishing
11 - Social Sciences
12 - Languages, Literature and Culture
13 - Education and Training
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law
Adult Community Learning (ACL)",1193581.19,,https://www.southport.ac.uk/,,,,,
10006173,St Helens Chamber,Contract for Services,"01 - Health, Public Service and Care
04 - Engineering and Manufacturing Technologies
05 - Construction, Planning and Built Environment
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
09 - Arts, Media and Publishing
12 - Languages, Literature and Culture
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law",574170.96,,https://www.sthelenschamber.com,,,,,
10006175,St Helens Metropolitan Borough Council,Grant Funded,"01 - Health, Public Service and Care
13 - Education and Training
14 - Preparation for Life and Work
Adult Community Learning (ACL)",475505.96,,https://www.sthelens.gov.uk/,,,,,
10013122,Sysco Business Skills Academy,Contract for Services,"01 - Health, Public Service and Care
06 - Information and Communication Technology
15 - Business, Administration, Finance and Law",1050000,,https://www.sysco.uk.com,,,,,
10003955,The City Of Liverpool College,Grant Funded,"01 - Health, Public Service and Care
02 - Science and Mathematics 
04 - Engineering and Manufacturing Technologies
05 - Construction, Planning and Built Environment
06 - Information and Communication Technology
07 - Retail and Commercial Enterprise
08 - Leisure, Travel and Tourism
09 - Arts, Media and Publishing
11 - Social Sciences
12 - Languages, Literature and Culture
13 - Education and Training
14 - Preparation for Life and Work
15 - Business, Administration, Finance and Law
Adult Community Learning (ACL)",9734659,"Back 2 Work Complete Training (10033156)
Code Nation (10043702)
Greenbank College (10002767)
North West Education and Training (10041486)
Training Strategies Ltd (10027873)",https://www.liv-coll.ac.uk/,,,,,
