Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,Liverpool City Region Combined Authority
,,,Adult Education Budget Allocations 2021/22
,,,National Skills Fund - Lifetime Skills Level 3
,,,As at February 2022
,,,Version 1.0
,,,
,,,
,,,
UKPRN,Name,"Total Contract Value
",Website Address
10043333,Antrec Limited,163000,https://www.antreclimited.com
10032029,Aspire Education Academy Ltd,172431,https://aspireeducationacademy.co.uk
10000488,B-Skill Ltd,19870,https://b-skill.com
10027644,Crosby Training,27785,http://www.crosbytraining.com
10046705,"Genesis Training Group
(Formerly known as Kickstart2employment Ltd)",74774.7,https://genesis-jobs.co.uk/
10003193,Hugh Baird College,254336.60466457624,https://www.hughbaird.ac.uk/
10045505,Innovative Alliance,74702.22,https://innovativealliance.co.uk
10004406,Mode Training Ltd,131464.33,https://www.modetraining.co.uk
10004720,North West Community Services,63001.58,http://northwestcommunityservices.co.uk
10034309,Realise Learning & Employment,224194.23,https://learning-employment.com
10002863,Riverside College,158976.3,http://www.riversidecollege.ac.uk/
10005735,Seetec Business Technology Centre Ltd,90277.73,https://www.seetec.co.uk
10006174,SK College,147685.3,"http://sthelens.ac.uk/
https://www.knowsleycollege.ac.uk/"
10006038,Southport College,217098.35,https://www.southport.ac.uk/
10006173,St Helens Chamber,69504.4,https://www.sthelenschamber.com
10013122,Sysco Business Skills Academy,302785,https://www.sysco.uk.com
10003955,The City Of Liverpool College,504829.63,https://www.liv-coll.ac.uk/
10057616,Three Dimensional Training,57550.22,https://www.3dtraining.uk.com
10042819,Vocational Skills Solutions,252000,http://www.vocationalsolutions.co.uk
10007339,Warrington & Vale Royal College,65350.25,https://www.wvr.ac.uk
10007553,Wirral Metropolitan College,365822.69,https://www.wmc.ac.uk/
10007594,Womens Technology Training Ltd,49637.22,https://www.blackburnehouse.co.uk
10007364,Workers Educational Association,83947.5,https://www.wea.org.uk
