EquipmentLubricationOilInjectionCycleTable-EquipmentNumberorName,EquipmentLubricationOilInjectionCycleTable-LubricationPointName,EquipmentLubricationOilInjectionCycleTable-Numberofoilingpoints,EquipmentLubricationOilInjectionCycleTable-LubricatingOilGrade,EquipmentLubricationOilInjectionCycleTable-LubricationCycle,EquipmentLubricationOilInjectionCycleTable-OilChangeCycle,EquipmentLubricationOilInjectionCycleTable-Usage,EquipmentLubricationOilInjectionCycleTable-Notes
Equipment Number or Name,Lubrication Point Name,(pieces/unit),Lubricating Oil Grade,Lubrication Cycle,Oil Change Cycle,Usage,Notes
"Lathe: CA6136, CD6140A, J1C6132, CD6263",oil cup,17,46# Machine Oil,Once per shift,,,Check the oil level at any time and add oil in time.
"Lathe: CA6136, CD6140A, J1C6132, CD6263",Oil tank,1,15# or 32# Machine Oil,,6 months,12L,
"Lathe: CA6136, CD6140A, J1C6132, CD6263",Gear train,1,2# Lithium-based Grease,Once a week,,,
Shearing Machine: QB11-8×2000,Upper Tool Post,2,N22 or N32 machine oil,1 month,,,Check the oil level at any time and add oil in time.
Shearing Machine: QB11-8×2000,Connecting rod,2,3# Calcium-based Grease,1 month,,,Check the oil level at any time and add oil in time.
Shearing Machine: QB11-8×2000,Connecting Rod Connecting Pin,2,N22 or N32 machine oil,1 month,,,Check the oil level at any time and add oil in time.
Shearing Machine: QB11-8×2000,Spindle,2,N22 or N33 Machine Oil,1 month,,,Check the oil level at any time and add oil in time.
Shearing Machine: QB11-8×2000,Clutch,1,3# Calcium-based Grease,1 month,,,Check the oil level at any time and add oil in time.
Shaper: B6085,Oil tank,1,N46# Machine Oil,,6 months,10L,
Shaper: B6085,"Motor bearings, various rolling bearings",26,2# Calcium Grease,,12 months,,Check the oil level at any time and add oil in time.
Milling Machine: X6232CX16,Oil tank,2,40# Machine Oil,,6 months,,Check the oil level at any time and add oil in time.
Milling Machine: X6232CX16,"Elevating Table, Worktable Oil Sump",2,30# Machine Oil,2 days,,,
Milling Machine: X6232CX16,Vertical Spindle Axis,1,3# Lithium-based Grease,1 month,,,Check the oil level at any time and add oil in time.
Milling Machine: X6232CX16,Lifting Trapezoidal Lead Screw,1,3# Lithium-based Grease,2 months,,,
