"MonthlyReportonEngineeringQualityStatus-ReportingUnit:GuangxiJiaxunPipelineEngineeringCo.,Ltd.-EngineeringProjectName-UnitProjectName",MonthlyReportonEngineeringQualityStatus-Sub-projectName-Sub-projectName,MonthlyReportonEngineeringQualityStatus-Sub-projectName-Sub-projectName.1,MonthlyReportonEngineeringQualityStatus-Maininspectionitems-Maininspectionitems,MonthlyReportonEngineeringQualityStatus-InspectionRatio%-InspectionRatio%,MonthlyReportonEngineeringQualityStatus-InspectionRatio%-InspectionRatio%.1,MonthlyReportonEngineeringQualityStatus-RecordTime:-Numberofinspections-(Unit),MonthlyReportonEngineeringQualityStatus-RecordTime:-Numberofinspections-(Unit).1,MonthlyReportonEngineeringQualityStatus-RecordTime:-Qualifiedquantity-(Unit),MonthlyReportonEngineeringQualityStatus-2011.6.1-Qualifiedquantity-(Unit),MonthlyReportonEngineeringQualityStatus-2011.6.1-First-timepassrate%-First-timepassrate%,MonthlyReportonEngineeringQualityStatus-2011.6.1-FinalPassRate%-FinalPassRate%,MonthlyReportonEngineeringQualityStatus-FinalPassRate%-FinalPassRate%,MonthlyReportonEngineeringQualityStatus-MonthlyQualityTrendsandMajorQualityIssues-MonthlyQualityTrendsandMajorQualityIssues,MonthlyReportonEngineeringQualityStatus-MonthlyQualityTrendsandMajorQualityIssues-MonthlyQualityTrendsandMajorQualityIssues.1,MonthlyReportonEngineeringQualityStatus-MonthlyQualityTrendsandMajorQualityIssues-MonthlyQualityTrendsandMajorQualityIssues.2
"1. Siyuan South Road:  
Pipeline crossing welding DN200-120m  
2. Wuhua Avenue:  
Excavation backfill DN200-2620m  
Pipeline crossing welding DN200-140m  
Excavation pipeline welding DN200-2970m",Pipeline Engineering,Pipeline Engineering,Trench Excavation,100,100 ,2620,2620 ,2600,2600 ,,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
"1. Siyuan South Road:  
Pipeline crossing welding DN200-120m  
2. Wuhua Avenue:  
Excavation backfill DN200-2620m  
Pipeline crossing welding DN200-140m  
Excavation pipeline welding DN200-2970m",Pipeline Engineering,Pipeline Engineering,Pipeline Welding,100,100 ,3230,3230 ,3230,3230 ,,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
"1. Siyuan South Road:  
Pipeline crossing welding DN200-120m  
2. Wuhua Avenue:  
Excavation backfill DN200-2620m  
Pipeline crossing welding DN200-140m  
Excavation pipeline welding DN200-2970m",Pipeline Engineering,Pipeline Engineering,Pipe Splicing and Repair,,,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
"1. Siyuan South Road:  
Pipeline crossing welding DN200-120m  
2. Wuhua Avenue:  
Excavation backfill DN200-2620m  
Pipeline crossing welding DN200-140m  
Excavation pipeline welding DN200-2970m",Pipeline Engineering,Pipeline Engineering,Pipe trench backfilling,100,100 ,2620,2620 ,2620,2620 ,,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
"1. Siyuan South Road:  
Pipeline crossing welding DN200-120m  
2. Wuhua Avenue:  
Excavation backfill DN200-2620m  
Pipeline crossing welding DN200-140m  
Excavation pipeline welding DN200-2970m",Pipeline Engineering,Pipeline Engineering,"Pigging, blowing, and pressure testing",100,100 ,140,140 ,140,140 ,,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Crossing Project,Crossing Project,Pipeline Welding,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Crossing Project,Crossing Project,Pipe Splicing and Repair,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Crossing Project,Crossing Project,Pipeline crossing in place,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Crossing Project,Crossing Project,"Pipeline pigging, purging, pressure testing",100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Cathodic Protection Engineering,Cathodic Protection Engineering,Impressed Current Cathodic Protection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
