"MonthlyReportonEngineeringQualityStatus-ReportingUnit:ChongqingXiushanLongyangConstructionCo.,Ltd.-EngineeringProjectName-UnitProjectName",MonthlyReportonEngineeringQualityStatus-Sub-projectName-Sub-projectName,MonthlyReportonEngineeringQualityStatus-Sub-projectName-Sub-projectName.1,MonthlyReportonEngineeringQualityStatus-Maininspectionitems-Maininspectionitems,MonthlyReportonEngineeringQualityStatus-InspectionRatio%-InspectionRatio%,MonthlyReportonEngineeringQualityStatus-InspectionRatio%-InspectionRatio%.1,MonthlyReportonEngineeringQualityStatus-RecordTime:-Numberofinspections,MonthlyReportonEngineeringQualityStatus-RecordTime:-Numberofinspections.1,MonthlyReportonEngineeringQualityStatus-RecordTime:-Qualifiedquantity,MonthlyReportonEngineeringQualityStatus-2012.6.30-Qualifiedquantity,MonthlyReportonEngineeringQualityStatus-2012.6.30-First-timepassrate%-First-timepassrate%,MonthlyReportonEngineeringQualityStatus-2012.6.30-FinalPassRate%-FinalPassRate%,MonthlyReportonEngineeringQualityStatus-FinalPassRate%-FinalPassRate%,MonthlyReportonEngineeringQualityStatus-MonthlyQualityTrendsandMajorQualityIssues-MonthlyQualityTrendsandMajorQualityIssues,MonthlyReportonEngineeringQualityStatus-MonthlyQualityTrendsandMajorQualityIssues-MonthlyQualityTrendsandMajorQualityIssues.1,MonthlyReportonEngineeringQualityStatus-MonthlyQualityTrendsandMajorQualityIssues-MonthlyQualityTrendsandMajorQualityIssues.2
"Chongqing Xiushan Industrial Park 200,000 Square Meter Standard Workshop Building",3# Building Supporting Warehouse 2 Foundation Bored Pile Project,3# Building Supporting Warehouse 2 Foundation Bored Pile Project,Positioning Pile Re-line,100,100 ,95,95 ,95,95 ,100.0,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
"Chongqing Xiushan Industrial Park 200,000 Square Meter Standard Workshop Building",3# Building Supporting Warehouse 2 Foundation Bored Pile Project,3# Building Supporting Warehouse 2 Foundation Bored Pile Project,Pile shaft reinforcement,100,100 ,95,95 ,95,95 ,100.0,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
"Chongqing Xiushan Industrial Park 200,000 Square Meter Standard Workshop Building",3# Building Supporting Warehouse 2 Foundation Bored Pile Project,3# Building Supporting Warehouse 2 Foundation Bored Pile Project,Wall protection quality,100,100 ,95,95 ,93,93 ,97.0,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
"Chongqing Xiushan Industrial Park 200,000 Square Meter Standard Workshop Building",3# Building Supporting Warehouse 2 Foundation Bored Pile Project,3# Building Supporting Warehouse 2 Foundation Bored Pile Project,Embedded rock,100,100 ,95,95 ,90,90 ,94.0,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
"Chongqing Xiushan Industrial Park 200,000 Square Meter Standard Workshop Building",3# Building Supporting Warehouse 2 Foundation Bored Pile Project,3# Building Supporting Warehouse 2 Foundation Bored Pile Project,Core sampling,100,100 ,95,95 ,95,95 ,100.0,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Crossing Project,Crossing Project,Pipeline Welding,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Crossing Project,Crossing Project,Pipe Splicing and Repair,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Crossing Project,Crossing Project,Pipeline crossing in place,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Crossing Project,Crossing Project,"Pipeline pigging, purging, pressure testing",100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Cathodic Protection Engineering,Cathodic Protection Engineering,Impressed Current Cathodic Protection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Sacrificial Anode Cathodic Protection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Station and Valve Room Engineering,Station and Valve Room Engineering,Trench Excavation,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Pipeline Installation,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Pipeline Welding,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Pipe Splicing and Repair,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Pipe trench backfilling,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Valve chamber installation and waterproofing,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Buildings with a construction area less than 60 m²,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Construction Engineering,Construction Engineering,Earthwork Engineering,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Foundation Engineering,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Cast-in-place Reinforced Concrete Main Structure Project,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Masonry Work,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Indoor preliminary decoration project,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Window and Door Engineering,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
