2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable.1,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable.2,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-KnowledgeContent-Mandatory1-Mandatory1,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-KnowledgeContent-MandatoryCourse2-MandatoryCourse2,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-KnowledgeContent-Elective3-1-Elective3-1,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-KnowledgeContent-Elective3-2-Elective3-2,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-KnowledgeContent-Elective3-3-Elective3-3,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-KnowledgeContent-Elective3-4-Elective3-4,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-KnowledgeContent-Elective3-5-Elective3-5,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-KnowledgeContent,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-KnowledgeContent.1,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-AbilityRequirements,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-AbilityRequirements.1,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-AbilityRequirements.2,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-AbilityRequirements.3,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-DifficultyRequirement-DifficultyRequirement-DifficultyRequirement,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-AbilityRequirements-UnderstandingAbility-UnderstandingAbility,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-AbilityRequirements-ReasoningAbility-ReasoningAbility,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-AbilityRequirements-AnalysisComprehensive-AnalysisComprehensive,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-AbilityRequirements-MathematicalApplication-MathematicalApplication,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-AbilityRequirements-Experiment-Experiment,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-DifficultyRequirements-Prediction-Prediction,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceIPaper-Two-waySpecificationTable-DifficultyRequirements-Statistics(Jiangxi)-Statistics(Jiangxi)
Multiple Choice Questions,14,6,,,,"An experimental idea for ""electricity generated from magnetism""",,,,,,,,,,,√,,,,,Easy,1.0
Multiple Choice Questions,15,6,,,Ampere force experienced by a straight current-carrying wire in a uniform magnetic field,,,,,,,,,,,,√,,,,,Easy,1.0
Multiple Choice Questions,16,6,,,Motion of Charged Particles in a Uniform Magnetic Field,,,,,,,,,,,,,√,,,,Mid,1.0
Multiple Choice Questions,17,6,Equilibrium and Accelerated Motion under the Influence of a Rubber Band,,,,,,,,,,,,,,,√,,,,Mid,0.0
Multiple Choice Questions,18,6,,,,"Faraday's Law of Electromagnetic Induction, i-t Graph",,,,,,,,,,,√,,,,,Moderate to easy,0.0
Multiple Choice Questions,19,6,,"Kepler's Third Law, Planetary Opposition",,,,,,,,,,,,,,√,,,,Difficult,0.0
Multiple Choice Questions,20,6,,Uniform rotation of the block on the platform,,,,,,,,,,,,,,√,,,,Mid,1.0
Multiple Choice Questions,21,6,,,"Electric field of a point charge,  
Equipotential surfaces, Work done by electric field force",,,,,,,,,,,,,,√,,,Difficult,0.0
Experimental Questions,22,6,"Study the relationship between the cart's acceleration  
and the mass of the hanging weight",,,,,,,,,,,,,,,,,,√,Easy,1.0
Experimental Questions,23,9,,,Measure the electromotive force and internal resistance of a power supply,,,,,,,,,,,,,,,,√,Mid,0.0
"Calculation  
Problem",24,13,"Maximum safe travel distance and maximum speed  
(The coefficient of kinetic friction differs between sunny and rainy days)",,,,,,,,,,,,,,,,√,,,Easy,1.0
"Calculation  
Problem",25,19,,,Motion of a charged small ball in the composite field of gravitational and electric fields,,,,,,,,,,,,,,√,√,,Difficult,0.0
"Optional 
Exam 
Questions",33（1）,6,,,,,"P-T diagram of ideal gas state changes, First Law of Thermodynamics, Pressure",,,,,,,,,,√,,,,,Easy,0.0
"Optional 
Exam 
Questions",33（2）,9,,,,,"Boyle's Law,  
Gay-Lussac's Law, Piston Equilibrium",,,,,,,,,,,,√,,,Difficult,0.0
"Optional 
Exam 
Questions",34（1）,6,,,,,,"Wave image, vibration image",,,,,,,,,√,,,,,Easy,0.0
"Optional 
Exam 
Questions",34（2）,9,,,,,,"Refraction of light, total internal reflection, reversibility of light path",,,,,,,,,,,√,√,,Mid,1.0
"Optional 
Exam 
Questions",35（1）,6,,,,,,,Natural Radioactivity,,,,,,,,√,,,,,Easy,1.0
"Optional 
Exam 
Questions",35（2）,9,,,,,,,"Free fall motion, Law of conservation of momentum",,,,,,,,,,√,,,Mid,0.0
Total,,110 points,25,12,46,12,15,15,15,15 ,15 ,,,,,,,,,,,,
