2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable.1,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable.2,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-KnowledgeContent-Mandatory1-Mandatory1,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-KnowledgeContent-MandatoryCourse2-MandatoryCourse2,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-KnowledgeContent-Elective3-1-Elective3-1,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-KnowledgeContent-Elective3-2-Elective3-2,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-KnowledgeContent-Elective3-3-Elective3-3,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-KnowledgeContent-Elective3-4-Elective3-4,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-KnowledgeContent-Elective3-5-Elective3-5,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-KnowledgeContent,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-KnowledgeContent.1,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-AbilityRequirements,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-AbilityRequirements.1,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-AbilityRequirements.2,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-AbilityRequirements.3,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-DifficultyRequirement-DifficultyRequirement-DifficultyRequirement,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-DifficultyRequirements-UnderstandingAbility-UnderstandingAbility,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-DifficultyRequirements-ReasoningAbility-ReasoningAbility,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-DifficultyRequirements-AnalysisComprehensive-AnalysisComprehensive,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-DifficultyRequirements-MathematicalApplication-MathematicalApplication,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-DifficultyRequirements-Experiment-Experiment,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-DifficultyRequirements-Prediction-Prediction,2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-2014NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestPaperII-Two-waySpecificationTable-DifficultyRequirements-Statistics-Statistics
Multiple Choice Questions,14,6,"The v-t graph of two objects, A and B, moving in the same direction along a straight line.",,,,,,,,,,,,,,√,,,,,Easy,
Multiple Choice Questions,15,6,,Projectile Motion,,,,,,,,,,,,,√,,,,,Easy,
Multiple Choice Questions,16,6,,"Force and motion, work, work-energy theorem",,,,,,,,,,,,,,,√,,,Mid,
Multiple Choice Questions,17,6,,"Mechanical energy conservation, centripetal force, object equilibrium",,,,,,,,,,,,,,,√,,,Easy,
Multiple Choice Questions,18,6,,Application of the Law of Universal Gravitation,,,,,,,,,,,,,,√,,,,Mid,
Multiple Choice Questions,19,6,,,The relationship between electric field strength and electric potential in an electrostatic field,,,,,,,,,,,,√,,,,,Easy,
Multiple Choice Questions,20,6,,,Motion of Charged Particles in a Uniform Magnetic Field,,,,,,,,,,,,,√,√,,,Mid,
Multiple Choice Questions,21,6,,,,Ideal Transformer (Secondary Winding Contains Diode),,,,,,,,,,,,√,,,,Difficult,
"Experiment  
Question",22,6,,,"Volt-Ampere Method for Measuring Resistance  
(Comparison of Internal and External Connections)",,,,,,,,,,,,,,,,√,Easy,
"Experiment  
Question",23,9,Investigating the relationship between the spring constant and its length (number of coils),,,,,,,,,,,,,,,,,,√,Difficult,
"Calculation  
Problem",24,13,Vertical linear motion (with and without resistance),,,,,,,,,,,,,,,,√,√,,Easy,
"Calculation  
Problem",25,19,,,,A straight conductor rotating uniformly on a circular track cutting magnetic field lines,,,,,,,,,,,,,√,√,,Difficult,
"Optional 
Exam 
Questions",33（1）,5,,,,,"Brownian motion, surface tension, liquid crystal, boiling point, dry and wet bulb thermometer",,,,,,,,,,√,,,,,Easy,
"Optional 
Exam 
Questions",33（2）,10,,,,,"Boyle's Law,  
Gay-Lussac's Law",,,,,,,,,,,,√,,,Difficult,
"Optional 
Exam 
Questions",34（1）,5,,,,,,"Wave image, vibration image",,,,,,,,,√,,,,,Easy,
"Optional 
Exam 
Questions",34（2）,10,,,,,,"Refraction of Light, Total Internal Reflection",,,,,,,,,,,√,√,,Mid,
"Optional 
Exam 
Questions",35（1）,5,,,,,,,Physics history in atoms and atomic nuclei,,,,,,,,√,,,,,Easy,
"Optional 
Exam 
Questions",35（2）,10,,,,,,,Verify the Law of Conservation of Momentum,,,,,,,,,,,,√,Mid,
Total,,110 points,28,24,18,25,15,15,15,,,,,,,,,,,,,,
"Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.",
