2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable.1,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable.2,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-KnowledgeContent-Mandatory1-Mandatory1,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-KnowledgeContent-MandatoryCourse2-MandatoryCourse2,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-KnowledgeContent-Elective3-1-Elective3-1,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-KnowledgeContent-Elective3-2-Elective3-2,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-KnowledgeContent-Elective3-3-Elective3-3,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-KnowledgeContent-Elective3-4-Elective3-4,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-KnowledgeContent-Elective3-5-Elective3-5,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-KnowledgeContent,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-KnowledgeContent.1,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-AbilityRequirements,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-AbilityRequirements.1,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-AbilityRequirements.2,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-AbilityRequirements.3,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-DifficultyRequirement-DifficultyRequirement-DifficultyRequirement,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-AbilityRequirements-UnderstandingAbility-UnderstandingAbility,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-AbilityRequirements-ReasoningAbility-ReasoningAbility,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-AbilityRequirements-AnalysisComprehensive-AnalysisComprehensive,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-AbilityRequirements-MathematicalApplication-MathematicalApplication,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-AbilityRequirements-Experiment-Experiment,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-DifficultyRequirements-Prediction-Prediction,2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-2013NationalCollegeEntranceExaminationPhysicsSectionoftheComprehensiveScienceTestI-Two-waySpecificationTable-DifficultyRequirements-Statistics-Statistics
Multiple Choice Questions,14,6,Galileo's Inclined Plane Experiment Data Analysis,,,,,,,,,,,,,,√,,,,,Easy,
Multiple Choice Questions,15,6,,,Electric Field Strength,,,,,,,,,,,,,√,,,,Easy,
Multiple Choice Questions,16,6,,,Motion of Charged Particles Between Charged Parallel Plates,,,,,,,,,,,,,√,,,,Mid,
Multiple Choice Questions,17,6,,,,Electromagnetic Induction,,,,,,,,,,,,√,,,,Mid,
Multiple Choice Questions,18,6,,,Motion of Charged Particles in a Uniform Magnetic Field,,,,,,,,,,,,√,,,,,Moderate to easy,
Multiple Choice Questions,19,6,"Position-Time
Graph",,,,,,,,,,,,,,√,,,,,Mid,
Multiple Choice Questions,20,6,,Celestial motion,,,,,,,,,,,,,,√,,,,Mid,
Multiple Choice Questions,21,6,,"v-t graph,  
application of Newton's laws,  
power",,,,,,,,,,,,,,,√,,,Difficult,
Experimental Questions,22,7,Measure the coefficient of kinetic friction between the wooden block and the horizontal plane,,,,,,,,,,,,,,,,,,√,Easy,
Experimental Questions,23,8,,,Measure the electromotive force and internal resistance of the battery inside the multimeter,,,,,,,,,,,,,,,,√,Mid,
"Calculation  
Problem",24,13,Synthesis and Decomposition of Linear Motion,,,,,,,,,,,,,,,,√,√,,Mid,
"Calculation  
Problem",25,19,,,,"Electromagnetic induction law, Ampere force, Newton's second law",,,,,,,,,,,,,√,√,,Difficult,
"Optional 
Exam 
Questions",33（1）,6,,,,,"Molecular force, work done by molecular force, molecular kinetic energy, and molecular potential energy",,,,,,,,,,√,,,,,Easy,
"Optional 
Exam 
Questions",33（2）,9,,,,,"Gay-Lussac's Law, Boyle's Law",,,,,,,,,,,,√,,,Difficult,
"Optional 
Exam 
Questions",34（1）,6,,,,,,"Mechanical waves, particle vibration",,,,,,,,,√,,,,,Easy,
"Optional 
Exam 
Questions",34（2）,9,,,,,,"Refraction of Light, Total Internal Reflection",,,,,,,,,,,√,√,,Mid,
"Optional 
Exam 
Questions",35（1）,6,,,,,,,Nuclear reaction equation,,,,,,,,√,,,,,Easy,
"Optional 
Exam 
Questions",35（2）,9,,,,,,,"Law of Conservation of Momentum, Uniformly Accelerated Linear Motion",,,,,,,,,,√,,,Mid,
Total,,110 points,32,12,26,25,15,15,15,15 ,15 ,,,,,,,,,,,,
"Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.","Note: A difficulty coefficient above 0.8 is considered easy, between 0.5 and 0.8 is considered medium, between 0.3 and 0.5 is considered difficult, and below 0.3 is considered very difficult.",
