2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable.1,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable.2,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-KnowledgeContent-Mandatory1,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-KnowledgeContent-MandatoryCourse2,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-KnowledgeContent-Elective3-1,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-KnowledgeContent-Elective3-2,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-KnowledgeContent-Elective3-3,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-KnowledgeContent-Elective3-4,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-KnowledgeContent-Elective3-5,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-KnowledgeContent,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-KnowledgeContent.1,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-AbilityRequirements,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-AbilityRequirements.1,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-AbilityRequirements.2,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-AbilityRequirements.3,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-DifficultyRequirement-DifficultyRequirement,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-AbilityRequirements-UnderstandingAbility,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-AbilityRequirements-ReasoningAbility,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-AbilityRequirements-AnalysisComprehensive,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-AbilityRequirements-MathematicalApplication,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-AbilityRequirements-Experiment,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-DifficultyRequirements-Prediction,2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-2012NationalCollegeEntranceExaminationComprehensiveSciencePaperPhysicsSectionTwo-waySpecificationTable-DifficultyRequirements-Statistics
,,,Mandatory 1,Mandatory Course 2,Elective 3-1,Elective 3-2,Elective 3-3,Elective 3-4,Elective 3-5,,,,,,,"Difficulty
Requirement","Understanding  
Ability","Reasoning  
Ability","Analysis  
Comprehensive","Mathematical
Application",Experiment,Prediction,Statistics
Multiple Choice Questions,14,6,"Galileo  
Inclined Plane  
Experiment, Inertia",,,,,,,,,,,,,,√,,,,,Easy,
Multiple Choice Questions,15,6,,Projectile Motion,,,,,,,,,,,,,√,√,,,,Easy,
Multiple Choice Questions,16,6,Equilibrium of Concurrent Forces,,,,,,,,,,,,,,√,,,,,Easy,
Multiple Choice Questions,17,6,,,,Ideal Transformer,,,,,,,,,,,√,,,,,Easy,
Multiple Choice Questions,18,6,,,"Charged particles  
Motion in a uniform electric field",,,,,,,,,,,,√,,,,,Mid,
Multiple Choice Questions,19,6,,,,Faraday's Electromagnetic Induction Law,,,,,,,,,,,√,,√,,,Difficult,
Multiple Choice Questions,20,6,,,Ampere force,Lenz's Law,,,,,,,,,,,,,√,,,Difficult,
Multiple Choice Questions,21,6,,Law of Universal Gravitation,,,,,,,,,,,,,,√,,,,Mid,
Experimental Questions,22,5,,,Reading of the Screw Micrometer,,,,,,,,,,,,,,,,√,Easy,
Experimental Questions,23,10,,,Measure the magnitude of magnetic induction intensity of the magnetic field,,,,,,,,,,,,,,,,√,Mid,
"Calculation  
Problem",24,13,Equilibrium of Concurrent Forces,,,,,,,,,,,,,,√,,,√,,Mid,
"Calculation  
Problem",25,19,,,Motion of charged particles in uniform magnetic fields and uniform electric fields,,,,,,,,,,,,,,√,√,,Difficult,
"Optional 
Exam 
Questions",33（1）,6,,,,,Thermodynamic Laws,,,,,,,,,,√,,,,,Easy,
"Optional 
Exam 
Questions",33（2）,9,,,,,"Gas Experiment
Laws",,,,,,,,,,,,√,,,Difficult,
"Optional 
Exam 
Questions",34（1）,6,,,,,,"Wave image, vibration image",,,,,,,,,√,,,,,Easy,
"Optional 
Exam 
Questions",34（2）,9,,,,,,Total internal reflection,,,,,,,,,,,√,,,Difficult,
"Optional 
Exam 
Questions",35（1）,6,,,,,,,"Nuclear reaction equations, binding energy",,,,,,,,√,,,,,Easy,
"Optional 
Exam 
Questions",35（2）,9,,,,,,,Inelastic collision,,,,,,,,,,√,,,Difficult,
Total,,110 points,25,12,46,18,15,15,15,15 ,15 ,,,,,,,,,,,,
