No.,Type,Title,Link,Source
1.0,Course,Business Communication,https://lumenlearning.com/courses/business-communication-skills-for-managers/,Lumen
,,,"https://opentextbc.ca/oerdiscipline/chapter/business-general/

https://biz.libretexts.org/Courses/Lumen_Learning/Book%3A_Business_Communication_Skills_for_Managers_(Lumen)",OER by Discipline Directory 
2.0,Course,CUST104: Business Communications,https://learn.saylor.org/course/view.php?id=345,Saylor Academy
3.0,Course,BUS210: Corporate Communication,https://learn.saylor.org/course/view.php?id=110,Saylor Academy
4.0,Course,COMM001: Principles of Human Communication,https://learn.saylor.org/course/view.php?id=5,Saylor Academy
5.0,Course,CMST101 - Intro to Communication,http://opencourselibrary.org/cmst-101-intro-to-communication/,Open Course Library
6.0,Course,PRDV212: Interpersonal Communication,https://learn.saylor.org/course/view.php?id=399,Saylor Academy
7.0,Course,PRDV213: Group Communication,https://learn.saylor.org/course/view.php?id=397,Saylor Academy
8.0,Course,CMST210 - Interpersonal Communication,http://opencourselibrary.org/cmst-210-interpersonal-communication/,Open Course Library
9.0,Course,CMST230 - Small Group Communication,http://opencourselibrary.org/cmst-230-small-group-communication/,Open Course Library
10.0,Ancillary  ,Unit 6 - Research and Business Communication Skill,https://openlibrary.ecampusontario.ca/catalogue/item/?id=57891e43-d7c5-468a-a96b-75b3cd4a2d30,eCampus Ontario's Open Library
11.0,Course,STEM Foundations (Workplace Communication),"https://opentextbc.ca/oerdiscipline/chapter/communications/

https://oli.cmu.edu/courses/stem-foundations-open-free/",OER by Discipline Directory
12.0,Course,Business Communication Skills for Managers (Lumen),"https://opentextbc.ca/oerdiscipline/chapter/business-general/

https://biz.libretexts.org/",OER by Discipline Directory
,,,https://open.umn.edu/opentextbooks/textbooks/business-english-for-success,Open Textbook Library
13.0,Course,PRSM107: Crisis Communication,https://learn.saylor.org/course/view.php?id=22,Saylor Academy
14.0,Ancillary Resource,WISC-Online Communication Learning Objects,"https://opentextbc.ca/oerdiscipline/chapter/communications/

https://www.wisc-online.com/learn/humanities/communication",OER by Discipline Directory
15.0,Course,Technical Writing,https://lumenlearning.com/courses/technical-writing/,Lumen
16.0,Course,ENGL235 - Technical Writing,http://opencourselibrary.org/engl-235-technical-writing/,Open Course Library
17.0,Course,ENGL201: Technical Writing,https://learn.saylor.org/course/view.php?id=368,Saylor Academy
18.0,Course,COMM101: Public Speaking,https://learn.saylor.org/course/view.php?id=19,Saylor Academy
19.0,Course,CMST220 - Public Speaking,http://opencourselibrary.org/cmst-220-public-speaking/,Open Course Library
20.0,Course,COMM411: Public Relations,https://learn.saylor.org/course/view.php?id=20,Saylor Academy
21.0,Course,SALES103: Public Speaking for Sales,https://learn.saylor.org/course/view.php?id=15,Saylor Academy
22.0,Ancillary,Public Speaking with an Interpreter,"https://opentextbc.ca/oerdiscipline/chapter/presentations/

https://open.ed.ac.uk/public-speaking-with-an-interpreter/",OER by Discipline Directory
23.0,Ancillary ,The Public Speaking Project,"https://opentextbc.ca/oerdiscipline/chapter/presentations/

https://web.archive.org/web/20170913234701/http://publicspeakingproject.org/",OER by Discipline Directory
24.0,Course,CMST102 - Intro to Mass Media,http://opencourselibrary.org/cmst-102-intro-to-mass-media/,Open Course Library
