No.,Type,Title,Link,Source
1.0,Course,Introduction to Business,https://lumenlearning.com/courses/introduction-to-business/,Lumen
,,,"https://opentextbc.ca/oerdiscipline/chapter/business-general/

https://biz.libretexts.org/Bookshelves/Business/Book%3A_Introduction_to_Business_(Lumen)",OER by Discipline Directory
2.0,Course,Management,https://lumenlearning.com/courses/principles-of-management/,Lumen
,,,"https://opentextbc.ca/oerdiscipline/chapter/business-general/

https://biz.libretexts.org/Courses/Lumen_Learning/Book%3A_Principles_of_Management_(Lumen)",OER by Discipline Directory
3.0,Course,BUS101: Introduction to Business,https://learn.saylor.org/course/view.php?id=3,Saylor Academy
4.0,Course,BUS208: Principles of Management, https://learn.saylor.org/course/bus208,Saylor Academy
5.0,Course,BUS300: Operations Management,https://learn.saylor.org/course/bus300,Saylor Academy
6.0,Course,BUS206: Management Information Systems,https://learn.saylor.org/course/view.php?id=41,Saylor Academy
7.0,Course,PRDV221: Introduction to Management,https://learn.saylor.org/course/view.php?id=425,Saylor Academy
8.0,Course,PRDV222: Management: Historical Development and Globalization,https://learn.saylor.org/course/view.php?id=419,Saylor Academy
9.0,Course,BUS101 - Introduction to Business,http://opencourselibrary.org/bus-101-introduction-to-business/,Open Course Library
10.0,Course,BUS501: Strategic Management,https://learn.saylor.org/course/view.php?id=54,Saylor Academy
11.0,Ancillary Resource - Journals,Journal of Business Case Studies,"https://opentextbc.ca/oerdiscipline/chapter/business-general/

https://clutejournals.com/index.php/JBCS",OER by Discipline Directory
12.0,Course,"PRDV229: Organization Structure, Change and the Future of Management",https://learn.saylor.org/course/view.php?id=423,Saylor Academy
13.0,Ancillary,MIT Management Sloan School: LearningEdge,"https://opentextbc.ca/oerdiscipline/chapter/management/

https://mitsloan.mit.edu/LearningEdge/Pages/Case-Studies.aspx",OER by Discipline Directory
14.0,Course,OpenLearn: Money and Business,"https://opentextbc.ca/oerdiscipline/chapter/business-general/

https://www.open.edu/openlearn/money-management",OER by Discipline Directory
15.0,Ancillary,Apache OpenOffice Draw,"https://opentextbc.ca/oerdiscipline/chapter/business-general/

http://www.openoffice.org/product/draw.html",OER by Discipline Directory
16.0,Course,Introduction to Business (Lumen),"https://opentextbc.ca/oerdiscipline/chapter/business-general/

https://biz.libretexts.org/",OER by Discipline Directory
17.0,Course,PRDV304: Introduction to Supply Chain Management,https://learn.saylor.org/course/view.php?id=434,Saylor Academy
18.0,Course,BUS305: Small Business Management,https://learn.saylor.org/course/view.php?id=78,Saylor Academy
19.0,Course,BUS402: Project Management,https://learn.saylor.org/course/view.php?id=69,Saylor Academy
20.0,Course,Retail Management,https://lumenlearning.com/courses/retail-management/,Lumen
21.0,Course,PRDV226: Introduction to Human Resource Management,https://learn.saylor.org/course/view.php?id=421,Saylor Academy
22.0,Course,BUS301: Human Resource Management,https://learn.saylor.org/course/view.php?id=85,Saylor Academy
23.0,Course,PRDV227: Introduction to Business Planning and Strategy,https://learn.saylor.org/course/view.php?id=422,Saylor Academy
24.0,Course,PRDV228: Managing Employees,https://learn.saylor.org/course/view.php?id=420,Saylor Academy
25.0,Course,BUS103: Introduction to Financial Accounting,https://learn.saylor.org/course/view.php?id=52,Saylor Academy
26.0,Course,BUS204: Business Statistics,https://learn.saylor.org/course/view.php?id=109,Saylor Academy
27.0,Course,BUS205: Business Law,https://learn.saylor.org/course/view.php?id=89,Saylor Academy
28.0,Course,BUS203: Principles of Marketing,https://learn.saylor.org/course/view.php?id=82,Saylor Academy
29.0,Course,BUS403: Negotiations and Conflict Management,https://learn.saylor.org/course/view.php?id=68,Saylor Academy
