No.,Type,Title,Link,Source
1.0,Course,Introduction to Psychology,https://courses.lumenlearning.com/waymaker-psychology/?utm_referrer=https%3A%2F%2Flumenlearning.com%2Fcourses%2Fintroduction-to-psychology%2F,Lumen
2.0,Course,Psyc 100 - General Psychology,http://opencourselibrary.org/psyc-100/,Open Course Library
3.0,Course,PSYCH101: Introduction to Psychology,https://learn.saylor.org/course/view.php?id=12,Saylor Academy
4.0,Ancillary,Introduction to Psychology Study Guide,https://opentextbc.ca/oerdiscipline/chapter/psychology/,OER by Discipline Directory
,,,https://pressbooks.bccampus.ca/intropsychstudyguide/,
,,,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=b58ffd04-ca71-4365-95e1-916f2105bd55&contributor=&keyword=&subject=Psychology,B.C. Open Textbook Collection
,,,https://open.umn.edu/opentextbooks/textbooks/research-methods-in-psychology-2nd-canadian-edition,Open Textbook Library
5.0,Course,Introduction to Psychology,https://opentextbc.ca/oerdiscipline/chapter/psychology/,OER by Discipline Directory
,,,https://oli.cmu.edu/courses/introduction-to-psychology-open-free/,
6.0,Collection,Psychology as a Science,"https://opentextbc.ca/oerdiscipline/chapter/psychology/

https://opentext.wsu.edu/psychscience/",OER by Discipline Directory
7.0,Collection,Teach Psych Science,"https://opentextbc.ca/oerdiscipline/chapter/psychology/

https://teachpsychscience.org/",OER by Discipline Directory
8.0,Ancillary,Attention and Advertising Tactics,"https://opentextbc.ca/oerdiscipline/chapter/psychology/

https://www.tes.com/teaching-resource/-attention-and-advertising-tactics-psychology-resource-11686743?theme=0",OER by Discipline Directory
9.0,Ancillary,Introduction to the Brain,"https://opentextbc.ca/oerdiscipline/chapter/psychology/

https://www.tes.com/teaching-resource/introduction-to-the-brain-11686731",OER by Discipline Directory
10.0,Ancillary,Prejudice Reduction Strategies,"https://opentextbc.ca/oerdiscipline/chapter/psychology/

https://www.tes.com/teaching-resource/-prejudice-reduction-strategies-psychology-resource-11686760",OER by Discipline Directory
11.0,Ancillary,Scientific Reasoning MCAT Modules,"https://opentextbc.ca/oerdiscipline/chapter/psychology/

https://oregonstate.app.box.com/s/fctnmxrq0uc02ooin28jvkf24sgyv0za",OER by Discipline Directory
12.0,Course ,Psyc 200 - Lifespan Psychology,http://opencourselibrary.org/econ-201/,Open Course Library
13.0,Course,Lifespan Development,https://lumenlearning.com/courses/lifespan-development/,Lumen
