No.,Type,Title,Link,Source
1.0,Course,Introduction to College Composition ,https://lumenlearning.com/courses/introduction-to-college-composition/,Lumen
2.0,Course,English Composition I,https://lumenlearning.com/courses/english-composition-i/,Lumen
3.0,Course,English Composition II,https://lumenlearning.com/courses/english-composition-ii/,Lumen
4.0,Course,Guide to Writing,https://lumenlearning.com/courses/guide-to-writing/,Lumen
5.0,Course,Integrated Reading and Writing,https://lumenlearning.com/courses/basic-reading-and-writing/,Lumen
6.0,Course,ENGL001: English Composition I,https://learn.saylor.org/course/view.php?id=43,Saylor Academy
7.0,Course,ENGL002: English Composition II,https://learn.saylor.org/course/view.php?id=44,Saylor Academy
8.0,Course,ENGL101 - English Composition I,opencourselibrary.org/engl-101/,Open Course Library
9.0,Course,ENGL102 - English Composition II,http://opencourselibrary.org/engl-102-english-composition-ii/,Open Course Library
10.0,Website ,The Nature of Writing,https://opentextbc.ca/oerdiscipline/chapter/english/,OER by Discipline Directory 
,,,https://natureofwriting.com/,
11.0,Ancillary,WISC-Online Literature Learning Objects,"https://opentextbc.ca/oerdiscipline/chapter/english/

https://www.wisc-online.com/learn/humanities/literature",OER by Discipline Directory 
12.0,Ancillary,Brehe's Grammar Anatomy,"https://opentextbc.ca/oerdiscipline/chapter/english/

https://ung.edu/university-press/books/grammar-anatomy.php",OER by Discipline Directory 
