Project Name,Payment Type,Payment Description,"Amount (10,000)",Company Name (Consistent with the Document),Document Progress,Whether Paid,Remarks
Cuiwan Zhongcheng,Agency commission,2024 Taichen 2-4 Month Agency Commission,64.0,"Taisun Holding (Shenzhen) Group Co., Ltd. Zhengzhou Branch",Pending Payment,No,
Cuiwan Zhongcheng,Institutional Commission,December 2023 Institution Referral Commission,78.6,"Zhengzhou Gengying Information Technology Co., Ltd.",Pending Payment,No,
Cuiwan Zhongcheng,Institutional Commission,April 2024 Institution Referral Commission,68.0,"Zhengzhou Gengying Information Technology Co., Ltd.",Pending Payment,No,
Cuiwan Zhongcheng,Institutional Commission,March 2023 Institution Referral Commission,58.7,"Henan Beike Information Technology Co., Ltd.",Pending Payment,No,
City Skyline,Institutional Commission,2024 April 58 Institution Referral Commission,20.0,"Zhengzhou Gengying Information Technology Co., Ltd.",Pending Payment,No,
Gucui Yinxiu,Other,July 2023 Pool Equipment Settlement Fee,21.3,"Hunan Xiangshen Environmental Engineering Co., Ltd.",Pending Payment,No,
Gucui Yinxiu,Other,2023 November - 2024 January Gucui Yinxiu Advertising Company Expenses,18.0,"Beijing Liance Jingcai Cultural Communication Co., Ltd.",Pending Payment,No,
Vanke City,Agency commission,2023 December Parking Space Sales Agency Commission,16.62,"Zhengzhou Rishengchang Real Estate Agency Co., Ltd.",Pending Payment,No,
Future Times,Institutional Commission,2024 March Institution Referral Commission (Ke),21.6,"Henan Beike Information Technology Co., Ltd.",Pending Payment,No,
Future Times,Institutional Commission,March 2024 Institution Referral Commission,20.4,"Zhengzhou Gengying Information Technology Co., Ltd.",Pending Payment,No,
Future Times,Institutional Commission,2024 February Institution Referral Commission,5.2,"Zhengzhou Gengying Information Technology Co., Ltd.",Pending Payment,No,
Shanhedao,Institutional Commission,Shanheda Intermediary Commission,21.0,"Zhengzhou Gengying Information Technology Co., Ltd.",Pending Payment,No,
Star Map,Sales Commission,Ejia Team May Property Consultant Commission,3.0,Gutang,Pending Payment,No,
Star Map,Other,Ejia Team May Property Consultant Award,0.9,Gutang,Pending Payment,No,
Star Map,Sales Commission,Sitelian Team May Property Consultant Commission,2.14,Gutang,Pending Payment,No,
Star Map,Other,SWM Team May Property Consultant Awards,1.28,Gutang,Pending Payment,No,
Star Map,Sales Commission,Ejia Team June Property Consultant Commission,2.02,Gutang,Pending Payment,No,
Star Map,Sales Commission,SWM Team June Property Consultant Commission,1.44,Gutang,Pending Payment,No,
Star Map,Institutional Commission,March 2024 Institution Commission,29.0,"Zhengzhou Gengying Information Technology Co., Ltd.",Pending Payment,No,
Star Map,Other,2023 December - 2024 March Parking Management Fee,4.9,"Shanghai Fuliang Education Technology Co., Ltd.",Pending Payment,No,
Yunhe Jinshang,Institutional Commission,2024 April-May Institution Referral Commission,23.0,"Zhengzhou Gengying Information Technology Co., Ltd.",Pending Payment,No,
Yunhe Jinshang,Institutional Commission,2024 April-May Institution Referral Commission,30.0,"Zhengzhou Gengying Information Technology Co., Ltd.",Pending Payment,No,
Yunhe Jinshang,Institutional Commission,2024 April-May Institution Referral Commission,123.0,"Henan Beike Information Technology Co., Ltd.",Pending Payment,No,Newly added
Yunhe Jinshang,Down Payment Interest Subsidy,2024 April-May down payment policy interest subsidy,41.0,"Beijing Tiantu Chizheng Information Technology Co., Ltd.",Pending Review,No,
Yunhe Jinshang,Other,2024 First Opening Period Public and Key Person Commission,77.0,"Gutang Shengshi (Beijing) Technology Co., Ltd.",Pending Payment,No,
Yunhe Jinshang,Other,March-April live streaming投放费用,29.0,"Henan Lingxia Enterprise Marketing Planning Co., Ltd.",Pending Payment,No,
