"FillingRequirements:Theregionalandinternalcontrolperformancestatisticsrefertothenetvalueofpurchaseandsigningwithoutworkcompensation.Thefillingshouldbecompletedbefore9PMeverySunday.Aftertheaccurateperformancevalueforthedayisupdated,theestimatednewpurchasesandnewsigningsarecalculatedbydeductingthemonthlyprojectedachievement.-MonthlyPerformanceAssessment",OpeningEdition,OpeningEdition.1,RegionalVersion,RegionalVersion.1,PurchaseBottomLine(ProjectsExcludingOffsetting),PurchaseBottomLine(ProjectsExcludingOffsetting).1,PurchaseBottomLine(ProjectsExcludingOffsetting).2,PurchaseBottomLine(ProjectsExcludingOffsetting).3,PurchaseBottomLine(ProjectsExcludingOffsetting).4,SigningBaseline(ProjectsExcludingOffsetting),SigningBaseline(ProjectsExcludingOffsetting).1,SigningBaseline(ProjectsExcludingOffsetting).2,SigningBaseline(ProjectsExcludingOffsetting).3,SigningBaseline(ProjectsExcludingOffsetting).4,SigningBaseline(ProjectsExcludingOffsetting).5,SigningBaseline(ProjectsExcludingOffsetting).6,SigningBaseline(ProjectsExcludingOffsetting).7,Unnamed: 18,Unnamed: 19,Unnamed: 20
Project,Purchase Commitment,Signing,Purchase Commitment,Signing,Already Committed,Projected New Additions,Expected Purchase,Opening Economic Completion Rate,Regional completion rate,Already converted to signing,Normal pending signing ①②③④ mutually exclusive,① Among them: Intended to withdraw and cancel,② Among them: Signed but not transferred,③ Among them: to be signed and signable,④ Among them: Trade-in signable + FX,New and signed,Expected Signing,Regional completion rate,Signed Conversion Rate,"Special Data Notes (Trade-in, High Evaluation, Unlaunched Purchase, etc.)"
Total including industrial compensation,,,,,,,,,,,,,,,,,,,,
Normal Sales Total,,,,,,,,,,,,,,,,,,,,
Yunhe Jinshang,18000,21500,20100,27000,2655,3350,,,,2382,23514,7267,1124,3554,8300,,,,,
Gucui Yinxiu,2140,2600,1400,2800,968,955,,,,1909,,,,,,,,,,"1 set of trade-in pending signing for 4.78 million, expected to be signed in August"
Cuiwan Zhongcheng,9500,10400,11500,12210,3333,2400,,,,2094,6128,1410,0,1994,2418,,,,,"Includes 15 old-for-new units, 24.18 million yuan"
Future Times,700,3880,170,610,494,,,,,1014,226,,,226,,,,,,
City Skyline,11000,9360,11570,10900,2774,2300,,,,2057,3469,1283,193,1064,927,1200,,,,
Zhoukou Longtang,2850,2800,3000,3000,771,455,,,,330,1296,129,133,1032,,260,,,,"It includes 8 sets of FX, 6.05 million; 6 sets of 17# online signing not unlocked, 4.27 million."
Star Map,2250,2450,2500,2620,1100,920,,,,676,1132,0,0,1132,,650,,,,"It includes 11 sets of FX, 8.13 million yuan."
Yuntu,2250,2300,2500,2300,414,621,,,,545,231,66,68,97,,340,,,,
Lanjiao,400,400,400,400,0,400,,,,0,0,0,0,0,0,400,,,,
Yunlu,150,150,6000,6000,0,143,,,,0,599,599,0,0,0,143,,,,
Lake and City,110,110,110,110,,110,,,,,,,,,,110,,,,
Fangdingyi,0,0,,,,,,,,,,,,,,,,,,
Silent Whisper Forest,0,0,,,,,,,,,,,,,,,,,,
Luoyang Xiyuan Jiadi,0,0,,,,,,,,,,,,,,,,,,
Metropolitan Xianyue Yard,0,0,,,,,,,,,,,,,,,,,,
Shanhedao,0,0,,,,,,,,,,,,,,,,,,
Ideal Light,2400,1000,,,,,,,,,,,,,,,,,,
Tail-end parking spaces,300,300,300,300,127,100,,,,111,135,23,61,51,0,77,,,,
Tail-end commercial office,220,220,220,220,222,0,,,,0,222,0,222,0,0,0,,,,
Tail-end residential units,230,530,230,230,0,100,,,,0,340,0,0,340,0,100,,,,
,,,,,,,,,,,,,,,,,,,,
Work Offset,,,4000,4000,,,,,,,,,,,,,,,,
Self-channel,,,9000,,5160,,,,,,,,,,,,,,,
